Ohio, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.57,0.46
189601,-3.84,-3.95
189701,2.55,2.44
189801,2.29,2.18
189901,1.88,1.77
190001,-2.96,-3.07
190101,-3.28,-3.39
190201,-3.11,-3.22
190301,1.77,1.66
190401,.5,0.39
190501,-2.7,-2.81
190601,-.15,-0.26
190701,2.67,2.56
190801,2.83,2.72
190901,-4.35,-4.46
191001,1.97,1.86
191101,1.01,0.90
191201,2.76,2.65
191301,3.08,2.97
191401,-.86,-0.97
191501,-1,-1.11
191601,4.48,4.37
191701,.54,0.43
191801,-.18,-0.29
191901,-.34,-0.45
192001,2.14,2.03
192101,1.75,1.64
192201,1.31,1.20
192301,.46,0.35
192401,2.04,1.93
192501,-1.24,-1.35
192601,-.56,-0.67
192701,4.38,4.27
192801,2.91,2.80
192901,1.35,1.24
193001,4.37,4.26
193101,-6.86,-6.97
193201,-.97,-1.08
193301,.49,0.38
193401,-2.84,-2.95
193501,-5.84,-5.95
193601,-.28,-0.39
193701,3.1,2.99
193801,1.71,1.60
193901,.14,0.03
194001,-3.23,-3.34
194101,-1.09,-1.20
194201,-2.13,-2.24
194301,.98,0.87
194401,-2.94,-3.05
194501,-4.36,-4.47
194601,-.58,-0.69
194701,.93,0.82
194801,.7,0.59
194901,2.62,2.51
195001,2.32,2.21
195101,3.87,3.76
195201,2.18,2.07
195301,-2.71,-2.82
195401,-6.08,-6.19
195501,.66,0.55
195601,-1.63,-1.74
195701,-1.04,-1.15
195801,-.18,-0.29
195901,3.59,3.48
196001,1.21,1.10
196101,-3.85,-3.96
196201,1.46,1.35
196301,-2.06,-2.17
196401,-5.94,-6.05
196501,-3.69,-3.80
196601,-.37,-0.48
196701,-.61,-0.72
196801,.41,0.30
196901,.72,0.61
197001,-.45,-0.56
197101,.2,0.09
197201,-1.64,-1.75
197301,3.04,2.93
197401,2.54,2.43
197501,2.65,2.54
197601,3.14,3.03
197701,-.99,-1.10
197801,2.45,2.34
197901,1.76,1.65
198001,3.45,3.34
198101,2.04,1.93
198201,2.36,2.25
198301,-1.09,-1.20
198401,1.65,1.54
198501,-1.02,-1.13
198601,-.46,-0.57
198701,-.36,-0.47
198801,-2.6,-2.71
198901,-.24,-0.35
199001,1.52,1.41
199101,-.09,-0.20
199201,-4.48,-4.59
199301,3.4,3.29
199401,1.45,1.34
199501,-.92,-1.03
199601,1.17,1.06
199701,3.35,3.24
199801,2.11,2.00
199901,-1.05,-1.16
200001,-3.98,-4.09
200101,-.47,-0.58
200201,-.18,-0.29
200301,-1.52,-1.63
200401,4.78,4.67
200501,5.95,5.84
200601,-1.12,-1.23
200701,4.05,3.94
200801,.65,0.54
200901,.59,0.48
201001,-.43,-0.54
201101,-1.74,-1.85
201201,5.64,5.53
201301,1.8,1.69
201401,2.64,2.53
201501,1.65,1.54
201601,1.03,0.92
