Michigan, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-3.84,-3.64
189612,2.35,2.55
189712,-.01,0.19
189812,.61,0.81
189912,-1.67,-1.47
190012,-.65,-0.45
190112,-2.15,-1.95
190212,2.33,2.53
190312,2.71,2.91
190412,-1.09,-0.89
190512,1.6,1.80
190612,.95,1.15
190712,.43,0.63
190812,-4.75,-4.55
190912,-1.93,-1.73
191012,-4.53,-4.33
191112,2.27,2.47
191212,.97,1.17
191312,-3.2,-3.00
191412,-2.64,-2.44
191512,2.35,2.55
191612,-.96,-0.76
191712,-.88,-0.68
191812,.55,0.75
191912,-1.69,-1.49
192012,-1.55,-1.35
192112,-2.34,-2.14
192212,-1.87,-1.67
192312,-1.98,-1.78
192412,-1.62,-1.42
192512,.28,0.48
192612,-.16,0.04
192712,1.36,1.56
192812,2.67,2.87
192912,-1.48,-1.28
193012,-6.87,-6.67
193112,.47,0.67
193212,1.25,1.45
193312,-2.36,-2.16
193412,-3.18,-2.98
193512,-1.47,-1.27
193612,-2.62,-2.42
193712,.01,0.21
193812,-2.47,-2.27
193912,-2.89,-2.69
194012,.63,0.83
194112,1.99,2.19
194212,2.91,3.11
194312,-1.65,-1.45
194412,-3.2,-3.00
194512,3.16,3.36
194612,-3.31,-3.11
194712,-2.55,-2.35
194812,-4.04,-3.84
194912,.41,0.61
195012,1.75,1.95
195112,4.26,4.46
195212,-1.73,-1.53
195312,-3.4,-3.20
195412,-.09,0.11
195512,-2.9,-2.70
195612,-2.93,-2.73
195712,1.16,1.36
195812,-.68,-0.48
195912,2.42,2.62
196012,-1.86,-1.66
196112,.74,0.94
196212,-3.14,-2.94
196312,-5.84,-5.64
196412,-3.37,-3.17
196512,2.68,2.88
196612,1.05,1.25
196712,2.4,2.60
196812,2.95,3.15
196912,-1.27,-1.07
197012,1.8,2.00
197112,.61,0.81
197212,3.62,3.82
197312,.26,0.46
197412,.74,0.94
197512,3.09,3.29
197612,-4.87,-4.67
197712,2.18,2.38
197812,1.39,1.59
197912,-.14,0.06
198012,1.89,2.09
198112,1.8,2.00
198212,2.78,2.98
198312,1.36,1.56
198412,1.42,1.62
198512,4.46,4.66
198612,-.48,-0.28
198712,2.15,2.35
198812,2.43,2.63
198912,-2.1,-1.90
199012,2.94,3.14
199112,2.05,2.25
199212,3.51,3.71
199312,2.58,2.78
199412,-.51,-0.31
199512,.82,1.02
199612,2.33,2.53
199712,-1.93,-1.73
199812,-4.78,-4.58
199912,-3.21,-3.01
200012,1.28,1.48
200112,1.62,1.82
200212,-2.46,-2.26
200312,.73,0.93
200412,.84,1.04
200512,-3.17,-2.97
200612,1.62,1.82
200712,-2.82,-2.62
200812,2.87,3.07
200912,-.2,0.00
201012,-.59,-0.39
201112,1.44,1.64
201212,.11,0.31
201312,2.39,2.59
201412,-.01,0.19
201512,.87,1.07
