New Jersey, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-.37,-0.23
189605,-1.22,-1.08
189705,.56,0.70
189805,2.35,2.49
189905,-1.3,-1.16
190005,-.31,-0.17
190105,1.71,1.85
190205,1.96,2.10
190305,2.2,2.34
190405,-.96,-0.82
190505,-1.04,-0.90
190605,.39,0.53
190705,.76,0.90
190805,.91,1.05
190905,-.48,-0.34
191005,-1.85,-1.71
191105,-1.94,-1.80
191205,-.04,0.10
191305,-.14,0.00
191405,-.65,-0.51
191505,.08,0.22
191605,.03,0.17
191705,.21,0.35
191805,.38,0.52
191905,.59,0.73
192005,1.34,1.48
192105,-.82,-0.68
192205,-1.99,-1.85
192305,-.68,-0.54
192405,1.99,2.13
192505,-1.79,-1.65
192605,-1.14,-1.00
192705,-1.35,-1.21
192805,1.69,1.83
192905,-.32,-0.18
193005,-2.05,-1.91
193105,-2.63,-2.49
193205,-2.13,-1.99
193305,1.62,1.76
193405,-.38,-0.24
193505,-1.33,-1.19
193605,-.66,-0.52
193705,.89,1.03
193805,-1.73,-1.59
193905,-.97,-0.83
194005,1.98,2.12
194105,-1.84,-1.70
194205,-2.48,-2.34
194305,-.4,-0.26
194405,-.92,-0.78
194505,.28,0.42
194605,.8,0.94
194705,1.16,1.30
194805,1.81,1.95
194905,-.36,-0.22
195005,-.45,-0.31
195105,-.31,-0.17
195205,3.12,3.26
195305,3.45,3.59
195405,-1.77,-1.63
195505,-2.65,-2.51
195605,.56,0.70
195705,-1.37,-1.23
195805,2.74,2.88
195905,-2.24,-2.10
196005,-.72,-0.58
196105,1.74,1.88
196205,-1.32,-1.18
196305,-2.18,-2.04
196405,-2.03,-1.89
196505,-3.81,-3.67
196605,-4.06,-3.92
196705,.57,0.71
196805,.86,1.00
196905,-2.49,-2.35
197005,-.47,-0.33
197105,-.33,-0.19
197205,2.2,2.34
197305,3.85,3.99
197405,-.41,-0.27
197505,1.07,1.21
197605,-1.61,-1.47
197705,-1.95,-1.81
197805,2.53,2.67
197905,3.04,3.18
198005,-.59,-0.45
198105,-2.44,-2.30
198205,.33,0.47
198305,3.36,3.50
198405,4.09,4.23
198505,.21,0.35
198605,-1.24,-1.10
198705,-.48,-0.34
198805,-.81,-0.67
198905,1.6,1.74
199005,1.24,1.38
199105,-1.24,-1.10
199205,-2.68,-2.54
199305,-.9,-0.76
199405,-.5,-0.36
199505,-2.39,-2.25
199605,1.52,1.66
199705,2.41,2.55
199805,2.01,2.15
199905,-2.28,-2.14
200005,-.96,-0.82
200105,-1.04,-0.90
200205,-3.63,-3.49
200305,1.23,1.37
200405,1.6,1.74
200505,-.32,-0.18
200605,-1.95,-1.81
200705,-.89,-0.75
200805,-.22,-0.08
200905,.19,0.33
201005,-1.02,-0.88
201105,.7,0.84
201205,-2.34,-2.20
201305,-.95,-0.81
201405,1.32,1.46
201505,-1.62,-1.48
