Indiana, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,-3.93,-4.16
189611,3.53,3.30
189711,.53,0.30
189811,1.79,1.56
189911,-3.22,-3.45
190011,-1.68,-1.91
190111,-4.48,-4.71
190211,1.8,1.57
190311,-.87,-1.10
190411,-2.51,-2.74
190511,2.44,2.21
190611,.37,0.14
190711,2.76,2.53
190811,-4.96,-5.19
190911,2.84,2.61
191011,2.1,1.87
191111,1.81,1.58
191211,2.02,1.79
191311,-1.94,-2.17
191411,-4.71,-4.94
191511,2.84,2.61
191611,-1.98,-2.21
191711,-.59,-0.82
191811,.42,0.19
191911,2.14,1.91
192011,-1.57,-1.80
192111,2,1.77
192211,-3.56,-3.79
192311,.69,0.46
192411,-1.85,-2.08
192511,1.85,1.62
192611,3.75,3.52
192711,3.42,3.19
192811,1.13,0.90
192911,2.21,1.98
193011,-4.84,-5.07
193111,.79,0.56
193211,1.76,1.53
193311,-2.83,-3.06
193411,-4.49,-4.72
193511,-1.59,-1.82
193611,.54,0.31
193711,2.03,1.80
193811,-1.09,-1.32
193911,-2.67,-2.90
194011,-4.26,-4.49
194111,1.13,0.90
194211,1.15,0.92
194311,-1.63,-1.86
194411,-4.36,-4.59
194511,3.72,3.49
194611,-1.56,-1.79
194711,-.83,-1.06
194811,.52,0.29
194911,.88,0.65
195011,4.73,4.50
195111,1.83,1.60
195211,-1.84,-2.07
195311,-4.77,-5.00
195411,.63,0.40
195511,1.6,1.37
195611,-2.77,-3.00
195711,2.55,2.32
195811,3.66,3.43
195911,.26,0.03
196011,-1.76,-1.99
196111,1.47,1.24
196211,-.61,-0.84
196311,-3.86,-4.09
196411,-4.7,-4.93
196511,-1.17,-1.40
196611,.21,-0.02
196711,.57,0.34
196811,.33,0.10
196911,2.15,1.92
197011,.78,0.55
197111,-1.08,-1.31
197211,2.74,2.51
197311,1.87,1.64
197411,1.7,1.47
197511,1.75,1.52
197611,-.43,-0.66
197711,2.3,2.07
197811,1.06,0.83
197911,4.16,3.93
198011,-.41,-0.64
198111,2,1.77
198211,1.43,1.20
198311,1.21,0.98
198411,.94,0.71
198511,2.27,2.04
198611,2.1,1.87
198711,-1.91,-2.14
198811,.55,0.32
198911,2.89,2.66
199011,4.45,4.22
199111,-1.99,-2.22
199211,3.83,3.60
199311,5.6,5.37
199411,-1.2,-1.43
199511,-1.46,-1.69
199611,3.11,2.88
199711,-.86,-1.09
199811,-1,-1.23
199911,-4.14,-4.37
200011,2.33,2.10
200111,3.78,3.55
200211,-1.87,-2.10
200311,4.26,4.03
200411,3.25,3.02
200511,-1.02,-1.25
200611,3.88,3.65
200711,-2.09,-2.32
200811,1.74,1.51
200911,-.23,-0.46
201011,-2.06,-2.29
201111,3.61,3.38
201211,.2,-0.03
201311,.52,0.29
201411,3.21,2.98
201511,2.36,2.13
