Pennsylvania, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-2.3,-2.37
189608,.44,0.37
189708,-.01,-0.08
189808,1,0.93
189908,-1.44,-1.51
190008,-1.73,-1.80
190108,2.46,2.39
190208,2.27,2.20
190308,3.99,3.92
190408,2.36,2.29
190508,1.73,1.66
190608,1.46,1.39
190708,.59,0.52
190808,-.99,-1.06
190908,-2.55,-2.62
191008,-3.07,-3.14
191108,1.46,1.39
191208,2.25,2.18
191308,-1.55,-1.62
191408,-.32,-0.39
191508,2.48,2.41
191608,-.82,-0.89
191708,1.52,1.45
191808,-.56,-0.63
191908,1.7,1.63
192008,1.29,1.22
192108,-1.38,-1.45
192208,-.71,-0.78
192308,-2.65,-2.72
192408,2.05,1.98
192508,-2.05,-2.12
192608,.78,0.71
192708,2.18,2.11
192808,4.26,4.19
192908,-1.25,-1.32
193008,-3.06,-3.13
193108,-3.01,-3.08
193208,-3.38,-3.45
193308,1.65,1.58
193408,.35,0.28
193508,.75,0.68
193608,-1.32,-1.39
193708,2.17,2.10
193808,.03,-0.04
193908,-2.22,-2.29
194008,1.62,1.55
194108,-1.12,-1.19
194208,1.18,1.11
194308,-1.11,-1.18
194408,-2.1,-2.17
194508,1.49,1.42
194608,2.09,2.02
194708,-.08,-0.15
194808,-.06,-0.13
194908,-1.72,-1.79
195008,1.24,1.17
195108,-.91,-0.98
195208,-1.11,-1.18
195308,-1.97,-2.04
195408,.5,0.43
195508,1.81,1.74
195608,3.47,3.40
195708,-2.52,-2.59
195808,2.24,2.17
195908,-1.31,-1.38
196008,.91,0.84
196108,.04,-0.03
196208,-2.86,-2.93
196308,-3.09,-3.16
196408,-2.57,-2.64
196508,-4.09,-4.16
196608,-4.83,-4.90
196708,1.4,1.33
196808,-2.09,-2.16
196908,.92,0.85
197008,.82,0.75
197108,.51,0.44
197208,2.93,2.86
197308,1.58,1.51
197408,1.62,1.55
197508,2.4,2.33
197608,1.24,1.17
197708,.84,0.77
197808,2.17,2.10
197908,1.63,1.56
198008,-.22,-0.29
198108,-.59,-0.66
198208,-.71,-0.78
198308,-1.5,-1.57
198408,3.51,3.44
198508,.43,0.36
198608,.9,0.83
198708,.39,0.32
198808,-2,-2.07
198908,-.65,-0.72
199008,1.6,1.53
199108,-4,-4.07
199208,1.56,1.49
199308,-2.17,-2.24
199408,3.88,3.81
199508,-3.1,-3.17
199608,2.8,2.73
199708,1.51,1.44
199808,-1.06,-1.13
199908,-3.97,-4.04
200008,.62,0.55
200108,-2.21,-2.28
200208,-2.85,-2.92
200308,2.84,2.77
200408,4.8,4.73
200508,-1.96,-2.03
200608,1.8,1.73
200708,-.68,-0.75
200808,-.64,-0.71
200908,1.85,1.78
201008,-1.69,-1.76
201108,2.84,2.77
201208,-1.79,-1.86
201308,1.24,1.17
201408,2,1.93
201508,-.54,-0.61
