New York, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.77,-1.74
189605,-2.14,-2.11
189705,.31,0.34
189805,-.31,-0.28
189905,-1.45,-1.42
190005,-1.58,-1.55
190105,1.79,1.82
190205,.84,0.87
190305,-2.03,-2.00
190405,1.41,1.44
190505,-2.32,-2.29
190605,.24,0.27
190705,-.78,-0.75
190805,2.19,2.22
190905,-1.19,-1.16
191005,-1.69,-1.66
191105,-3.27,-3.24
191205,.89,0.92
191305,-.36,-0.33
191405,-.35,-0.32
191505,-2.55,-2.52
191605,2.09,2.12
191705,.64,0.67
191805,-1.05,-1.02
191905,1.2,1.23
192005,-.84,-0.81
192105,-1.64,-1.61
192205,-.54,-0.51
192305,-1.69,-1.66
192405,1.5,1.53
192505,-.65,-0.62
192605,-.91,-0.88
192705,.69,0.72
192805,1.87,1.90
192905,2.7,2.73
193005,-.63,-0.60
193105,-3.1,-3.07
193205,-.66,-0.63
193305,-.24,-0.21
193405,-1.73,-1.70
193505,-2.03,-2.00
193605,-.57,-0.54
193705,.91,0.94
193805,-1.1,-1.07
193905,-.98,-0.95
194005,1.59,1.62
194105,-3.1,-3.07
194205,-2.53,-2.50
194305,2.63,2.66
194405,-.68,-0.65
194505,1.23,1.26
194605,.84,0.87
194705,2.29,2.32
194805,.99,1.02
194905,-.71,-0.68
195005,.51,0.54
195105,1.68,1.71
195205,2.13,2.16
195305,1.95,1.98
195405,1.32,1.35
195505,-1.38,-1.35
195605,2.36,2.39
195705,-1.44,-1.41
195805,.67,0.70
195905,-1.31,-1.28
196005,-.67,-0.64
196105,1.42,1.45
196205,-2.32,-2.29
196305,-2.03,-2.00
196405,-2.4,-2.37
196505,-5.03,-5.00
196605,-2.72,-2.69
196705,.55,0.58
196805,.82,0.85
196905,.61,0.64
197005,-1.21,-1.18
197105,-.63,-0.60
197205,1.42,1.45
197305,3.7,3.73
197405,1.42,1.45
197505,.94,0.97
197605,3.58,3.61
197705,1.46,1.49
197805,-1.5,-1.47
197905,1.53,1.56
198005,-1.12,-1.09
198105,-1.71,-1.68
198205,-1.04,-1.01
198305,2.53,2.56
198405,3.01,3.04
198505,-2.18,-2.15
198605,-1.16,-1.13
198705,-2.12,-2.09
198805,-1.76,-1.73
198905,1.29,1.32
199005,3.02,3.05
199105,-.71,-0.68
199205,-.01,0.02
199305,-.94,-0.91
199405,1.12,1.15
199505,-2.18,-2.15
199605,2.57,2.60
199705,2.92,2.95
199805,1.22,1.25
199905,-2.06,-2.03
200005,2.05,2.08
200105,-1.71,-1.68
200205,1.28,1.31
200305,.64,0.67
200405,2,2.03
200505,1.93,1.96
200605,.92,0.95
200705,2.92,2.95
200805,1.85,1.88
200905,1.26,1.29
201005,-2.07,-2.04
201105,4.61,4.64
201205,-1.98,-1.95
201305,.14,0.17
201405,1.86,1.89
201505,-2.14,-2.11
