Tennessee, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-1.3,-1.45
189609,-.42,-0.57
189709,-2.17,-2.32
189809,.69,0.54
189909,-2.44,-2.59
190009,-.91,-1.06
190109,2.62,2.47
190209,.63,0.48
190309,-1.02,-1.17
190409,-2.15,-2.30
190509,1.17,1.02
190609,2.76,2.61
190709,1.19,1.04
190809,-.49,-0.64
190909,-.05,-0.20
191009,-.43,-0.58
191109,-1.25,-1.40
191209,2.51,2.36
191309,-2.2,-2.35
191409,-3.28,-3.43
191509,1.91,1.76
191609,2.34,2.19
191709,2.82,2.67
191809,.27,0.12
191909,-1.03,-1.18
192009,3.82,3.67
192109,.64,0.49
192209,-.73,-0.88
192309,-.11,-0.26
192409,-.35,-0.50
192509,-5.25,-5.40
192609,.96,0.81
192709,-.43,-0.58
192809,2.56,2.41
192909,2.51,2.36
193009,-3.67,-3.82
193109,-4.21,-4.36
193209,.6,0.45
193309,-.27,-0.42
193409,.54,0.39
193509,-1.26,-1.41
193609,-3.87,-4.02
193709,.07,-0.08
193809,-.12,-0.27
193909,-1.12,-1.27
194009,-1.87,-2.02
194109,-4.07,-4.22
194209,-1.89,-2.04
194309,-1.7,-1.85
194409,1.1,0.95
194509,.72,0.57
194609,-.34,-0.49
194709,-1.57,-1.72
194809,-1.65,-1.80
194909,2.31,2.16
195009,4.98,4.83
195109,1.38,1.23
195209,-2.78,-2.93
195309,-2.54,-2.69
195409,-4.47,-4.62
195509,-.9,-1.05
195609,-1.62,-1.77
195709,1.57,1.42
195809,1.13,0.98
195909,.44,0.29
196009,.6,0.45
196109,-.55,-0.70
196209,-.62,-0.77
196309,-.55,-0.70
196409,.92,0.77
196509,-.16,-0.31
196609,.92,0.77
196709,3.03,2.88
196809,-1.63,-1.78
196909,-1.19,-1.34
197009,.59,0.44
197109,1.61,1.46
197209,1.66,1.51
197309,3.31,3.16
197409,4.25,4.10
197509,3.46,3.31
197609,1.31,1.16
197709,1.47,1.32
197809,-.86,-1.01
197909,4.8,4.65
198009,-2.02,-2.17
198109,1.08,0.93
198209,.9,0.75
198309,-2.36,-2.51
198409,.8,0.65
198509,.79,0.64
198609,-2.77,-2.92
198709,-2.86,-3.01
198809,.45,0.30
198909,4.98,4.83
199009,.71,0.56
199109,1.53,1.38
199209,2.52,2.37
199309,-1.13,-1.28
199409,3.18,3.03
199509,.81,0.66
199609,3.04,2.89
199709,3.48,3.33
199809,-.99,-1.14
199909,-1.95,-2.10
200009,-2.14,-2.29
200109,.96,0.81
200209,1.13,0.98
200309,4.57,4.42
200409,3.09,2.94
200509,-.36,-0.51
200609,-1.13,-1.28
200709,-4.96,-5.11
200809,-2.91,-3.06
200909,3.29,3.14
201009,-1.23,-1.38
201109,1.61,1.46
201209,.79,0.64
201309,3.8,3.65
201409,2.03,1.88
201509,2.03,1.88
