Georgia, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.42,1.53
189604,-2.27,-2.16
189704,1.78,1.89
189804,-3.92,-3.81
189904,-.52,-0.41
190004,1.59,1.70
190104,1.22,1.33
190204,-.65,-0.54
190304,1.29,1.40
190404,-1.69,-1.58
190504,-1.85,-1.74
190604,-1.33,-1.22
190704,.67,0.78
190804,2.25,2.36
190904,.46,0.57
191004,-2.3,-2.19
191104,-2.07,-1.96
191204,3.9,4.01
191304,-.81,-0.70
191404,-2.4,-2.29
191504,-1.68,-1.57
191604,-2.38,-2.27
191704,-.48,-0.37
191804,-2.04,-1.93
191904,.99,1.10
192004,2.42,2.53
192104,-2.27,-2.16
192204,.57,0.68
192304,-.19,-0.08
192404,.62,0.73
192504,-2.71,-2.60
192604,-1.6,-1.49
192704,-3.21,-3.10
192804,2.17,2.28
192904,4.07,4.18
193004,-.76,-0.65
193104,-1.36,-1.25
193204,-3.66,-3.55
193304,-.22,-0.11
193404,-3.04,-2.93
193504,-2.44,-2.33
193604,2.5,2.61
193704,1.42,1.53
193804,.75,0.86
193904,.7,0.81
194004,-1.47,-1.36
194104,-2.4,-2.29
194204,-.91,-0.80
194304,-.24,-0.13
194404,2.85,2.96
194504,-1.75,-1.64
194604,1.35,1.46
194704,.96,1.07
194804,3.7,3.81
194904,2.66,2.77
195004,-2.23,-2.12
195104,-1.23,-1.12
195204,-.37,-0.26
195304,.44,0.55
195404,-2.38,-2.27
195504,-4.21,-4.10
195604,-2.34,-2.23
195704,.1,0.21
195804,2.45,2.56
195904,.75,0.86
196004,1.99,2.10
196104,1.74,1.85
196204,1.43,1.54
196304,.01,0.12
196404,3.4,3.51
196504,3.6,3.71
196604,1.65,1.76
196704,-1.9,-1.79
196804,-1.65,-1.54
196904,-.78,-0.67
197004,.79,0.90
197104,1.45,1.56
197204,1.11,1.22
197304,2.75,2.86
197404,.56,0.67
197504,2.79,2.90
197604,-1.65,-1.54
197704,-.68,-0.57
197804,-1.07,-0.96
197904,1.49,1.60
198004,2.62,2.73
198104,-3.43,-3.32
198204,1.01,1.12
198304,2.44,2.55
198404,2.36,2.47
198504,-3.21,-3.10
198604,-2.17,-2.06
198704,-.91,-0.80
198804,-2.06,-1.95
198904,.06,0.17
199004,-.73,-0.62
199104,1.42,1.53
199204,-.82,-0.71
199304,-.32,-0.21
199404,-.46,-0.35
199504,-1.36,-1.25
199604,-.09,0.02
199704,.38,0.49
199804,4.45,4.56
199904,-3.77,-3.66
200004,-3.54,-3.43
200104,-2.51,-2.40
200204,-3.68,-3.57
200304,1.78,1.89
200404,-2.29,-2.18
200504,2.14,2.25
200604,-2.11,-2.00
200704,-4,-3.89
200804,-3.24,-3.13
200904,1.34,1.45
201004,-1.03,-0.92
201104,-2.78,-2.67
201204,-5.26,-5.15
201304,1.66,1.77
201404,3.08,3.19
201504,-.2,-0.09
