Virginia, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,.96,1.06
189605,-1.1,-1.00
189705,.43,0.53
189805,.8,0.90
189905,-.53,-0.43
190005,-1.29,-1.19
190105,2.32,2.42
190205,-1.15,-1.05
190305,1.56,1.66
190405,-1.49,-1.39
190505,.19,0.29
190605,-.9,-0.80
190705,1.15,1.25
190805,1.77,1.87
190905,1.31,1.41
191005,.39,0.49
191105,-1.42,-1.32
191205,2,2.10
191305,.85,0.95
191405,-1.26,-1.16
191505,-1.61,-1.51
191605,-.89,-0.79
191705,1.02,1.12
191805,-.48,-0.38
191905,.94,1.04
192005,-.56,-0.46
192105,-.91,-0.81
192205,.93,1.03
192305,-.67,-0.57
192405,2.23,2.33
192505,-1.99,-1.89
192605,-2.74,-2.64
192705,.31,0.41
192805,.41,0.51
192905,1.33,1.43
193005,-2.61,-2.51
193105,-3.82,-3.72
193205,-1.71,-1.61
193305,1.88,1.98
193405,.68,0.78
193505,1.74,1.84
193605,-1.23,-1.13
193705,1.65,1.75
193805,.2,0.30
193905,-1.14,-1.04
194005,.76,0.86
194105,-2.82,-2.72
194205,-4.31,-4.21
194305,-.29,-0.19
194405,-.62,-0.52
194505,.4,0.50
194605,1.01,1.11
194705,-1.29,-1.19
194805,1.38,1.48
194905,1.64,1.74
195005,.74,0.84
195105,-.72,-0.62
195205,-.08,0.02
195305,-.35,-0.25
195405,-2.41,-2.31
195505,-.69,-0.59
195605,-.55,-0.45
195705,-.88,-0.78
195805,2.74,2.84
195905,-1.53,-1.43
196005,1.44,1.54
196105,1.37,1.47
196205,1.53,1.63
196305,-1.68,-1.58
196405,-2.34,-2.24
196505,-1.76,-1.66
196605,-3.32,-3.22
196705,-.98,-0.88
196805,-.83,-0.73
196905,-2.37,-2.27
197005,-1.17,-1.07
197105,1.75,1.85
197205,1.83,1.93
197305,4.02,4.12
197405,.55,0.65
197505,2.09,2.19
197605,-1.95,-1.85
197705,-2.12,-2.02
197805,2.97,3.07
197905,2.05,2.15
198005,-.17,-0.07
198105,-3.23,-3.13
198205,-.62,-0.52
198305,2.3,2.40
198405,3.65,3.75
198505,-2.72,-2.62
198605,-2.79,-2.69
198705,-.59,-0.49
198805,-1.53,-1.43
198905,1.69,1.79
199005,2.7,2.80
199105,-1.41,-1.31
199205,.52,0.62
199305,-.21,-0.11
199405,-.76,-0.66
199505,.41,0.51
199605,1.7,1.80
199705,-.6,-0.50
199805,3.53,3.63
199905,-3.41,-3.31
200005,.15,0.25
200105,.29,0.39
200205,-2.95,-2.85
200305,3.94,4.04
200405,2.35,2.45
200505,-.63,-0.53
200605,-2.85,-2.75
200705,-1.5,-1.40
200805,-1.98,-1.88
200905,.85,0.95
201005,-1.03,-0.93
201105,.94,1.04
201205,-1.23,-1.13
201305,.87,0.97
201405,2.22,2.32
201505,-.94,-0.84
