New Jersey, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-2.19,-2.38
189609,-.45,-0.64
189709,2.28,2.09
189809,.59,0.40
189909,-.66,-0.85
190009,-1.41,-1.60
190109,2.06,1.87
190209,3.13,2.94
190309,3.83,3.64
190409,1.14,0.95
190509,.8,0.61
190609,1.03,0.84
190709,1.3,1.11
190809,-.49,-0.68
190909,-1.38,-1.57
191009,-2.06,-2.25
191109,1.4,1.21
191209,-.47,-0.66
191309,.01,-0.18
191409,-1.57,-1.76
191509,-.49,-0.68
191609,-1.03,-1.22
191709,.06,-0.13
191809,-.58,-0.77
191909,2.24,2.05
192009,2.89,2.70
192109,-1.46,-1.65
192209,-.42,-0.61
192309,-1.93,-2.12
192409,2.05,1.86
192509,.13,-0.06
192609,1.5,1.31
192709,1.51,1.32
192809,3.81,3.62
192909,-1.46,-1.65
193009,-2.28,-2.47
193109,-1.74,-1.93
193209,-2.87,-3.06
193309,3,2.81
193409,1.37,1.18
193509,.95,0.76
193609,-.6,-0.79
193709,.58,0.39
193809,4.18,3.99
193909,-1.65,-1.84
194009,1.44,1.25
194109,-1.05,-1.24
194209,1.94,1.75
194309,-2.11,-2.30
194409,.91,0.72
194509,2.11,1.92
194609,-.01,-0.20
194709,-.69,-0.88
194809,1.43,1.24
194909,-2.33,-2.52
195009,-.19,-0.38
195109,-1.03,-1.22
195209,2.88,2.69
195309,-1.54,-1.73
195409,-1.9,-2.09
195509,1.37,1.18
195609,.96,0.77
195709,-3.73,-3.92
195809,3.17,2.98
195909,.21,0.02
196009,2.35,2.16
196109,-.6,-0.79
196209,-.95,-1.14
196309,-2.58,-2.77
196409,-3.38,-3.57
196509,-4.62,-4.81
196609,1.06,0.87
196709,-.28,-0.47
196809,-1.95,-2.14
196909,1.49,1.30
197009,-1.69,-1.88
197109,2.27,2.08
197209,1.53,1.34
197309,-.88,-1.07
197409,.94,0.75
197509,4.14,3.95
197609,-1.84,-2.03
197709,.1,-0.09
197809,1.8,1.61
197909,3.23,3.04
198009,-2.47,-2.66
198109,-2.13,-2.32
198209,-.9,-1.09
198309,-1.79,-1.98
198409,-.91,-1.10
198509,.95,0.76
198609,-1.61,-1.80
198709,.41,0.22
198809,-1.81,-2.00
198909,3.76,3.57
199009,1.05,0.86
199109,-1.08,-1.27
199209,1.11,0.92
199309,.37,0.18
199409,-.13,-0.32
199509,-.04,-0.23
199609,2.79,2.60
199709,1.24,1.05
199809,-2.06,-2.25
199909,1.51,1.32
200009,1.79,1.60
200109,-.86,-1.05
200209,-3.4,-3.59
200309,2.98,2.79
200409,2.72,2.53
200509,-2.39,-2.58
200609,1.93,1.74
200709,-1.85,-2.04
200809,.54,0.35
200909,2.51,2.32
201009,-3.07,-3.26
201109,4.12,3.93
201209,.08,-0.11
201309,-.4,-0.59
201409,-.48,-0.67
201509,-1.17,-1.36
