Indiana, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-3.72,-3.70
189608,2.74,2.76
189708,-1.07,-1.05
189808,.67,0.69
189908,-2.23,-2.21
190008,-1.19,-1.17
190108,-3.58,-3.56
190208,.98,1.00
190308,.46,0.48
190408,-.92,-0.90
190508,1.27,1.29
190608,.4,0.42
190708,2.52,2.54
190808,-2.08,-2.06
190908,2.45,2.47
191008,.4,0.42
191108,-2.09,-2.07
191208,2.73,2.75
191308,-2.05,-2.03
191408,-3.41,-3.39
191508,3.22,3.24
191608,-1,-0.98
191708,-.33,-0.31
191808,-1.57,-1.55
191908,-1.74,-1.72
192008,-.33,-0.31
192108,.74,0.76
192208,-2.11,-2.09
192308,.62,0.64
192408,.15,0.17
192508,-2.9,-2.88
192608,1.06,1.08
192708,2.89,2.91
192808,2.04,2.06
192908,1.94,1.96
193008,-3.97,-3.95
193108,.32,0.34
193208,-1.69,-1.67
193308,-2.6,-2.58
193408,-5.04,-5.02
193508,-1.41,-1.39
193608,-5.29,-5.27
193708,1.38,1.40
193808,-.04,-0.02
193908,-.5,-0.48
194008,-3.42,-3.40
194108,-4.9,-4.88
194208,1.13,1.15
194308,-.74,-0.72
194408,-2.87,-2.85
194508,2.27,2.29
194608,-.67,-0.65
194708,-.21,-0.19
194808,-.6,-0.58
194908,1,1.02
195008,3.89,3.91
195108,2.17,2.19
195208,-.93,-0.91
195308,-2.27,-2.25
195408,-3.59,-3.57
195508,-.9,-0.88
195608,-.6,-0.58
195708,2.22,2.24
195808,3.87,3.89
195908,-1.36,-1.34
196008,-.11,-0.09
196108,1.96,1.98
196208,-.03,-0.01
196308,-1.03,-1.01
196408,-3.11,-3.09
196508,-2.21,-2.19
196608,-2.12,-2.10
196708,-1.12,-1.10
196808,1.29,1.31
196908,.9,0.92
197008,.2,0.22
197108,.38,0.40
197208,-.42,-0.40
197308,2.86,2.88
197408,1.69,1.71
197508,2.24,2.26
197608,.15,0.17
197708,1.52,1.54
197808,2.09,2.11
197908,4.1,4.12
198008,2.33,2.35
198108,2.41,2.43
198208,1.81,1.83
198308,-1.97,-1.95
198408,-1.54,-1.52
198508,1.02,1.04
198608,.72,0.74
198708,-1.07,-1.05
198808,-3.81,-3.79
198908,2.22,2.24
199008,3.88,3.90
199108,-2.68,-2.66
199208,2.04,2.06
199308,2.97,2.99
199408,-.58,-0.56
199508,-.41,-0.39
199608,2.13,2.15
199708,2.98,3.00
199808,2.6,2.62
199908,-1.76,-1.74
200008,1.57,1.59
200108,1.21,1.23
200208,-1.54,-1.52
200308,2.54,2.56
200408,3.34,3.36
200508,-.78,-0.76
200608,1.9,1.92
200708,-1.5,-1.48
200808,2.86,2.88
200908,2.85,2.87
201008,-.79,-0.77
201108,1.78,1.80
201208,-.04,-0.02
201308,-.7,-0.68
201408,2.18,2.20
201508,3.7,3.72
