Kentucky, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-1.83,-1.86
189606,.16,0.13
189706,-.15,-0.18
189806,.7,0.67
189906,-.77,-0.80
190006,-2.12,-2.15
190106,-2.17,-2.20
190206,-2.4,-2.43
190306,-.5,-0.53
190406,-2.03,-2.06
190506,.26,0.23
190606,-.03,-0.06
190706,2.39,2.36
190806,-.16,-0.19
190906,2.08,2.05
191006,1.18,1.15
191106,-1.05,-1.08
191206,2.1,2.07
191306,-1.4,-1.43
191406,-3.82,-3.85
191506,.76,0.73
191606,2.31,2.28
191706,2.01,1.98
191806,-1.41,-1.44
191906,-.75,-0.78
192006,2.69,2.66
192106,-2.1,-2.13
192206,-.62,-0.65
192306,1.39,1.36
192406,.72,0.69
192506,-1.96,-1.99
192606,-1.64,-1.67
192706,4.16,4.13
192806,3.26,3.23
192906,1.65,1.62
193006,-3.21,-3.24
193106,-5.52,-5.55
193206,-.74,-0.77
193306,-1.08,-1.11
193406,-2.58,-2.61
193506,3.76,3.73
193606,-2.77,-2.80
193706,-.77,-0.80
193806,.51,0.48
193906,-.26,-0.29
194006,-1.97,-2.00
194106,-4.88,-4.91
194206,.41,0.38
194306,-.31,-0.34
194406,-3.21,-3.24
194506,1.73,1.70
194606,.34,0.31
194706,.9,0.87
194806,-.56,-0.59
194906,.39,0.36
195006,3.05,3.02
195106,2.59,2.56
195206,-1.37,-1.40
195306,-2.09,-2.12
195406,-4.82,-4.85
195506,-.07,-0.10
195606,1.12,1.09
195706,1.04,1.01
195806,1.3,1.27
195906,-1.79,-1.82
196006,1.23,1.20
196106,2.22,2.19
196206,1.8,1.77
196306,-1.24,-1.27
196406,-2.16,-2.19
196506,-1.07,-1.10
196606,-.83,-0.86
196706,.83,0.80
196806,-.44,-0.47
196906,.61,0.58
197006,-.3,-0.33
197106,.61,0.58
197206,1.37,1.34
197306,3.03,3.00
197406,2.25,2.22
197506,3.41,3.38
197606,1.65,1.62
197706,.38,0.35
197806,.71,0.68
197906,3.44,3.41
198006,-1.17,-1.20
198106,1.14,1.11
198206,.3,0.27
198306,-.2,-0.23
198406,-.89,-0.92
198506,.25,0.22
198606,-2.77,-2.80
198706,-2.3,-2.33
198806,-3.91,-3.94
198906,3.51,3.48
199006,1.82,1.79
199106,-1.14,-1.17
199206,.38,0.35
199306,-.15,-0.18
199406,-.43,-0.46
199506,1.62,1.59
199606,1.8,1.77
199706,4.73,4.70
199806,2.95,2.92
199906,-1.8,-1.83
200006,-2.47,-2.50
200106,.07,0.04
200206,-.19,-0.22
200306,2.94,2.91
200406,2.67,2.64
200506,-1.34,-1.37
200606,.12,0.09
200706,-2.45,-2.48
200806,-.36,-0.39
200906,1.43,1.40
201006,-.6,-0.63
201106,3.85,3.82
201206,-2.66,-2.69
201306,1.7,1.67
201406,1.86,1.83
201506,2.08,2.05
