Michigan, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.56,0.65
189601,-3.6,-3.51
189701,3.77,3.86
189801,.67,0.76
189901,.53,0.62
190001,-1.86,-1.77
190101,-.69,-0.60
190201,-2.54,-2.45
190301,2.02,2.11
190401,2.37,2.46
190501,-.95,-0.86
190601,2.09,2.18
190701,1.91,2.00
190801,.28,0.37
190901,-4.51,-4.42
191001,-1.78,-1.69
191101,-4.28,-4.19
191201,.01,0.10
191301,.98,1.07
191401,-2.62,-2.53
191501,-2.58,-2.49
191601,2.93,3.02
191701,-1.28,-1.19
191801,-1.02,-0.93
191901,-.68,-0.59
192001,-1.79,-1.70
192101,-2.09,-2.00
192201,-2.44,-2.35
192301,-1.72,-1.63
192401,.17,0.26
192501,-2.04,-1.95
192601,0,0.09
192701,-.5,-0.41
192801,1.16,1.25
192901,3.26,3.35
193001,-1.19,-1.10
193101,-7.56,-7.47
193201,1.34,1.43
193301,.86,0.95
193401,-2.45,-2.36
193501,-2.64,-2.55
193601,-1.31,-1.22
193701,-1.95,-1.86
193801,.62,0.71
193901,.3,0.39
194001,-2.76,-2.67
194101,-.08,0.01
194201,1.7,1.79
194301,2.73,2.82
194401,-1.92,-1.83
194501,-3.61,-3.52
194601,3.12,3.21
194701,.26,0.35
194801,-2.55,-2.46
194901,.64,0.73
195001,1.78,1.87
195101,1.74,1.83
195201,4.32,4.41
195301,.05,0.14
195401,-3.5,-3.41
195501,-.34,-0.25
195601,-3.3,-3.21
195701,-2.94,-2.85
195801,-.35,-0.26
195901,.1,0.19
196001,2.54,2.63
196101,-2.45,-2.36
196201,.96,1.05
196301,-3.44,-3.35
196401,-5.96,-5.87
196501,.54,0.63
196601,2.1,2.19
196701,1.55,1.64
196801,1.98,2.07
196901,3.27,3.36
197001,-1.36,-1.27
197101,1.72,1.81
197201,.37,0.46
197301,3.03,3.12
197401,.77,0.86
197501,1.45,1.54
197601,2.97,3.06
197701,-5.29,-5.20
197801,2.5,2.59
197901,1.74,1.83
198001,-.11,-0.02
198101,1.08,1.17
198201,2.35,2.44
198301,2.18,2.27
198401,-.52,-0.43
198501,1.56,1.65
198601,3.62,3.71
198701,-.76,-0.67
198801,-.02,0.07
198901,-.22,-0.13
199001,.22,0.31
199101,2.32,2.41
199201,1.71,1.80
199301,3.65,3.74
199401,2.54,2.63
199501,-.17,-0.08
199601,1.02,1.11
199701,3.01,3.10
199801,.73,0.82
199901,-3.52,-3.43
200001,-2.97,-2.88
200101,.8,0.89
200201,1.03,1.12
200301,-2.86,-2.77
200401,.87,0.96
200501,1.6,1.69
200601,.89,0.98
200701,1.78,1.87
200801,1.02,1.11
200901,2.29,2.38
201001,-.71,-0.62
201101,-.73,-0.64
201201,1.64,1.73
201301,1.2,1.29
201401,2.49,2.58
201501,3.25,3.34
