Kansas, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,1.57,1.21
189607,1.9,1.54
189707,-.47,-0.83
189807,1.86,1.50
189907,2.26,1.90
190007,.64,0.28
190107,-2.11,-2.47
190207,1.39,1.03
190307,3.49,3.13
190407,4.15,3.79
190507,2.97,2.61
190607,1.72,1.36
190707,2.15,1.79
190807,2.73,2.37
190907,3.19,2.83
191007,-1.61,-1.97
191107,-3.77,-4.13
191207,.84,0.48
191307,-3.06,-3.42
191407,-2.13,-2.49
191507,4.71,4.35
191607,-.49,-0.85
191707,-3.06,-3.42
191807,-3.65,-4.01
191907,-.06,-0.42
192007,-.02,-0.38
192107,-.41,-0.77
192207,1.67,1.31
192307,1.92,1.56
192407,.3,-0.06
192507,-2.38,-2.74
192607,-3.07,-3.43
192707,1.91,1.55
192807,3.92,3.56
192907,3.92,3.56
193007,-.82,-1.18
193107,-.99,-1.35
193207,-.06,-0.42
193307,-4.24,-4.60
193407,-7.05,-7.41
193507,-3.2,-3.56
193607,-5.1,-5.46
193707,-4.56,-4.92
193807,-1.9,-2.26
193907,-4.26,-4.62
194007,-4.85,-5.21
194107,1.69,1.33
194207,3.6,3.24
194307,2.81,2.45
194407,3.22,2.86
194507,4.2,3.84
194607,-2.2,-2.56
194707,0,-0.36
194807,2.04,1.68
194907,3.69,3.33
195007,1.97,1.61
195107,5.97,5.61
195207,-2.3,-2.66
195307,-4.58,-4.94
195407,-5.23,-5.59
195507,-5.11,-5.47
195607,-7.2,-7.56
195707,2.85,2.49
195807,4.36,4.00
195907,1.85,1.49
196007,2.58,2.22
196107,2.91,2.55
196207,3.41,3.05
196307,-2.85,-3.21
196407,-4.45,-4.81
196507,1.77,1.41
196607,-2.01,-2.37
196707,1.63,1.27
196807,.41,0.05
196907,2.89,2.53
197007,-.35,-0.71
197107,.76,0.40
197207,.68,0.32
197307,4,3.64
197407,2.12,1.76
197507,-.33,-0.69
197607,-.48,-0.84
197707,.11,-0.25
197807,-.38,-0.74
197907,2.07,1.71
198007,-2.04,-2.40
198107,.85,0.49
198207,2.61,2.25
198307,-.53,-0.89
198407,-.41,-0.77
198507,2.15,1.79
198607,2.34,1.98
198707,4.32,3.96
198807,-1.23,-1.59
198907,.44,0.08
199007,.28,-0.08
199107,-3.34,-3.70
199207,2.27,1.91
199307,7.46,7.10
199407,3.27,2.91
199507,4.1,3.74
199607,.32,-0.04
199707,2.39,2.03
199807,2.86,2.50
199907,4.32,3.96
200007,-.21,-0.57
200107,1.8,1.44
200207,-3.37,-3.73
200307,-1.46,-1.82
200407,1.56,1.20
200507,2.27,1.91
200607,-3.15,-3.51
200707,3.01,2.65
200807,2.92,2.56
200907,3.81,3.45
201007,4.07,3.71
201107,-2.48,-2.84
201207,-3.8,-4.16
201307,-2.32,-2.68
201407,.78,0.42
201507,2.2,1.84
