Arkansas, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,.46,0.40
189606,-1.93,-1.99
189706,-2.06,-2.12
189806,.55,0.49
189906,-1.34,-1.40
190006,.81,0.75
190106,-2.41,-2.47
190206,.43,0.37
190306,1.33,1.27
190406,1.13,1.07
190506,2.11,2.05
190606,1.8,1.74
190706,3.49,3.43
190806,.75,0.69
190906,.65,0.59
191006,.95,0.89
191106,-2.48,-2.54
191206,.66,0.60
191306,-1.11,-1.17
191406,-2.22,-2.28
191506,.57,0.51
191606,-1.21,-1.27
191706,.39,0.33
191806,-2.81,-2.87
191906,.92,0.86
192006,1.77,1.71
192106,-.71,-0.77
192206,-.53,-0.59
192306,2.02,1.96
192406,-.67,-0.73
192506,-5.14,-5.20
192606,-2.7,-2.76
192706,3.69,3.63
192806,2.39,2.33
192906,-.04,-0.10
193006,-1.44,-1.50
193106,-2.74,-2.80
193206,-1.26,-1.32
193306,-.87,-0.93
193406,-1.9,-1.96
193506,2.86,2.80
193606,-4.24,-4.30
193706,.25,0.19
193806,.21,0.15
193906,.1,0.04
194006,.46,0.40
194106,-1.81,-1.87
194206,-.16,-0.22
194306,-1.57,-1.63
194406,-.47,-0.53
194506,4.53,4.47
194606,-.48,-0.54
194706,-1.1,-1.16
194806,.14,0.08
194906,1,0.94
195006,2.33,2.27
195106,.76,0.70
195206,-1.59,-1.65
195306,-1.31,-1.37
195406,-3.87,-3.93
195506,-2.39,-2.45
195606,-2.24,-2.30
195706,3.19,3.13
195806,3.82,3.76
195906,.37,0.31
196006,.73,0.67
196106,1.06,1.00
196206,.32,0.26
196306,-2.78,-2.84
196406,-2.92,-2.98
196506,.07,0.01
196606,-1.73,-1.79
196706,.67,0.61
196806,2.24,2.18
196906,-.78,-0.84
197006,.2,0.14
197106,-1.95,-2.01
197206,-2.58,-2.64
197306,4.18,4.12
197406,3.59,3.53
197506,3.65,3.59
197606,1,0.94
197706,-2,-2.06
197806,-.93,-0.99
197906,3.03,2.97
198006,-.71,-0.77
198106,1.06,1.00
198206,.86,0.80
198306,1.23,1.17
198406,.29,0.23
198506,-.71,-0.77
198606,.74,0.68
198706,-1.62,-1.68
198806,-2.23,-2.29
198906,2.52,2.46
199006,2.59,2.53
199106,2.06,2.00
199206,1.06,1.00
199306,.52,0.46
199406,.64,0.58
199506,-.51,-0.57
199606,.14,0.08
199706,2.9,2.84
199806,-1.73,-1.79
199906,-.57,-0.63
200006,-1.27,-1.33
200106,-1.12,-1.18
200206,-.55,-0.61
200306,1.09,1.03
200406,.83,0.77
200506,-2.2,-2.26
200606,-3.64,-3.70
200706,-1.88,-1.94
200806,1.7,1.64
200906,2.17,2.11
201006,-1.48,-1.54
201106,-1.58,-1.64
201206,-3.36,-3.42
201306,.41,0.35
201406,1.2,1.14
201506,2.08,2.02
