New Hampshire, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,-1.34,-1.15
189607,-2.34,-2.15
189707,3.19,3.38
189807,.87,1.06
189907,-1.72,-1.53
190007,-1.36,-1.17
190107,-.49,-0.30
190207,2.27,2.46
190307,1.56,1.75
190407,-.86,-0.67
190507,.85,1.04
190607,1.88,2.07
190707,-1.37,-1.18
190807,-1.41,-1.22
190907,-1.92,-1.73
191007,-2.66,-2.47
191107,.12,0.31
191207,-1.17,-0.98
191307,-1.65,-1.46
191407,-1.27,-1.08
191507,2.96,3.15
191607,1.65,1.84
191707,-.53,-0.34
191807,-2.13,-1.94
191907,-1.4,-1.21
192007,1.49,1.68
192107,-1.68,-1.49
192207,2.6,2.79
192307,-1.71,-1.52
192407,-.76,-0.57
192507,1.19,1.38
192607,-1.14,-0.95
192707,.65,0.84
192807,2.17,2.36
192907,-.89,-0.70
193007,-1.47,-1.28
193107,-1.33,-1.14
193207,.42,0.61
193307,-1.58,-1.39
193407,-.21,-0.02
193507,-.07,0.12
193607,-1.11,-0.92
193707,1.93,2.12
193807,1.74,1.93
193907,-1.11,-0.92
194007,1.56,1.75
194107,-2.49,-2.30
194207,-1.55,-1.36
194307,1.21,1.40
194407,1.02,1.21
194507,2.49,2.68
194607,.02,0.21
194707,1.84,2.03
194807,-1.43,-1.24
194907,-3.19,-3.00
195007,-3.27,-3.08
195107,1.61,1.80
195207,-.76,-0.57
195307,-1.43,-1.24
195407,2.55,2.74
195507,-1.68,-1.49
195607,-.32,-0.13
195707,-2.28,-2.09
195807,.69,0.88
195907,-2.1,-1.91
196007,1.93,2.12
196107,-.66,-0.47
196207,.48,0.67
196307,-2.43,-2.24
196407,-2.91,-2.72
196507,-4.6,-4.41
196607,-3.32,-3.13
196707,-.6,-0.41
196807,-.77,-0.58
196907,1.76,1.95
197007,-1.06,-0.87
197107,-1.24,-1.05
197207,2.12,2.31
197307,3.14,3.33
197407,-.52,-0.33
197507,.47,0.66
197607,1.77,1.96
197707,-1.08,-0.89
197807,-1.12,-0.93
197907,-1.28,-1.09
198007,-2.18,-1.99
198107,1.48,1.67
198207,-.44,-0.25
198307,-1.4,-1.21
198407,4.13,4.32
198507,-2.74,-2.55
198607,1.39,1.58
198707,.33,0.52
198807,.87,1.06
198907,1.04,1.23
199007,1.16,1.35
199107,-1.99,-1.80
199207,.34,0.53
199307,-1.47,-1.28
199407,.33,0.52
199507,-2.28,-2.09
199607,4.45,4.64
199707,2.04,2.23
199807,-.07,0.12
199907,-2.13,-1.94
200007,2.2,2.39
200107,-1.46,-1.27
200207,-1.26,-1.07
200307,-1.81,-1.62
200407,.98,1.17
200507,2.26,2.45
200607,5.56,5.75
200707,3.58,3.77
200807,4.19,4.38
200907,5.01,5.20
201007,1.69,1.88
201107,1.63,1.82
201207,.51,0.70
201307,2.29,2.48
201407,2.38,2.57
201507,1.15,1.34
