Maine, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-1.28,-1.18
189603,2.33,2.43
189703,-.73,-0.63
189803,-.62,-0.52
189903,1.1,1.20
190003,4.26,4.36
190103,.96,1.06
190203,3.19,3.29
190303,3.66,3.76
190403,-.02,0.08
190503,-2.35,-2.25
190603,.8,0.90
190703,-1.3,-1.20
190803,-.24,-0.14
190903,2.28,2.38
191003,-.88,-0.78
191103,-1.73,-1.63
191203,.49,0.59
191303,1.91,2.01
191403,.3,0.40
191503,-2.88,-2.78
191603,-1.3,-1.20
191703,.58,0.68
191803,-1.49,-1.39
191903,.42,0.52
192003,1.38,1.48
192103,-.61,-0.51
192203,-2.66,-2.56
192303,.37,0.47
192403,-2.6,-2.50
192503,-1.49,-1.39
192603,-.47,-0.37
192703,-1.19,-1.09
192803,1.72,1.82
192903,-.75,-0.65
193003,-.99,-0.89
193103,-2.92,-2.82
193203,-.98,-0.88
193303,.23,0.33
193403,-.64,-0.54
193503,-.96,-0.86
193603,3.16,3.26
193703,.69,0.79
193803,-.63,-0.53
193903,.13,0.23
194003,.38,0.48
194103,-1.1,-1.00
194203,-1.12,-1.02
194303,-.05,0.05
194403,-1.41,-1.31
194503,.39,0.49
194603,-1.04,-0.94
194703,.39,0.49
194803,-3.72,-3.62
194903,-2.62,-2.52
195003,-2.47,-2.37
195103,2.49,2.59
195203,-.6,-0.50
195303,2.83,2.93
195403,.84,0.94
195503,5.43,5.53
195603,-2.02,-1.92
195703,-2.65,-2.55
195803,1.88,1.98
195903,-.55,-0.45
196003,-.42,-0.32
196103,.01,0.11
196203,-2.12,-2.02
196303,-.2,-0.10
196403,-1.29,-1.19
196503,-3.1,-3.00
196603,-2.59,-2.49
196703,-2.66,-2.56
196803,-.57,-0.47
196903,1.22,1.32
197003,.76,0.86
197103,.92,1.02
197203,1.79,1.89
197303,2.35,2.45
197403,3.35,3.45
197503,-.73,-0.63
197603,1.36,1.46
197703,2.62,2.72
197803,-.9,-0.80
197903,2.08,2.18
198003,-1.81,-1.71
198103,-1.72,-1.62
198203,-.23,-0.13
198303,1.2,1.30
198403,2.97,3.07
198503,-3.01,-2.91
198603,-.51,-0.41
198703,-1.64,-1.54
198803,-2.11,-2.01
198903,-1.89,-1.79
199003,-1.09,-0.99
199103,.98,1.08
199203,0,0.10
199303,.2,0.30
199403,1.09,1.19
199503,-1.03,-0.93
199603,1.53,1.63
199703,2.56,2.66
199803,1.6,1.70
199903,1.68,1.78
200003,1.38,1.48
200103,-1.47,-1.37
200203,-4,-3.90
200303,-2.38,-2.28
200403,-2.27,-2.17
200503,.55,0.65
200603,3.49,3.59
200703,2.97,3.07
200803,3.82,3.92
200903,3.01,3.11
201003,3.48,3.58
201103,2.36,2.46
201203,-1.93,-1.83
201303,-1.21,-1.11
201403,1.89,1.99
201503,-1.22,-1.12
201603,1.97,2.07
