Oklahoma, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.35,-1.57
189604,-1.14,-1.36
189704,-1.05,-1.27
189804,.43,0.21
189904,.14,-0.08
190004,.56,0.34
190104,-1.51,-1.73
190204,.05,-0.17
190304,1.81,1.59
190404,-3.18,-3.40
190504,.91,0.69
190604,1.52,1.30
190704,2.11,1.89
190804,2.31,2.09
190904,-1.2,-1.42
191004,-2.35,-2.57
191104,-4.88,-5.10
191204,-1.31,-1.53
191304,-2.24,-2.46
191404,.01,-0.21
191504,1.83,1.61
191604,-.15,-0.37
191704,-2.87,-3.09
191804,-3.8,-4.02
191904,1.75,1.53
192004,1.43,1.21
192104,2.31,2.09
192204,1.69,1.47
192304,.27,0.05
192404,3.36,3.14
192504,-3.3,-3.52
192604,-.26,-0.48
192704,3.71,3.49
192804,1.9,1.68
192904,2.17,1.95
193004,-1.09,-1.31
193104,.9,0.68
193204,-.64,-0.86
193304,-.26,-0.48
193404,-2.43,-2.65
193504,.1,-0.12
193604,-2.41,-2.63
193704,-2.02,-2.24
193804,1.25,1.03
193904,-1.89,-2.11
194004,.49,0.27
194104,2.05,1.83
194204,4.32,4.10
194304,1.23,1.01
194404,1.22,1.00
194504,2.98,2.76
194604,-.54,-0.76
194704,1.87,1.65
194804,-.82,-1.04
194904,1.3,1.08
195004,-1.71,-1.93
195104,-1.12,-1.34
195204,.63,0.41
195304,-2.34,-2.56
195404,-3.15,-3.37
195504,-4.67,-4.89
195604,-5.1,-5.32
195704,2.46,2.24
195804,2.88,2.66
195904,-2.24,-2.46
196004,2.57,2.35
196104,1.42,1.20
196204,-.43,-0.65
196304,-1.66,-1.88
196404,-3.93,-4.15
196504,-.58,-0.80
196604,-1.66,-1.88
196704,-4.3,-4.52
196804,1.18,0.96
196904,2.52,2.30
197004,.69,0.47
197104,-1.38,-1.60
197204,-1.36,-1.58
197304,4.48,4.26
197404,3.33,3.11
197504,3.83,3.61
197604,-1.18,-1.40
197704,-1.69,-1.91
197804,-2.3,-2.52
197904,.51,0.29
198004,.05,-0.17
198104,-4.18,-4.40
198204,.84,0.62
198304,1.62,1.40
198404,.05,-0.17
198504,4.16,3.94
198604,1.61,1.39
198704,3.14,2.92
198804,3.54,3.32
198904,-1.03,-1.25
199004,3.94,3.72
199104,-1.67,-1.89
199204,1.77,1.55
199304,5.25,5.03
199404,2.84,2.62
199504,2.24,2.02
199604,-2.31,-2.53
199704,3.63,3.41
199804,-.08,-0.30
199904,2.87,2.65
200004,.28,0.06
200104,-1.03,-1.25
200204,.37,0.15
200304,-.65,-0.87
200404,.48,0.26
200504,-1.07,-1.29
200604,-4.09,-4.31
200704,1.11,0.89
200804,2.95,2.73
200904,.64,0.42
201004,-.35,-0.57
201104,-2.96,-3.18
201204,-1.33,-1.55
201304,.43,0.21
201404,-1.41,-1.63
201504,.57,0.35
