Nevada, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,2.83,2.83
189602,.64,0.64
189702,2.24,2.24
189802,-.57,-0.57
189902,.3,0.30
190002,-1.93,-1.93
190102,1.62,1.62
190202,.17,0.17
190302,.46,0.46
190402,.61,0.61
190502,.26,0.26
190602,.76,0.76
190702,4.97,4.97
190802,4.31,4.31
190902,2.47,2.47
191002,2.99,2.99
191102,1.82,1.82
191202,-2.33,-2.33
191302,-1.27,-1.27
191402,4.04,4.04
191502,-1,-1.00
191602,2.36,2.36
191702,1.41,1.41
191802,.29,0.29
191902,.61,0.61
192002,-1.97,-1.97
192102,-.37,-0.37
192202,2.34,2.34
192302,2.21,2.21
192402,-2.08,-2.08
192502,-3.57,-3.57
192602,-1.18,-1.18
192702,-2.38,-2.38
192802,-1.8,-1.80
192902,-3.68,-3.68
193002,-3.82,-3.82
193102,-2.76,-2.76
193202,2.54,2.54
193302,-1.04,-1.04
193402,-3.45,-3.45
193502,.56,0.56
193602,1.46,1.46
193702,1.57,1.57
193802,.6,0.60
193902,-.45,-0.45
194002,1.17,1.17
194102,1.31,1.31
194202,5.24,5.24
194302,2.84,2.84
194402,1.66,1.66
194502,1.27,1.27
194602,2.92,2.92
194702,-.66,-0.66
194802,-1.82,-1.82
194902,.86,0.86
195002,-2.28,-2.28
195102,-2.25,-2.25
195202,1.92,1.92
195302,-1.77,-1.77
195402,-3.66,-3.66
195502,-3.36,-3.36
195602,-.02,-0.02
195702,-2.01,-2.01
195802,1.02,1.02
195902,-1.92,-1.92
196002,-3.32,-3.32
196102,-3.29,-3.29
196202,1.29,1.29
196302,-2.73,-2.73
196402,-1.41,-1.41
196502,-.47,-0.47
196602,-.47,-0.47
196702,.48,0.48
196802,-1.47,-1.47
196902,3.04,3.04
197002,-.7,-0.70
197102,.28,0.28
197202,-.91,-0.91
197302,2.29,2.29
197402,-.43,-0.43
197502,.11,0.11
197602,-1.24,-1.24
197702,-3.02,-3.02
197802,1.36,1.36
197902,3.21,3.21
198002,2.25,2.25
198102,-2.69,-2.69
198202,.26,0.26
198302,4.04,4.04
198402,6.94,6.94
198502,-.32,-0.32
198602,.73,0.73
198702,-1.75,-1.75
198802,-.47,-0.47
198902,-1.21,-1.21
199002,-2.94,-2.94
199102,-4.68,-4.68
199202,-2.35,-2.35
199302,2.8,2.80
199402,-1.33,-1.33
199502,1.65,1.65
199602,-.32,-0.32
199702,-.04,-0.04
199802,1.57,1.57
199902,-.8,-0.80
200002,-1.89,-1.89
200102,-2.04,-2.04
200202,-3.17,-3.17
200302,-4.51,-4.51
200402,-1.82,-1.82
200502,3.67,3.67
200602,3.34,3.34
200702,-2.32,-2.32
200802,-2.87,-2.87
200902,-3.18,-3.18
201002,.26,0.26
201102,2.2,2.20
201202,-2.26,-2.26
201302,-3.45,-3.45
201402,-4.11,-4.11
201502,-4.72,-4.72
201602,-1.7,-1.70
