Maryland, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.66,-0.55
189602,-1.59,-1.48
189702,1.11,1.22
189802,-.56,-0.45
189902,2.09,2.20
190002,.86,0.97
190102,-3.41,-3.30
190202,2.09,2.20
190302,3.12,3.23
190402,-.95,-0.84
190502,-.31,-0.20
190602,1.08,1.19
190702,1.68,1.79
190802,3.55,3.66
190902,.07,0.18
191002,-1.63,-1.52
191102,-1.47,-1.36
191202,1.28,1.39
191302,-1.13,-1.02
191402,-1.08,-0.97
191502,1.65,1.76
191602,.25,0.36
191702,-1.22,-1.11
191802,-1.01,-0.90
191902,-.16,-0.05
192002,1.81,1.92
192102,-.43,-0.32
192202,.48,0.59
192302,.4,0.51
192402,.64,0.75
192502,-1.11,-1.00
192602,-1.22,-1.11
192702,-.31,-0.20
192802,.4,0.51
192902,.49,0.60
193002,-.84,-0.73
193102,-7.17,-7.06
193202,.15,0.26
193302,1.58,1.69
193402,-.75,-0.64
193502,1.6,1.71
193602,3.63,3.74
193702,2.11,2.22
193802,-.96,-0.85
193902,2.23,2.34
194002,.09,0.20
194102,-.93,-0.82
194202,-3.53,-3.42
194302,-.46,-0.35
194402,.04,0.15
194502,.79,0.90
194602,-.76,-0.65
194702,-1.37,-1.26
194802,-.25,-0.14
194902,.05,0.16
195002,.07,0.18
195102,-.26,-0.15
195202,1.13,1.24
195302,1.52,1.63
195402,-2.95,-2.84
195502,-3.31,-3.20
195602,.34,0.45
195702,.19,0.30
195802,1.47,1.58
195902,-1.12,-1.01
196002,.69,0.80
196102,1.63,1.74
196202,.63,0.74
196302,-1.97,-1.86
196402,1.28,1.39
196502,-2.83,-2.72
196602,-4.17,-4.06
196702,-.94,-0.83
196802,-1.19,-1.08
196902,-2.22,-2.11
197002,.8,0.91
197102,1.18,1.29
197202,2.78,2.89
197302,3.67,3.78
197402,-.61,-0.50
197502,.63,0.74
197602,-.79,-0.68
197702,-1.72,-1.61
197802,2.23,2.34
197902,3.04,3.15
198002,-1.45,-1.34
198102,-2.27,-2.16
198202,.4,0.51
198302,.05,0.16
198402,1.95,2.06
198502,-1.36,-1.25
198602,-.24,-0.13
198702,-1.42,-1.31
198802,-1.42,-1.31
198902,.14,0.25
199002,-.77,-0.66
199102,-.84,-0.73
199202,-3.75,-3.64
199302,.91,1.02
199402,1.75,1.86
199502,-1.77,-1.66
199602,1.75,1.86
199702,-.56,-0.45
199802,2.64,2.75
199902,-3.64,-3.53
200002,.71,0.82
200102,-1.4,-1.29
200202,-4.58,-4.47
200302,2.6,2.71
200402,4.08,4.19
200502,-.45,-0.34
200602,-.56,-0.45
200702,-.75,-0.64
200802,-3.05,-2.94
200902,-2.02,-1.91
201002,3.54,3.65
201102,-2.08,-1.97
201202,-.91,-0.80
201302,-.46,-0.35
201402,1.97,2.08
201502,-.47,-0.36
201602,.6,0.71
