Massachusetts, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-1.07,-0.87
189602,.82,1.02
189702,-1.01,-0.81
189802,2.95,3.15
189902,3.14,3.34
190002,2.08,2.28
190102,-2.67,-2.47
190202,1.92,2.12
190302,1.75,1.95
190402,-.68,-0.48
190502,-1.41,-1.21
190602,-.93,-0.73
190702,-1.07,-0.87
190802,2.27,2.47
190902,1.25,1.45
191002,1.22,1.42
191102,-3.17,-2.97
191202,.4,0.60
191302,-1.85,-1.65
191402,-.88,-0.68
191502,-.94,-0.74
191602,1.26,1.46
191702,-1.49,-1.29
191802,-1.22,-1.02
191902,-1.04,-0.84
192002,1.14,1.34
192102,-.55,-0.35
192202,-1.05,-0.85
192302,-.59,-0.39
192402,-.3,-0.10
192502,-1.93,-1.73
192602,.86,1.06
192702,-.4,-0.20
192802,2.47,2.67
192902,.26,0.46
193002,-2.84,-2.64
193102,-3.28,-3.08
193202,-1.62,-1.42
193302,.78,0.98
193402,-.62,-0.42
193502,-.15,0.05
193602,.74,0.94
193702,.95,1.15
193802,-.44,-0.24
193902,.23,0.43
194002,.38,0.58
194102,-1.59,-1.39
194202,-3,-2.80
194302,-.92,-0.72
194402,-2.32,-2.12
194502,.74,0.94
194602,-.15,0.05
194702,-2.07,-1.87
194802,-1.25,-1.05
194902,-.64,-0.44
195002,-2.87,-2.67
195102,.83,1.03
195202,1.71,1.91
195302,1,1.20
195402,-.52,-0.32
195502,-.65,-0.45
195602,3.46,3.66
195702,-1.78,-1.58
195802,1.69,1.89
195902,-.97,-0.77
196002,1.77,1.97
196102,-.71,-0.51
196202,-.17,0.03
196302,-.23,-0.03
196402,-1.3,-1.10
196502,-3.81,-3.61
196602,-4.32,-4.12
196702,0,0.20
196802,-1.37,-1.17
196902,1.1,1.30
197002,-.16,0.04
197102,-.74,-0.54
197202,.73,0.93
197302,3.41,3.61
197402,2.3,2.50
197502,1.48,1.68
197602,-.16,0.04
197702,-1.18,-0.98
197802,-.65,-0.45
197902,2.49,2.69
198002,-2.39,-2.19
198102,-1.16,-0.96
198202,1.09,1.29
198302,.85,1.05
198402,2.69,2.89
198502,-2.85,-2.65
198602,-.23,-0.03
198702,1.34,1.54
198802,-.38,-0.18
198902,-1.76,-1.56
199002,2.5,2.70
199102,-.88,-0.68
199202,-.94,-0.74
199302,1.47,1.67
199402,.87,1.07
199502,-.54,-0.34
199602,1.99,2.19
199702,-.62,-0.42
199802,1.46,1.66
199902,1.06,1.26
200002,.07,0.27
200102,-.77,-0.57
200202,-3.19,-2.99
200302,1.08,1.28
200402,-1.37,-1.17
200502,1.27,1.47
200602,2.83,3.03
200702,1.28,1.48
200802,2.4,2.60
200902,2.59,2.79
201002,3.13,3.33
201102,.94,1.14
201202,-1.2,-1.00
201302,-.73,-0.53
201402,.44,0.64
201502,-.11,0.09
201602,-.97,-0.77
