Colorado, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.64,1.25
189601,3.12,2.73
189701,.05,-0.34
189801,2.26,1.87
189901,1.46,1.07
190001,-1.1,-1.49
190101,-3.86,-4.25
190201,-4.26,-4.65
190301,-3.36,-3.75
190401,-2.4,-2.79
190501,-1.46,-1.85
190601,-.84,-1.23
190701,3.56,3.17
190801,-.5,-0.89
190901,3.32,2.93
191001,3.75,3.36
191101,-2.22,-2.61
191201,.98,0.59
191301,-.55,-0.94
191401,2.12,1.73
191501,2.29,1.90
191601,4.81,4.42
191701,3.32,2.93
191801,.38,-0.01
191901,.85,0.46
192001,2.11,1.72
192101,2.8,2.41
192201,2.85,2.46
192301,.58,0.19
192401,5.49,5.10
192501,-1.51,-1.90
192601,1.2,0.81
192701,-.68,-1.07
192801,2.07,1.68
192901,2.79,2.40
193001,2.72,2.33
193101,-1.16,-1.55
193201,.03,-0.36
193301,-2.03,-2.42
193401,-2.64,-3.03
193501,-5.85,-6.24
193601,-2.81,-3.20
193701,-2.81,-3.20
193801,-.17,-0.56
193901,2.35,1.96
194001,-4.05,-4.44
194101,.79,0.40
194201,6.09,5.70
194301,.21,-0.18
194401,-1.16,-1.55
194501,-1.36,-1.75
194601,-.96,-1.35
194701,1.62,1.23
194801,3.64,3.25
194901,2.11,1.72
195001,-1.08,-1.47
195101,-2.29,-2.68
195201,2.84,2.45
195301,-2.04,-2.43
195401,-1.91,-2.30
195501,-4.86,-5.25
195601,-2.82,-3.21
195701,.94,0.55
195801,4.72,4.33
195901,-1.57,-1.96
196001,.97,0.58
196101,-2.23,-2.62
196201,2.73,2.34
196301,-2,-2.39
196401,-4.72,-5.11
196501,1,0.61
196601,5.08,4.69
196701,-1.16,-1.55
196801,-.33,-0.72
196901,.55,0.16
197001,4.36,3.97
197101,2.5,2.11
197201,-.2,-0.59
197301,2.59,2.20
197401,3.15,2.76
197501,-1.91,-2.30
197601,-.72,-1.11
197701,-2.37,-2.76
197801,-3.35,-3.74
197901,2.01,1.62
198001,2.88,2.49
198101,-3.74,-4.13
198201,-2.25,-2.64
198301,2.15,1.76
198401,4.41,4.02
198501,4.65,4.26
198601,3.34,2.95
198701,3.57,3.18
198801,2.47,2.08
198901,-.64,-1.03
199001,-3.42,-3.81
199101,-1.37,-1.76
199201,1.35,0.96
199301,1.98,1.59
199401,-.29,-0.68
199501,.69,0.30
199601,2.25,1.86
199701,2.24,1.85
199801,4.24,3.85
199901,-.21,-0.60
200001,-1.61,-2.00
200101,-2.58,-2.97
200201,-3.57,-3.96
200301,-6.28,-6.67
200401,-4.04,-4.43
200501,1.65,1.26
200601,-.58,-0.97
200701,1.89,1.50
200801,1.42,1.03
200901,-.3,-0.69
201001,1.25,0.86
201101,-.56,-0.95
201201,-.95,-1.34
201301,-6.23,-6.62
201401,1.34,0.95
201501,-.29,-0.68
