Pennsylvania, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.18,-1.27
189604,-2.83,-2.92
189704,.24,0.15
189804,.08,-0.01
189904,-1.04,-1.13
190004,-.98,-1.07
190104,1.4,1.31
190204,2.23,2.14
190304,2.86,2.77
190404,2.57,2.48
190504,-.85,-0.94
190604,1.16,1.07
190704,1.09,1.00
190804,3.12,3.03
190904,-1.2,-1.29
191004,-2.4,-2.49
191104,-1.72,-1.81
191204,2.4,2.31
191304,2.55,2.46
191404,1.09,1.00
191504,-1.95,-2.04
191604,1.88,1.79
191704,-1.66,-1.75
191804,.45,0.36
191904,-1.1,-1.19
192004,.6,0.51
192104,-1.14,-1.23
192204,-.52,-0.61
192304,-2.58,-2.67
192404,1.4,1.31
192504,-2.41,-2.50
192604,-.96,-1.05
192704,1.92,1.83
192804,3.52,3.43
192904,1.24,1.15
193004,-.56,-0.65
193104,-5.4,-5.49
193204,-2.98,-3.07
193304,1.24,1.15
193404,-1.3,-1.39
193504,-.85,-0.94
193604,-.05,-0.14
193704,2.05,1.96
193804,-.82,-0.91
193904,1.18,1.09
194004,2.15,2.06
194104,-2.29,-2.38
194204,-2.34,-2.43
194304,1.91,1.82
194404,-.69,-0.78
194504,.15,0.06
194604,-2.29,-2.38
194704,.13,0.04
194804,.95,0.86
194904,-.62,-0.71
195004,1.47,1.38
195104,3.32,3.23
195204,2.59,2.50
195304,1.11,1.02
195404,-2.58,-2.67
195504,-.48,-0.57
195604,1.74,1.65
195704,-.04,-0.13
195804,.81,0.72
195904,-.41,-0.50
196004,-1.2,-1.29
196104,1.75,1.66
196204,-.68,-0.77
196304,-2.42,-2.51
196404,-1.03,-1.12
196504,-2.95,-3.04
196604,-2.78,-2.87
196704,.58,0.49
196804,-2.05,-2.14
196904,-2.77,-2.86
197004,-.26,-0.35
197104,-1.2,-1.29
197204,1.27,1.18
197304,2.52,2.43
197404,1.48,1.39
197504,2.06,1.97
197604,1.27,1.18
197704,-.84,-0.93
197804,1.82,1.73
197904,2.16,2.07
198004,1.18,1.09
198104,.66,0.57
198204,-.57,-0.66
198304,1.62,1.53
198404,1.85,1.76
198504,-2.01,-2.10
198604,-.65,-0.74
198704,-1.1,-1.19
198804,-1.49,-1.58
198904,-2.35,-2.44
199004,-1.47,-1.56
199104,-.74,-0.83
199204,-3.87,-3.96
199304,3.68,3.59
199404,2.88,2.79
199504,-1.62,-1.71
199604,2.28,2.19
199704,2.66,2.57
199804,2.41,2.32
199904,-1.94,-2.03
200004,.41,0.32
200104,-1.3,-1.39
200204,-2.82,-2.91
200304,-.81,-0.90
200404,3.29,3.20
200504,-.05,-0.14
200604,-1.5,-1.59
200704,2.57,2.48
200804,-.46,-0.55
200904,-1.56,-1.65
201004,-1.14,-1.23
201104,3.81,3.72
201204,-2.03,-2.12
201304,-1.12,-1.21
201404,.91,0.82
201504,-.8,-0.89
