Ohio, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.76,-1.80
189604,-3.22,-3.26
189704,3.05,3.01
189804,2.6,2.56
189904,-1.1,-1.14
190004,-2.52,-2.56
190104,-2.68,-2.72
190204,-3.41,-3.45
190304,.29,0.25
190404,1.75,1.71
190504,-2.65,-2.69
190604,-.86,-0.90
190704,2.15,2.11
190804,3.66,3.62
190904,1.46,1.42
191004,-2.03,-2.07
191104,.58,0.54
191204,3,2.96
191304,-.02,-0.06
191404,-.21,-0.25
191504,-2.59,-2.63
191604,3.28,3.24
191704,.42,0.38
191804,-.6,-0.64
191904,.07,0.03
192004,2.19,2.15
192104,-.02,-0.06
192204,1.94,1.90
192304,-.25,-0.29
192404,1.34,1.30
192504,-2.01,-2.05
192604,-.03,-0.07
192704,3.8,3.76
192804,2.38,2.34
192904,1.2,1.16
193004,-.88,-0.92
193104,-6.09,-6.13
193204,-1.46,-1.50
193304,1.43,1.39
193404,-3.15,-3.19
193504,-5.24,-5.28
193604,.31,0.27
193704,1.83,1.79
193804,1.8,1.76
193904,2.11,2.07
194004,1.39,1.35
194104,-3.3,-3.34
194204,-1.95,-1.99
194304,1.15,1.11
194404,-1.05,-1.09
194504,1.42,1.38
194604,-1.49,-1.53
194704,.82,0.78
194804,1.9,1.86
194904,-.45,-0.49
195004,2.92,2.88
195104,.01,-0.03
195204,2.02,1.98
195304,-2.73,-2.77
195404,-4.86,-4.90
195504,-.54,-0.58
195604,1.65,1.61
195704,.94,0.90
195804,.18,0.14
195904,-.15,-0.19
196004,-1.81,-1.85
196104,1.81,1.77
196204,-.96,-1.00
196304,-1.18,-1.22
196404,-2.09,-2.13
196504,-1.85,-1.89
196604,-.63,-0.67
196704,.22,0.18
196804,-1.18,-1.22
196904,.02,-0.02
197004,.69,0.65
197104,-1.49,-1.53
197204,.96,0.92
197304,2.37,2.33
197404,1.48,1.44
197504,2.86,2.82
197604,-1.22,-1.26
197704,-1.07,-1.11
197804,-.85,-0.89
197904,1.04,1.00
198004,2.47,2.43
198104,1.8,1.76
198204,-.6,-0.64
198304,.67,0.63
198404,1.72,1.68
198504,-1.74,-1.78
198604,-1.23,-1.27
198704,-1.72,-1.76
198804,-2.28,-2.32
198904,.96,0.92
199004,.81,0.77
199104,-.32,-0.36
199204,-3.78,-3.82
199304,2.86,2.82
199404,.4,0.36
199504,.13,0.09
199604,1.9,1.86
199704,2.34,2.30
199804,2.06,2.02
199904,-1,-1.04
200004,.25,0.21
200104,-1.37,-1.41
200204,.59,0.55
200304,-1.96,-2.00
200404,2.76,2.72
200504,-.09,-0.13
200604,-1.7,-1.74
200704,.15,0.11
200804,2.27,2.23
200904,-.45,-0.49
201004,-1.62,-1.66
201104,3.09,3.05
201204,-1.71,-1.75
201304,-.25,-0.29
201404,2.43,2.39
201504,1.51,1.47
