Utah, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,-.15,-0.61
189607,.52,0.06
189707,-.74,-1.20
189807,3.09,2.63
189907,.41,-0.05
190007,-3.47,-3.93
190107,-2.54,-3.00
190207,-4.11,-4.57
190307,2.33,1.87
190407,-.25,-0.71
190507,1.54,1.08
190607,4.77,4.31
190707,6.2,5.74
190807,2.85,2.39
190907,4.48,4.02
191007,1.48,1.02
191107,2.07,1.61
191207,2.29,1.83
191307,2.01,1.55
191407,4.86,4.40
191507,1.92,1.46
191607,2.06,1.60
191707,5.91,5.45
191807,.4,-0.06
191907,-2.94,-3.40
192007,2.51,2.05
192107,3.54,3.08
192207,3.44,2.98
192307,3.9,3.44
192407,-2.21,-2.67
192507,.42,-0.04
192607,-1.77,-2.23
192707,2.17,1.71
192807,-1.52,-1.98
192907,1.62,1.16
193007,-1.92,-2.38
193107,-4.15,-4.61
193207,3,2.54
193307,-.61,-1.07
193407,-6.59,-7.05
193507,-1.92,-2.38
193607,.89,0.43
193707,2.27,1.81
193807,-.01,-0.47
193907,-2.45,-2.91
194007,-4.16,-4.62
194107,4.63,4.17
194207,.02,-0.44
194307,-1.74,-2.20
194407,2.64,2.18
194507,1.62,1.16
194607,-2.35,-2.81
194707,3.28,2.82
194807,1.97,1.51
194907,3.02,2.56
195007,-1.03,-1.49
195107,-2.53,-2.99
195207,3.27,2.81
195307,-1.78,-2.24
195407,-4.01,-4.47
195507,-2.97,-3.43
195607,-2.89,-3.35
195707,3.14,2.68
195807,-.92,-1.38
195907,-4.15,-4.61
196007,-4.25,-4.71
196107,-4.63,-5.09
196207,-.14,-0.60
196307,-3.55,-4.01
196407,-1.34,-1.80
196507,5.12,4.66
196607,-1.68,-2.14
196707,2.41,1.95
196807,1.61,1.15
196907,3.06,2.60
197007,.54,0.08
197107,-.66,-1.12
197207,-3.27,-3.73
197307,4.84,4.38
197407,-2.6,-3.06
197507,3.63,3.17
197607,-1.01,-1.47
197707,-5.45,-5.91
197807,1.73,1.27
197907,-.28,-0.74
198007,4.26,3.80
198107,-2.57,-3.03
198207,2.31,1.85
198307,6.59,6.13
198407,6.31,5.85
198507,4.4,3.94
198607,3.16,2.70
198707,.27,-0.19
198807,-.75,-1.21
198907,-3.98,-4.44
199007,-5.21,-5.67
199107,-2.82,-3.28
199207,-2.42,-2.88
199307,3.13,2.67
199407,-3.05,-3.51
199507,6,5.54
199607,-2.31,-2.77
199707,2.91,2.45
199807,5.44,4.98
199907,3.2,2.74
200007,-4.21,-4.67
200107,-2.22,-2.68
200207,-6.11,-6.57
200307,-5.08,-5.54
200407,-3.09,-3.55
200507,5.61,5.15
200607,-1.86,-2.32
200707,-3.55,-4.01
200807,-1.53,-1.99
200907,-1.04,-1.50
201007,.72,0.26
201107,6.08,5.62
201207,-4.6,-5.06
201307,-4.57,-5.03
201407,-4.2,-4.66
201507,-2.42,-2.88
