Massachusetts, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-.87,-0.75
189604,-1.13,-1.01
189704,-1.28,-1.16
189804,2.15,2.27
189904,-.81,-0.69
190004,-.72,-0.60
190104,2.4,2.52
190204,2.01,2.13
190304,-.29,-0.17
190404,1.38,1.50
190504,-1.82,-1.70
190604,.3,0.42
190704,-1.61,-1.49
190804,-.89,-0.77
190904,1.52,1.64
191004,-1.49,-1.37
191104,-2.9,-2.78
191204,1.26,1.38
191304,-1.06,-0.94
191404,.88,1.00
191504,-2.72,-2.60
191604,1.16,1.28
191704,-1.4,-1.28
191804,-1.47,-1.35
191904,-.85,-0.73
192004,2,2.12
192104,.23,0.35
192204,-.59,-0.47
192304,-.2,-0.08
192404,.74,0.86
192504,-1.58,-1.46
192604,-.55,-0.43
192704,-1.93,-1.81
192804,1.92,2.04
192904,1.32,1.44
193004,-3.22,-3.10
193104,-.44,-0.32
193204,-1.62,-1.50
193304,2.28,2.40
193404,-.4,-0.28
193504,-.84,-0.72
193604,.04,0.16
193704,1.13,1.25
193804,-1.34,-1.22
193904,1.04,1.16
194004,1.51,1.63
194104,-3.01,-2.89
194204,-2.63,-2.51
194304,-.79,-0.67
194404,-1.38,-1.26
194504,-1.01,-0.89
194604,-1.62,-1.50
194704,.35,0.47
194804,-1.32,-1.20
194904,-1.11,-0.99
195004,-2.65,-2.53
195104,.58,0.70
195204,1.36,1.48
195304,2.95,3.07
195404,.15,0.27
195504,-.38,-0.26
195604,3.57,3.69
195704,-2.19,-2.07
195804,2.07,2.19
195904,-.42,-0.30
196004,1.26,1.38
196104,.65,0.77
196204,-.85,-0.73
196304,-1.2,-1.08
196404,-1.21,-1.09
196504,-4.02,-3.90
196604,-4.92,-4.80
196704,.51,0.63
196804,.08,0.20
196904,-.02,0.10
197004,-.13,-0.01
197104,-1.27,-1.15
197204,1.58,1.70
197304,3.21,3.33
197404,1.68,1.80
197504,-.34,-0.22
197604,-1.07,-0.95
197704,.68,0.80
197804,-1.45,-1.33
197904,2.19,2.31
198004,-.62,-0.50
198104,-2.21,-2.09
198204,-.06,0.06
198304,3.7,3.82
198404,3.09,3.21
198504,-3.7,-3.58
198604,-1.27,-1.15
198704,2.99,3.11
198804,-.98,-0.86
198904,.27,0.39
199004,1.73,1.85
199104,-.86,-0.74
199204,-1,-0.88
199304,2.58,2.70
199404,-.54,-0.42
199504,-1.57,-1.45
199604,2.51,2.63
199704,.76,0.88
199804,1.28,1.40
199904,-1.19,-1.07
200004,.82,0.94
200104,-.91,-0.79
200204,-2.75,-2.63
200304,1.23,1.35
200404,1.27,1.39
200504,1.69,1.81
200604,.65,0.77
200704,3.04,3.16
200804,2.35,2.47
200904,1.72,1.84
201004,-1.2,-1.08
201104,1.19,1.31
201204,-2.61,-2.49
201304,-1.59,-1.47
201404,.58,0.70
201504,-.94,-0.82
