Delaware, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,.83,1.01
189604,-1.45,-1.27
189704,.07,0.25
189804,-.73,-0.55
189904,-.71,-0.53
190004,-1.8,-1.62
190104,.77,0.95
190204,1.56,1.74
190304,3.57,3.75
190404,-.8,-0.62
190504,.32,0.50
190604,-.5,-0.32
190704,.36,0.54
190804,-1.02,-0.84
190904,.43,0.61
191004,-1.38,-1.20
191104,-.06,0.12
191204,-.28,-0.10
191304,-.88,-0.70
191404,-1.2,-1.02
191504,-1.35,-1.17
191604,.12,0.30
191704,.71,0.89
191804,.9,1.08
191904,.39,0.57
192004,2.44,2.62
192104,-1.32,-1.14
192204,-.52,-0.34
192304,1.55,1.73
192404,1.97,2.15
192504,-1.37,-1.19
192604,-2.16,-1.98
192704,-.97,-0.79
192804,.99,1.17
192904,1.31,1.49
193004,-2.51,-2.33
193104,-4.33,-4.15
193204,-1.51,-1.33
193304,1.75,1.93
193404,1.52,1.70
193504,1.66,1.84
193604,4.17,4.35
193704,2.43,2.61
193804,-1.66,-1.48
193904,4,4.18
194004,1.25,1.43
194104,-1.45,-1.27
194204,-2.78,-2.60
194304,-.77,-0.59
194404,1.52,1.70
194504,-1.12,-0.94
194604,-1.52,-1.34
194704,-1.92,-1.74
194804,.73,0.91
194904,-.42,-0.24
195004,-2.45,-2.27
195104,-1.67,-1.49
195204,2.68,2.86
195304,1.86,2.04
195404,-1.48,-1.30
195504,-2.6,-2.42
195604,-.87,-0.69
195704,-.88,-0.70
195804,2.57,2.75
195904,-1.23,-1.05
196004,-.98,-0.80
196104,2.11,2.29
196204,.74,0.92
196304,-1.97,-1.79
196404,1.52,1.70
196504,-2.95,-2.77
196604,-4.11,-3.93
196704,-1.23,-1.05
196804,-1.39,-1.21
196904,-2.67,-2.49
197004,1.62,1.80
197104,-.65,-0.47
197204,2.08,2.26
197304,.46,0.64
197404,-.99,-0.81
197504,1.41,1.59
197604,-2.32,-2.14
197704,-2.04,-1.86
197804,2.07,2.25
197904,2.34,2.52
198004,1.31,1.49
198104,-2.13,-1.95
198204,-.74,-0.56
198304,2.55,2.73
198404,3.06,3.24
198504,-4.42,-4.24
198604,-2.07,-1.89
198704,-1.56,-1.38
198804,-2.22,-2.04
198904,1.54,1.72
199004,.1,0.28
199104,-1.34,-1.16
199204,-2.74,-2.56
199304,1.95,2.13
199404,-.4,-0.22
199504,-2.5,-2.32
199604,1.25,1.43
199704,-.09,0.09
199804,-.26,-0.08
199904,-2.14,-1.96
200004,1.53,1.71
200104,-.83,-0.65
200204,-3.01,-2.83
200304,2.63,2.81
200404,2.95,3.13
200504,1.22,1.40
200604,-2.25,-2.07
200704,1.03,1.21
200804,-2.68,-2.50
200904,.59,0.77
201004,-.86,-0.68
201104,-2.26,-2.08
201204,-3.28,-3.10
201304,-.51,-0.33
201404,2.49,2.67
201504,-.22,-0.04
