Minnesota, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-.5,-0.91
189610,1.29,0.88
189710,-1.08,-1.49
189810,1,0.59
189910,3.2,2.79
190010,3.46,3.05
190110,-.62,-1.03
190210,1.52,1.11
190310,5.21,4.80
190410,3.42,3.01
190510,4.77,4.36
190610,3.49,3.08
190710,2.66,2.25
190810,1.53,1.12
190910,1.63,1.22
191010,-5.43,-5.84
191110,1.36,0.95
191210,-.45,-0.86
191310,1.85,1.44
191410,-.12,-0.53
191510,1.86,1.45
191610,2.58,2.17
191710,-1.4,-1.81
191810,.11,-0.30
191910,1.47,1.06
192010,-1.15,-1.56
192110,-2.47,-2.88
192210,-4.69,-5.10
192310,-3.7,-4.11
192410,1.5,1.09
192510,-.09,-0.50
192610,1.9,1.49
192710,-1.09,-1.50
192810,2.67,2.26
192910,-1.76,-2.17
193010,-2.95,-3.36
193110,-4.13,-4.54
193210,-3.17,-3.58
193310,-4.4,-4.81
193410,-6.11,-6.52
193510,.74,0.33
193610,-4.99,-5.40
193710,-2.79,-3.20
193810,-2.19,-2.60
193910,-2.46,-2.87
194010,.03,-0.38
194110,2.15,1.74
194210,3.06,2.65
194310,2.26,1.85
194410,2.8,2.39
194510,2.8,2.39
194610,2.7,2.29
194710,-1.43,-1.84
194810,-2.71,-3.12
194910,.54,0.13
195010,-1.05,-1.46
195110,3.45,3.04
195210,-1.81,-2.22
195310,1.18,0.77
195410,-.36,-0.77
195510,-2.16,-2.57
195610,-1.59,-2.00
195710,2.5,2.09
195810,-2.03,-2.44
195910,1.4,0.99
196010,-.85,-1.26
196110,.57,0.16
196210,-.39,-0.80
196310,-1.61,-2.02
196410,.97,0.56
196510,4.26,3.85
196610,-.51,-0.92
196710,-2.28,-2.69
196810,4.09,3.68
196910,.51,0.10
197010,1.28,0.87
197110,2.81,2.40
197210,3.1,2.69
197310,2.44,2.03
197410,-1.16,-1.57
197510,-1.31,-1.72
197610,-5.46,-5.87
197710,2.26,1.85
197810,2.01,1.60
197910,3.2,2.79
198010,-1.47,-1.88
198110,2.29,1.88
198210,2.96,2.55
198310,2.55,2.14
198410,2.46,2.05
198510,4.07,3.66
198610,4.83,4.42
198710,-2.72,-3.13
198810,-5.18,-5.59
198910,-3.18,-3.59
199010,-.51,-0.92
199110,2.3,1.89
199210,2.16,1.75
199310,4.76,4.35
199410,3.14,2.73
199510,3.32,2.91
199610,1.78,1.37
199710,2.07,1.66
199810,1.07,0.66
199910,3.36,2.95
200010,.86,0.45
200110,-.8,-1.21
200210,3.15,2.74
200310,-1.91,-2.32
200410,3.17,2.76
200510,2.68,2.27
200610,-2.5,-2.91
200710,1.81,1.40
200810,1.53,1.12
200910,1.85,1.44
201010,3.98,3.57
201110,-1.95,-2.36
201210,-3.57,-3.98
201310,.63,0.22
201410,-.8,-1.21
201510,1.01,0.60
