Utah, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.61,1.28
189601,-.44,-0.77
189701,.33,0.00
189801,1.84,1.51
189901,-1.3,-1.63
190001,-1.24,-1.57
190101,-3.08,-3.41
190201,-3.12,-3.45
190301,.96,0.63
190401,-1.75,-2.08
190501,-1.76,-2.09
190601,1.74,1.41
190701,6.33,6.00
190801,3.44,3.11
190901,5.06,4.73
191001,5.71,5.38
191101,1.83,1.50
191201,-.87,-1.20
191301,2.04,1.71
191401,3.22,2.89
191501,1.63,1.30
191601,2.48,2.15
191701,3.4,3.07
191801,-1.84,-2.17
191901,-1.03,-1.36
192001,.61,0.28
192101,3.06,2.73
192201,2.56,2.23
192301,2.86,2.53
192401,-.68,-1.01
192501,-1.89,-2.22
192601,-1.03,-1.36
192701,.04,-0.29
192801,-.68,-1.01
192901,.54,0.21
193001,-1.25,-1.58
193101,-1.45,-1.78
193201,.83,0.50
193301,-.99,-1.32
193401,-2.32,-2.65
193501,-4.96,-5.29
193601,-2.57,-2.90
193701,.92,0.59
193801,-.96,-1.29
193901,-.15,-0.48
194001,-2.14,-2.47
194101,1.63,1.30
194201,5.7,5.37
194301,-.98,-1.31
194401,.35,0.02
194501,-1.91,-2.24
194601,-.34,-0.67
194701,3.01,2.68
194801,2.75,2.42
194901,2.04,1.71
195001,.61,0.28
195101,-2.51,-2.84
195201,2.5,2.17
195301,-1.33,-1.66
195401,-2.4,-2.73
195501,-2.9,-3.23
195601,-1.35,-1.68
195701,-3.06,-3.39
195801,3.33,3.00
195901,-2.74,-3.07
196001,-2.98,-3.31
196101,-3.69,-4.02
196201,1.27,0.94
196301,-2.52,-2.85
196401,-2.78,-3.11
196501,1.38,1.05
196601,4.86,4.53
196701,1.15,0.82
196801,-1.02,-1.35
196901,1.8,1.47
197001,-.67,-1.00
197101,-.25,-0.58
197201,-.22,-0.55
197301,3.38,3.05
197401,2.9,2.57
197501,-2.62,-2.95
197601,-1.25,-1.58
197701,-3.58,-3.91
197801,.63,0.30
197901,3.21,2.88
198001,1.53,1.20
198101,-1.73,-2.06
198201,1.6,1.27
198301,4.87,4.54
198401,6.64,6.31
198501,5.21,4.88
198601,3,2.67
198701,-1.14,-1.47
198801,.83,0.50
198901,-1.73,-2.06
199001,-4.49,-4.82
199101,-4.06,-4.39
199201,-1.59,-1.92
199301,1.79,1.46
199401,-.98,-1.31
199501,1.81,1.48
199601,-1.44,-1.77
199701,2.31,1.98
199801,2.85,2.52
199901,3.43,3.10
200001,-2.19,-2.52
200101,-1.8,-2.13
200201,-2.81,-3.14
200301,-4.47,-4.80
200401,-3.45,-3.78
200501,4.05,3.72
200601,-.6,-0.93
200701,-.73,-1.06
200801,-1.83,-2.16
200901,-1.6,-1.93
201001,.32,-0.01
201101,2.67,2.34
201201,-.89,-1.22
201301,-3.47,-3.80
201401,-2.37,-2.70
201501,-2.09,-2.42
