Virginia, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.59,-0.59
189602,.71,0.71
189702,1.47,1.47
189802,-2.5,-2.50
189902,2.68,2.68
190002,-.85,-0.85
190102,-3.21,-3.21
190202,4.14,4.14
190302,1.78,1.78
190402,-1.23,-1.23
190502,-.64,-0.64
190602,1.03,1.03
190702,1.22,1.22
190802,2.91,2.91
190902,1.48,1.48
191002,-1.42,-1.42
191102,-.46,-0.46
191202,.44,0.44
191302,-1.87,-1.87
191402,-.01,-0.01
191502,1.76,1.76
191602,-.19,-0.19
191702,-.79,-0.79
191802,-1.02,-1.02
191902,.5,0.50
192002,.8,0.80
192102,-.07,-0.07
192202,.84,0.84
192302,.56,0.56
192402,.3,0.30
192502,-.75,-0.75
192602,-2.01,-2.01
192702,-.49,-0.49
192802,-.75,-0.75
192902,1.18,1.18
193002,-1.31,-1.31
193102,-6.59,-6.59
193202,-3.09,-3.09
193302,1.62,1.62
193402,.34,0.34
193502,1.32,1.32
193602,3.32,3.32
193702,2.22,2.22
193802,-1.4,-1.40
193902,.92,0.92
194002,-1.5,-1.50
194102,-1.5,-1.50
194202,-4.42,-4.42
194302,-.64,-0.64
194402,.85,0.85
194502,.26,0.26
194602,-.2,-0.20
194702,-.59,-0.59
194802,.18,0.18
194902,2.34,2.34
195002,-1.01,-1.01
195102,-.79,-0.79
195202,1.18,1.18
195302,.37,0.37
195402,-3.4,-3.40
195502,.35,0.35
195602,.57,0.57
195702,1.4,1.40
195802,1.88,1.88
195902,-1.52,-1.52
196002,1.3,1.30
196102,.85,0.85
196202,2.2,2.20
196302,.16,0.16
196402,-1.46,-1.46
196502,-1.45,-1.45
196602,-3.63,-3.63
196702,-.63,-0.63
196802,-1.08,-1.08
196902,-1.79,-1.79
197002,-.6,-0.60
197102,.68,0.68
197202,1.71,1.71
197302,3.93,3.93
197402,.9,0.90
197502,.97,0.97
197602,-.84,-0.84
197702,-1.34,-1.34
197802,2.1,2.10
197902,2.46,2.46
198002,-.85,-0.85
198102,-3.6,-3.60
198202,1.3,1.30
198302,.38,0.38
198402,2.06,2.06
198502,-1.12,-1.12
198602,-1.09,-1.09
198702,1.14,1.14
198802,-1.4,-1.40
198902,.21,0.21
199002,2.55,2.55
199102,-.63,-0.63
199202,-.38,-0.38
199302,1.29,1.29
199402,1.72,1.72
199502,-.92,-0.92
199602,1.64,1.64
199702,-.37,-0.37
199802,2.8,2.80
199902,-3.46,-3.46
200002,-1.1,-1.10
200102,-2.11,-2.11
200202,-3.9,-3.90
200302,2.57,2.57
200402,3.99,3.99
200502,-.68,-0.68
200602,-1.52,-1.52
200702,-.83,-0.83
200802,-3.88,-3.88
200902,-2.61,-2.61
201002,3.8,3.80
201102,-2.95,-2.95
201202,-.77,-0.77
201302,.71,0.71
201402,2.3,2.30
201502,.02,0.02
201602,2.63,2.63
