Massachusetts, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-1.29,-1.24
189608,-2.04,-1.99
189708,2.86,2.91
189808,2.72,2.77
189908,-1.54,-1.49
190008,-1.19,-1.14
190108,2.17,2.22
190208,1.43,1.48
190308,1.99,2.04
190408,.17,0.22
190508,.6,0.65
190608,-.24,-0.19
190708,-2.08,-2.03
190808,.67,0.72
190908,-1.19,-1.14
191008,-1.95,-1.90
191108,.63,0.68
191208,-1.22,-1.17
191308,-2.38,-2.33
191408,-.81,-0.76
191508,2.99,3.04
191608,-.24,-0.19
191708,.68,0.73
191808,-2.11,-2.06
191908,.82,0.87
192008,2.13,2.18
192108,-.16,-0.11
192208,2.72,2.77
192308,-1.52,-1.47
192408,.35,0.40
192508,.16,0.21
192608,-.88,-0.83
192708,2.29,2.34
192808,3.3,3.35
192908,-1.82,-1.77
193008,-2.74,-2.69
193108,1.59,1.64
193208,.17,0.22
193308,.37,0.42
193408,-.72,-0.67
193508,-.7,-0.65
193608,.42,0.47
193708,.81,0.86
193808,3.16,3.21
193908,-1.69,-1.64
194008,-.69,-0.64
194108,-1.96,-1.91
194208,.65,0.70
194308,-.64,-0.59
194408,-2.76,-2.71
194508,1.99,2.04
194608,2.09,2.14
194708,-.54,-0.49
194808,-.52,-0.47
194908,-3.32,-3.27
195008,-2.4,-2.35
195108,.59,0.64
195208,.7,0.75
195308,-1.32,-1.27
195408,.53,0.58
195508,3.2,3.25
195608,-1.38,-1.33
195708,-3.58,-3.53
195808,1.79,1.84
195908,.02,0.07
196008,1.33,1.38
196108,-.49,-0.44
196208,-.03,0.02
196308,-1.94,-1.89
196408,-3.35,-3.30
196508,-4.8,-4.75
196608,-4.52,-4.47
196708,1.66,1.71
196808,-1.62,-1.57
196908,-.5,-0.45
197008,-.63,-0.58
197108,-1.17,-1.12
197208,2.67,2.72
197308,3.09,3.14
197408,.72,0.77
197508,1.41,1.46
197608,1.18,1.23
197708,.55,0.60
197808,-.71,-0.66
197908,1.65,1.70
198008,-1.88,-1.83
198108,-2.37,-2.32
198208,-.25,-0.20
198308,1.62,1.67
198408,-.8,-0.75
198508,1.53,1.58
198608,2.08,2.13
198708,-1.83,-1.78
198808,-.25,-0.20
198908,2.59,2.64
199008,2.58,2.63
199108,1.07,1.12
199208,1.55,1.60
199308,-2.84,-2.79
199408,.55,0.60
199508,-2.8,-2.75
199608,2.23,2.28
199708,-.81,-0.76
199808,-.61,-0.56
199908,-2.68,-2.63
200008,2.31,2.36
200108,-.18,-0.13
200208,-2.14,-2.09
200308,1.81,1.86
200408,.72,0.77
200508,-1.21,-1.16
200608,3.35,3.40
200708,-.94,-0.89
200808,2.66,2.71
200908,4.15,4.20
201008,-2.22,-2.17
201108,2.73,2.78
201208,-1.68,-1.63
201308,-.02,0.03
201408,-.08,-0.03
201508,-1.39,-1.34
