Delaware, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.62,-0.46
189602,-1.26,-1.10
189702,.76,0.92
189802,-.52,-0.36
189902,2.01,2.17
190002,-1.51,-1.35
190102,-3.27,-3.11
190202,1.95,2.11
190302,3.46,3.62
190402,-.63,-0.47
190502,.88,1.04
190602,.54,0.70
190702,-.43,-0.27
190802,3.21,3.37
190902,.1,0.26
191002,-1.16,-1.00
191102,-.41,-0.25
191202,1.64,1.80
191302,-1.62,-1.46
191402,-1.17,-1.01
191502,1.51,1.67
191602,.33,0.49
191702,-.47,-0.31
191802,-1.04,-0.88
191902,-2.43,-2.27
192002,2.5,2.66
192102,-.31,-0.15
192202,.59,0.75
192302,.66,0.82
192402,.46,0.62
192502,-.61,-0.45
192602,-1.64,-1.48
192702,-.33,-0.17
192802,-.25,-0.09
192902,.72,0.88
193002,-1.73,-1.57
193102,-5.76,-5.60
193202,-2.48,-2.32
193302,1.65,1.81
193402,1.28,1.44
193502,2.17,2.33
193602,4.94,5.10
193702,2.45,2.61
193802,-.71,-0.55
193902,3.27,3.43
194002,.05,0.21
194102,-1.23,-1.07
194202,-3.29,-3.13
194302,-1.12,-0.96
194402,-.6,-0.44
194502,1.19,1.35
194602,-.84,-0.68
194702,-1.77,-1.61
194802,1.2,1.36
194902,4.24,4.40
195002,-2.81,-2.65
195102,-1.46,-1.30
195202,1.62,1.78
195302,1.44,1.60
195402,-1.81,-1.65
195502,-2.73,-2.57
195602,-.86,-0.70
195702,-.18,-0.02
195802,1.45,1.61
195902,-1.18,-1.02
196002,.44,0.60
196102,2.03,2.19
196202,.72,0.88
196302,-1.96,-1.80
196402,1.34,1.50
196502,-3.26,-3.10
196602,-4.58,-4.42
196702,-.62,-0.46
196802,-1.11,-0.95
196902,-2.92,-2.76
197002,1.11,1.27
197102,1.16,1.32
197202,2.64,2.80
197302,.1,0.26
197402,-.59,-0.43
197502,.64,0.80
197602,-.77,-0.61
197702,-1.22,-1.06
197802,2.08,2.24
197902,3.13,3.29
198002,-1.3,-1.14
198102,-2.05,-1.89
198202,-1.26,-1.10
198302,.21,0.37
198402,1.88,2.04
198502,-3.04,-2.88
198602,-.93,-0.77
198702,-1.2,-1.04
198802,-2.11,-1.95
198902,.13,0.29
199002,-1.1,-0.94
199102,-1.88,-1.72
199202,-2.59,-2.43
199302,.65,0.81
199402,1.72,1.88
199502,-1.72,-1.56
199602,1.05,1.21
199702,-.43,-0.27
199802,2.31,2.47
199902,-2.68,-2.52
200002,.7,0.86
200102,-.89,-0.73
200202,-3.95,-3.79
200302,3.24,3.40
200402,3.42,3.58
200502,1.24,1.40
200602,-.68,-0.52
200702,-.52,-0.36
200802,-2.65,-2.49
200902,-2.57,-2.41
201002,4.47,4.63
201102,-2.46,-2.30
201202,-1.78,-1.62
201302,-.53,-0.37
201402,2.57,2.73
201502,.48,0.64
