California, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,1.1,0.96
189608,2.99,2.85
189708,-1.3,-1.44
189808,-1.71,-1.85
189908,.81,0.67
190008,1.15,1.01
190108,1.72,1.58
190208,1.49,1.35
190308,-.76,-0.90
190408,1.75,1.61
190508,-.05,-0.19
190608,5.4,5.26
190708,4.27,4.13
190808,.88,0.74
190908,.31,0.17
191008,-2.54,-2.68
191108,-.18,-0.32
191208,2.58,2.44
191308,2.28,2.14
191408,-.35,-0.49
191508,3.62,3.48
191608,.35,0.21
191708,-.13,-0.27
191808,-2.35,-2.49
191908,-1.92,-2.06
192008,1.08,0.94
192108,.88,0.74
192208,.33,0.19
192308,1.56,1.42
192408,-5.74,-5.88
192508,2.15,2.01
192608,-.65,-0.79
192708,1.58,1.44
192808,-1.42,-1.56
192908,-1.13,-1.27
193008,-.94,-1.08
193108,-2.9,-3.04
193208,-.28,-0.42
193308,-.25,-0.39
193408,-3.39,-3.53
193508,-.29,-0.43
193608,-.4,-0.54
193708,-.36,-0.50
193808,-.19,-0.33
193908,-2.33,-2.47
194008,-1.67,-1.81
194108,4.2,4.06
194208,3.74,3.60
194308,-.09,-0.23
194408,1.24,1.10
194508,1.04,0.90
194608,-1.85,-1.99
194708,-2.14,-2.28
194808,2.85,2.71
194908,-1.15,-1.29
195008,-1.51,-1.65
195108,-.32,-0.46
195208,2.21,2.07
195308,2.96,2.82
195408,-.39,-0.53
195508,1.09,0.95
195608,.59,0.45
195708,1.88,1.74
195808,4.52,4.38
195908,-3.91,-4.05
196008,-2.75,-2.89
196108,-1.65,-1.79
196208,-1.05,-1.19
196308,2.37,2.23
196408,.89,0.75
196508,1.82,1.68
196608,-2.7,-2.84
196708,2.8,2.66
196808,.3,0.16
196908,-.43,-0.57
197008,-1.39,-1.53
197108,1.71,1.57
197208,-2.19,-2.33
197308,-2.17,-2.31
197408,-.48,-0.62
197508,1.24,1.10
197608,-3.2,-3.34
197708,.34,0.20
197808,2.32,2.18
197908,.37,0.23
198008,-.16,-0.30
198108,-2.64,-2.78
198208,3.09,2.95
198308,6.45,6.31
198408,.5,0.36
198508,-3.27,-3.41
198608,-1.09,-1.23
198708,-3.4,-3.54
198808,-1.33,-1.47
198908,-2.09,-2.23
199008,-2.54,-2.68
199108,-1.3,-1.44
199208,-2.87,-3.01
199308,2.89,2.75
199408,-2.4,-2.54
199508,5.71,5.57
199608,2.15,2.01
199708,-2.87,-3.01
199808,6.59,6.45
199908,.52,0.38
200008,-.79,-0.93
200108,-2.89,-3.03
200208,-3.27,-3.41
200308,0,-0.14
200408,-3.23,-3.37
200508,4.07,3.93
200608,-1.1,-1.24
200708,-4.43,-4.57
200808,-4.2,-4.34
200908,-3.28,-3.42
201008,1.53,1.39
201108,3.5,3.36
201208,-1.58,-1.72
201308,-3.23,-3.37
201408,-6.35,-6.49
201508,-4.79,-4.93
