Colorado, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,2.8,2.39
189602,3.06,2.65
189702,.77,0.36
189802,1.75,1.34
189902,1.87,1.46
190002,-1.14,-1.55
190102,-4.35,-4.76
190202,-4.7,-5.11
190302,.65,0.24
190402,-3.18,-3.59
190502,.41,0.00
190602,-1.45,-1.86
190702,3.34,2.93
190802,-.3,-0.71
190902,4.07,3.66
191002,3.66,3.25
191102,-1.55,-1.96
191202,1.07,0.66
191302,-.1,-0.51
191402,2.22,1.81
191502,2.4,1.99
191602,4.94,4.53
191702,3.14,2.73
191802,.46,0.05
191902,.98,0.57
192002,2.39,1.98
192102,2.55,2.14
192202,2.97,2.56
192302,.39,-0.02
192402,5.3,4.89
192502,-1.86,-2.27
192602,.94,0.53
192702,.69,0.28
192802,1.65,1.24
192902,2.84,2.43
193002,2.16,1.75
193102,-.91,-1.32
193202,.2,-0.21
193302,-2.67,-3.08
193402,-2.08,-2.49
193502,-6.01,-6.42
193602,-2.21,-2.62
193702,-2.48,-2.89
193802,-.24,-0.65
193902,2.62,2.21
194002,-3.76,-4.17
194102,.63,0.22
194202,6.61,6.20
194302,.13,-0.28
194402,-1.31,-1.72
194502,-1.22,-1.63
194602,-1.57,-1.98
194702,1.81,1.40
194802,4.31,3.90
194902,1.86,1.45
195002,-1.28,-1.69
195102,-2.33,-2.74
195202,3.08,2.67
195302,-2.36,-2.77
195402,-2.88,-3.29
195502,-4.74,-5.15
195602,-2.46,-2.87
195702,.73,0.32
195802,4.88,4.47
195902,-1.44,-1.85
196002,1.73,1.32
196102,-2.49,-2.90
196202,3.45,3.04
196302,-2.32,-2.73
196402,-5.1,-5.51
196502,.98,0.57
196602,4.93,4.52
196702,-1.49,-1.90
196802,-.08,-0.49
196902,.56,0.15
197002,4.03,3.62
197102,2.49,2.08
197202,-.71,-1.12
197302,2.3,1.89
197402,.01,-0.40
197502,-1.92,-2.33
197602,-.71,-1.12
197702,-3.21,-3.62
197802,-3.18,-3.59
197902,2.13,1.72
198002,3.6,3.19
198102,-4.67,-5.08
198202,-2.39,-2.80
198302,2.06,1.65
198402,4.44,4.03
198502,4.54,4.13
198602,3.61,3.20
198702,4.25,3.84
198802,2.16,1.75
198902,-.25,-0.66
199002,-3.65,-4.06
199102,-1.95,-2.36
199202,1.19,0.78
199302,2.99,2.58
199402,-.1,-0.51
199502,.56,0.15
199602,2.15,1.74
199702,2.36,1.95
199802,4.26,3.85
199902,-.57,-0.98
200002,-1.69,-2.10
200102,-2.55,-2.96
200202,-4.23,-4.64
200302,-5.83,-6.24
200402,-3.72,-4.13
200502,1.79,1.38
200602,-1.18,-1.59
200702,1.83,1.42
200802,1.8,1.39
200902,-.61,-1.02
201002,1.38,0.97
201102,-.52,-0.93
201202,-.89,-1.30
201302,-6.35,-6.76
201402,1.31,0.90
201502,-.06,-0.47
201602,1.84,1.43
