Washington, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.82,-0.64
189602,1.2,1.38
189702,1.7,1.88
189802,-.3,-0.12
189902,1.64,1.82
190002,1.59,1.77
190102,2.34,2.52
190202,1.51,1.69
190302,1.38,1.56
190402,2.46,2.64
190502,-2.31,-2.13
190602,-1.11,-0.93
190702,.22,0.40
190802,-1.04,-0.86
190902,-.62,-0.44
191002,-.12,0.06
191102,-1.3,-1.12
191202,-.15,0.03
191302,-.92,-0.74
191402,-.38,-0.20
191502,-2.28,-2.10
191602,1.61,1.79
191702,-2.12,-1.94
191802,2.53,2.71
191902,1.11,1.29
192002,-3.08,-2.90
192102,3.32,3.50
192202,-1.74,-1.56
192302,-.82,-0.64
192402,-.94,-0.76
192502,-.92,-0.74
192602,-3.07,-2.89
192702,.85,1.03
192802,-1.99,-1.81
192902,-4.37,-4.19
193002,-4.01,-3.83
193102,-4.26,-4.08
193202,.72,0.90
193302,.92,1.10
193402,-1.23,-1.05
193502,-.77,-0.59
193602,.78,0.96
193702,.6,0.78
193802,-.78,-0.60
193902,-2.26,-2.08
194002,-1.86,-1.68
194102,-3.05,-2.87
194202,-1.29,-1.11
194302,-1,-0.82
194402,-2.83,-2.65
194502,.29,0.47
194602,1.15,1.33
194702,-.49,-0.31
194802,1.27,1.45
194902,3.79,3.97
195002,1.58,1.76
195102,3.45,3.63
195202,-.89,-0.71
195302,1.6,1.78
195402,2.36,2.54
195502,-1.34,-1.16
195602,3.4,3.58
195702,.26,0.44
195802,.71,0.89
195902,1.01,1.19
196002,1.2,1.38
196102,1.96,2.14
196202,-2.18,-2.00
196302,-1.61,-1.43
196402,-.96,-0.78
196502,-.07,0.11
196602,-2.21,-2.03
196702,-.47,-0.29
196802,.89,1.07
196902,-.39,-0.21
197002,-1.22,-1.04
197102,1.04,1.22
197202,2.87,3.05
197302,-1.76,-1.58
197402,3.11,3.29
197502,1.14,1.32
197602,2.29,2.47
197702,-4.78,-4.60
197802,-.77,-0.59
197902,-1.7,-1.52
198002,.88,1.06
198102,-.7,-0.52
198202,3.14,3.32
198302,2,2.18
198402,1.85,2.03
198502,-2.27,-2.09
198602,-1.23,-1.05
198702,-2.17,-1.99
198802,-4.07,-3.89
198902,-2.06,-1.88
199002,1.25,1.43
199102,1.01,1.19
199202,-1.75,-1.57
199302,-4.17,-3.99
199402,-2.27,-2.09
199502,.98,1.16
199602,3.3,3.48
199702,3.19,3.37
199802,-.6,-0.42
199902,3.93,4.11
200002,-.22,-0.04
200102,-3.58,-3.40
200202,.92,1.10
200302,-.86,-0.68
200402,-2.02,-1.84
200502,-3.29,-3.11
200602,-.39,-0.21
200702,-.35,-0.17
200802,-1.09,-0.91
200902,-2.19,-2.01
201002,-1.58,-1.40
201102,1.97,2.15
201202,.06,0.24
201302,-1.32,-1.14
201402,.62,0.80
201502,-.89,-0.71
