Connecticut, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-1.69,-1.70
189609,-.9,-0.91
189709,2.97,2.96
189809,2.58,2.57
189909,-.61,-0.62
190009,-1.96,-1.97
190109,3.69,3.68
190209,3.19,3.18
190309,3.18,3.17
190409,.83,0.82
190509,.56,0.55
190609,-.7,-0.71
190709,1.18,1.17
190809,-.78,-0.79
190909,-.7,-0.71
191009,-1.61,-1.62
191109,.43,0.42
191209,-1.34,-1.35
191309,-1.75,-1.76
191409,-2.29,-2.30
191509,-.4,-0.41
191609,-.38,-0.39
191709,-.48,-0.49
191809,1.01,1.00
191909,1.2,1.19
192009,3.02,3.01
192109,-.72,-0.73
192209,-.38,-0.39
192309,-1.27,-1.28
192409,.55,0.54
192509,.02,0.01
192609,-.26,-0.27
192709,1.77,1.76
192809,3.32,3.31
192909,-2.2,-2.21
193009,-3.08,-3.09
193109,-.76,-0.77
193209,.39,0.38
193309,1.65,1.64
193409,1.86,1.85
193509,-1.1,-1.11
193609,-.36,-0.37
193709,2.04,2.03
193809,5.6,5.59
193909,-1.59,-1.60
194009,-.56,-0.57
194109,-1.76,-1.77
194209,.75,0.74
194309,-2.15,-2.16
194409,.85,0.84
194509,1.19,1.18
194609,.03,0.02
194709,-.33,-0.34
194809,-1.62,-1.63
194909,-2.45,-2.46
195009,-1.56,-1.57
195109,-1.18,-1.19
195209,2.07,2.06
195309,-1.59,-1.60
195409,1.8,1.79
195509,2.94,2.93
195609,-.42,-0.43
195709,-3.71,-3.72
195809,1.96,1.95
195909,-1.47,-1.48
196009,1.99,1.98
196109,-.62,-0.63
196209,-2.05,-2.06
196309,-1.76,-1.77
196409,-3.66,-3.67
196509,-4.7,-4.71
196609,-4.02,-4.03
196709,-.29,-0.30
196809,-1.74,-1.75
196909,.9,0.89
197009,-1.66,-1.67
197109,.74,0.73
197209,2.27,2.26
197309,2.38,2.37
197409,1.16,1.15
197509,2.47,2.46
197609,1.46,1.45
197709,1.06,1.05
197809,-.51,-0.52
197909,-.36,-0.37
198009,-1.79,-1.80
198109,-2.32,-2.33
198209,-.86,-0.87
198309,-2.13,-2.14
198409,-1.26,-1.27
198509,1.71,1.70
198609,-.73,-0.74
198709,-1.21,-1.22
198809,-.9,-0.91
198909,3.33,3.32
199009,1.86,1.85
199109,1.76,1.75
199209,2,1.99
199309,.46,0.45
199409,1.11,1.10
199509,-2.8,-2.81
199609,2.09,2.08
199709,-.99,-1.00
199809,-.95,-0.96
199909,1.66,1.65
200009,1.96,1.95
200109,-.6,-0.61
200209,.12,0.11
200309,2.21,2.20
200409,1.83,1.82
200509,-2.45,-2.46
200609,2.62,2.61
200709,-1.85,-1.86
200809,3.24,3.23
200909,1.95,1.94
201009,-2.54,-2.55
201109,3.8,3.79
201209,-1.5,-1.51
201309,-.47,-0.48
201409,-1.71,-1.72
201509,-2.82,-2.83
