New Hampshire, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-1.53,-1.19
189606,-2.28,-1.94
189706,1.4,1.74
189806,1.66,2.00
189906,-2.19,-1.85
190006,-1.21,-0.87
190106,-.74,-0.40
190206,1.95,2.29
190306,1.31,1.65
190406,-.47,-0.13
190506,.55,0.89
190606,1.65,1.99
190706,-1.83,-1.49
190806,-1.33,-0.99
190906,-1.67,-1.33
191006,-2.19,-1.85
191106,-4.39,-4.05
191206,-.88,-0.54
191306,-1.38,-1.04
191406,-1.28,-0.94
191506,-4.26,-3.92
191606,1.66,2.00
191706,1.52,1.86
191806,-2.1,-1.76
191906,-.73,-0.39
192006,1.44,1.78
192106,-1.94,-1.60
192206,3.18,3.52
192306,-1.79,-1.45
192406,-.5,-0.16
192506,.37,0.71
192606,-1.36,-1.02
192706,-1.86,-1.52
192806,1.97,2.31
192906,-.08,0.26
193006,-2.05,-1.71
193106,-1.83,-1.49
193206,-2.25,-1.91
193306,-1.36,-1.02
193406,-.5,-0.16
193506,1.11,1.45
193606,-1,-0.66
193706,2.37,2.71
193806,.13,0.47
193906,-.67,-0.33
194006,1.53,1.87
194106,-3.21,-2.87
194206,-1.89,-1.55
194306,.75,1.09
194406,1.06,1.40
194506,2.02,2.36
194606,.1,0.44
194706,1.29,1.63
194806,-1.23,-0.89
194906,-2.8,-2.46
195006,-2.75,-2.41
195106,.93,1.27
195206,2.34,2.68
195306,-.98,-0.64
195406,2.81,3.15
195506,-.73,-0.39
195606,-.53,-0.19
195706,-2.74,-2.40
195806,-.72,-0.38
195906,-1.61,-1.27
196006,1.68,2.02
196106,-.96,-0.62
196206,-2.17,-1.83
196306,-1.88,-1.54
196406,-2.75,-2.41
196506,-4.54,-4.20
196606,-3.31,-2.97
196706,-.82,-0.48
196806,1.49,1.83
196906,1.1,1.44
197006,-.47,-0.13
197106,-1.56,-1.22
197206,1.54,1.88
197306,3.58,3.92
197406,-.32,0.02
197506,-1.18,-0.84
197606,1.22,1.56
197706,-.46,-0.12
197806,-.61,-0.27
197906,-1.04,-0.70
198006,-2.16,-1.82
198106,.69,1.03
198206,2.21,2.55
198306,-.74,-0.40
198406,3.95,4.29
198506,-2.46,-2.12
198606,.59,0.93
198706,.75,1.09
198806,-1.87,-1.53
198906,1.4,1.74
199006,1.58,1.92
199106,-1.5,-1.16
199206,-1.36,-1.02
199306,-1.26,-0.92
199406,.27,0.61
199506,-2.51,-2.17
199606,2.99,3.33
199706,1.89,2.23
199806,2.59,2.93
199906,-2.05,-1.71
200006,1.63,1.97
200106,-1.59,-1.25
200206,-.56,-0.22
200306,-1.59,-1.25
200406,.67,1.01
200506,2.49,2.83
200606,5.51,5.85
200706,3.37,3.71
200806,3.12,3.46
200906,3.53,3.87
201006,2.29,2.63
201106,2.47,2.81
201206,1.08,1.42
201306,1.72,2.06
201406,1.02,1.36
201506,1.3,1.64
