Connecticut, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-1.04,-0.89
189602,1.78,1.93
189702,-.96,-0.81
189802,3.23,3.38
189902,3.48,3.63
190002,2.17,2.32
190102,-3.07,-2.92
190202,4.24,4.39
190302,3.57,3.72
190402,1.82,1.97
190502,-1.22,-1.07
190602,-.63,-0.48
190702,-.66,-0.51
190802,3.39,3.54
190902,1.66,1.81
191002,1.34,1.49
191102,-2.12,-1.97
191202,-.8,-0.65
191302,.06,0.21
191402,.1,0.25
191502,2.15,2.30
191602,.93,1.08
191702,-1.52,-1.37
191802,-.97,-0.82
191902,0,0.15
192002,.81,0.96
192102,-.19,-0.04
192202,-1.68,-1.53
192302,-.5,-0.35
192402,-.14,0.01
192502,-1.45,-1.30
192602,.81,0.96
192702,-.34,-0.19
192802,2.9,3.05
192902,.38,0.53
193002,-2.26,-2.11
193102,-3.19,-3.04
193202,-2.36,-2.21
193302,.37,0.52
193402,.19,0.34
193502,-.02,0.13
193602,.78,0.93
193702,1.28,1.43
193802,-.34,-0.19
193902,3.46,3.61
194002,-1.62,-1.47
194102,-1.09,-0.94
194202,-1.84,-1.69
194302,-.72,-0.57
194402,-2.43,-2.28
194502,-.04,0.11
194602,-.49,-0.34
194702,-2.11,-1.96
194802,-.77,-0.62
194902,-.07,0.08
195002,-2.69,-2.54
195102,1.11,1.26
195202,1.47,1.62
195302,1.58,1.73
195402,-1.57,-1.42
195502,-.53,-0.38
195602,.41,0.56
195702,-1.27,-1.12
195802,1.56,1.71
195902,-1.1,-0.95
196002,1.71,1.86
196102,-.6,-0.45
196202,-.83,-0.68
196302,-1.58,-1.43
196402,-1.57,-1.42
196502,-3.27,-3.12
196602,-4.21,-4.06
196702,-3.33,-3.18
196802,-1.34,-1.19
196902,-1.47,-1.32
197002,-.23,-0.08
197102,-1.39,-1.24
197202,.7,0.85
197302,3.64,3.79
197402,-.34,-0.19
197502,-.05,0.10
197602,2.93,3.08
197702,-1.43,-1.28
197802,-.74,-0.59
197902,2.69,2.84
198002,-2.11,-1.96
198102,-.76,-0.61
198202,.85,1.00
198302,.59,0.74
198402,2.17,2.32
198502,-2.69,-2.54
198602,-.11,0.04
198702,-1.2,-1.05
198802,-1.04,-0.89
198902,-1.42,-1.27
199002,2.71,2.86
199102,-.8,-0.65
199202,-.95,-0.80
199302,1.58,1.73
199402,1.16,1.31
199502,-.3,-0.15
199602,1.46,1.61
199702,-.54,-0.39
199802,.75,0.90
199902,1.3,1.45
200002,.34,0.49
200102,-1.09,-0.94
200202,-3.98,-3.83
200302,.28,0.43
200402,-.99,-0.84
200502,.16,0.31
200602,2.83,2.98
200702,1.44,1.59
200802,2.29,2.44
200902,-.97,-0.82
201002,2.05,2.20
201102,.37,0.52
201202,-1.38,-1.23
201302,-1.68,-1.53
201402,-1.32,-1.17
201502,-1.44,-1.29
201602,-2.64,-2.49
