Pennsylvania, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-1.05,-1.09
189603,-1.88,-1.92
189703,.37,0.33
189803,.27,0.23
189903,2.26,2.22
190003,1.02,0.98
190103,.36,0.32
190203,2.52,2.48
190303,3.23,3.19
190403,2.59,2.55
190503,-.51,-0.55
190603,1.59,1.55
190703,1.39,1.35
190803,3.6,3.56
190903,-2.48,-2.52
191003,-3.11,-3.15
191103,-2.1,-2.14
191203,2.32,2.28
191303,2.77,2.73
191403,.44,0.40
191503,-.93,-0.97
191603,1.88,1.84
191703,-1.05,-1.09
191803,-1.25,-1.29
191903,-.82,-0.86
192003,-.57,-0.61
192103,-.64,-0.68
192203,-.3,-0.34
192303,-2.56,-2.60
192403,1.07,1.03
192503,-1.86,-1.90
192603,-.6,-0.64
192703,1.96,1.92
192803,2.6,2.56
192903,-1.52,-1.56
193003,-.35,-0.39
193103,-6.07,-6.11
193203,-2.55,-2.59
193303,1.03,0.99
193403,-1.18,-1.22
193503,-.57,-0.61
193603,2.61,2.57
193703,1.08,1.04
193803,-.46,-0.50
193903,1.18,1.14
194003,1.22,1.18
194103,-1.39,-1.43
194203,-1.63,-1.67
194303,1.55,1.51
194403,-1.2,-1.24
194503,.09,0.05
194603,-1.34,-1.38
194703,-1.02,-1.06
194803,.03,-0.01
194903,-.83,-0.87
195003,1.84,1.80
195103,3.56,3.52
195203,2.02,1.98
195303,.95,0.91
195403,-2.96,-3.00
195503,.78,0.74
195603,1.68,1.64
195703,-.96,-1.00
195803,.67,0.63
195903,-.59,-0.63
196003,-.54,-0.58
196103,.59,0.55
196203,-.95,-0.99
196303,-1.76,-1.80
196403,-2.32,-2.36
196503,-2.82,-2.86
196603,-3.19,-3.23
196703,.9,0.86
196803,-1.27,-1.31
196903,-2.95,-2.99
197003,-.58,-0.62
197103,-.28,-0.32
197203,.94,0.90
197303,1.97,1.93
197403,2.05,2.01
197503,2.52,2.48
197603,2.25,2.21
197703,-1.07,-1.11
197803,2.65,2.61
197903,2.33,2.29
198003,.88,0.84
198103,.38,0.34
198203,-.5,-0.54
198303,.14,0.10
198403,1.64,1.60
198503,-.91,-0.95
198603,-.54,-0.58
198703,-1.59,-1.63
198803,-1.15,-1.19
198903,-1.77,-1.81
199003,-1.27,-1.31
199103,-.39,-0.43
199203,-3.9,-3.94
199303,2.54,2.50
199403,3.35,3.31
199503,-1.38,-1.42
199603,2.06,2.02
199703,3.77,3.73
199803,1.76,1.72
199903,-2.26,-2.30
200003,-.74,-0.78
200103,-.88,-0.92
200203,-3.13,-3.17
200303,-.36,-0.40
200403,3.06,3.02
200503,.22,0.18
200603,-1.39,-1.43
200703,2.34,2.30
200803,2.74,2.70
200903,-1.43,-1.47
201003,-.23,-0.27
201103,2.01,1.97
201203,-1.45,-1.49
201303,-.84,-0.88
201403,.91,0.87
201503,-.96,-1.00
201603,-1.1,-1.14
