New York, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-2.35,-2.38
189609,-1.28,-1.31
189709,-.49,-0.52
189809,1.1,1.07
189909,-2.47,-2.50
190009,-2.48,-2.51
190109,1.77,1.74
190209,2.82,2.79
190309,2.65,2.62
190409,2.26,2.23
190509,2.72,2.69
190609,-.63,-0.66
190709,1.01,0.98
190809,-2.16,-2.19
190909,-2.02,-2.05
191009,-2.05,-2.08
191109,-2.53,-2.56
191209,1.07,1.04
191309,-2.79,-2.82
191409,-.81,-0.84
191509,2.56,2.53
191609,-1.17,-1.20
191709,1.21,1.18
191809,1.21,1.18
191909,.72,0.69
192009,1.07,1.04
192109,-2.83,-2.86
192209,-.79,-0.82
192309,-2.26,-2.29
192409,2.48,2.45
192509,1.02,0.99
192609,1.05,1.02
192709,-.71,-0.74
192809,2.8,2.77
192909,-.8,-0.83
193009,-1.86,-1.89
193109,-1.92,-1.95
193209,-.89,-0.92
193309,1.14,1.11
193409,-2.18,-2.21
193509,-.35,-0.38
193609,-2.17,-2.20
193709,.87,0.84
193809,2.9,2.87
193909,-2.86,-2.89
194009,-.67,-0.70
194109,-3.4,-3.43
194209,.96,0.93
194309,-.93,-0.96
194409,-1.29,-1.32
194509,2.88,2.85
194609,1,0.97
194709,-1.23,-1.26
194809,-1.55,-1.58
194909,-2,-2.03
195009,.84,0.81
195109,1.65,1.62
195209,-.76,-0.79
195309,-1.86,-1.89
195409,.53,0.50
195509,.82,0.79
195609,1.84,1.81
195709,-2.25,-2.28
195809,1.9,1.87
195909,-2.8,-2.83
196009,-.41,-0.44
196109,-1.19,-1.22
196209,-2.19,-2.22
196309,-2.32,-2.35
196409,-4.12,-4.15
196509,-4.34,-4.37
196609,-2.64,-2.67
196709,.99,0.96
196809,-1.35,-1.38
196909,-1.06,-1.09
197009,.25,0.22
197109,-.22,-0.25
197209,2.48,2.45
197309,-1.35,-1.38
197409,2.16,2.13
197509,3.59,3.56
197609,4.5,4.47
197709,3.79,3.76
197809,-1.2,-1.23
197909,1.22,1.19
198009,-1.31,-1.34
198109,1.2,1.17
198209,-.87,-0.90
198309,-1.59,-1.62
198409,-.22,-0.25
198509,.49,0.46
198609,2.8,2.77
198709,1.51,1.48
198809,-1.83,-1.86
198909,2.15,2.12
199009,2.13,2.10
199109,-1.9,-1.93
199209,2.55,2.52
199309,.45,0.42
199409,2.2,2.17
199509,-3.74,-3.77
199609,3.3,3.27
199709,1.79,1.76
199809,-.63,-0.66
199909,1.23,1.20
200009,3.16,3.13
200109,-1.94,-1.97
200209,.04,0.01
200309,2.45,2.42
200409,4.37,4.34
200509,.61,0.58
200609,3.48,3.45
200709,.59,0.56
200809,2.53,2.50
200909,2.89,2.86
201009,.85,0.82
201109,6.32,6.29
201209,.39,0.36
201309,2.1,2.07
201409,-.6,-0.63
201509,.19,0.16
