New York, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-2.24,-2.30
189606,-2.1,-2.16
189706,.58,0.52
189806,-.38,-0.44
189906,-2.02,-2.08
190006,-1.91,-1.97
190106,1.47,1.41
190206,1.81,1.75
190306,1.83,1.77
190406,1.11,1.05
190506,1.3,1.24
190606,.61,0.55
190706,-.78,-0.84
190806,-.49,-0.55
190906,-1.44,-1.50
191006,-1.77,-1.83
191106,-2.74,-2.80
191206,-1,-1.06
191306,-1.02,-1.08
191406,-.4,-0.46
191506,0,-0.06
191606,2.71,2.65
191706,1.93,1.87
191806,-.66,-0.72
191906,.57,0.51
192006,-.94,-1.00
192106,-2.02,-2.08
192206,2.18,2.12
192306,-1.51,-1.57
192406,1.05,0.99
192506,.13,0.07
192606,.28,0.22
192706,.1,0.04
192806,3.15,3.09
192906,0,-0.06
193006,-.38,-0.44
193106,-2.99,-3.05
193206,-.88,-0.94
193306,-1.2,-1.26
193406,-1.78,-1.84
193506,.47,0.41
193606,-1.22,-1.28
193706,1.58,1.52
193806,-1.05,-1.11
193906,-1.23,-1.29
194006,1.87,1.81
194106,-3.26,-3.32
194206,-2.63,-2.69
194306,-.21,-0.27
194406,-.12,-0.18
194506,1.38,1.32
194606,.92,0.86
194706,2.8,2.74
194806,1.29,1.23
194906,-2.03,-2.09
195006,.32,0.26
195106,1.88,1.82
195206,-.4,-0.46
195306,-.89,-0.95
195406,1.26,1.20
195506,-2,-2.06
195606,1.45,1.39
195706,-1.44,-1.50
195806,1.12,1.06
195906,-1.49,-1.55
196006,-.25,-0.31
196106,1.82,1.76
196206,-2.64,-2.70
196306,-2.45,-2.51
196406,-3,-3.06
196506,-5.21,-5.27
196606,-2.85,-2.91
196706,.03,-0.03
196806,1.41,1.35
196906,1.07,1.01
197006,-1.29,-1.35
197106,-1.14,-1.20
197206,3.92,3.86
197306,3.87,3.81
197406,1.42,1.36
197506,1.15,1.09
197606,3.76,3.70
197706,1.28,1.22
197806,-1.34,-1.40
197906,-.81,-0.87
198006,-.59,-0.65
198106,.09,0.03
198206,1.28,1.22
198306,-.36,-0.42
198406,2.41,2.35
198506,.39,0.33
198606,1.14,1.08
198706,.24,0.18
198806,-2.51,-2.57
198906,2.2,2.14
199006,2.52,2.46
199106,-1.8,-1.86
199206,-.26,-0.32
199306,-.7,-0.76
199406,1.6,1.54
199506,-3.06,-3.12
199606,2.8,2.74
199706,2.21,2.15
199806,2.65,2.59
199906,-2.8,-2.86
200006,2.7,2.64
200106,-1.3,-1.36
200206,2.02,1.96
200306,.85,0.79
200406,1.5,1.44
200506,1.36,1.30
200606,2.55,2.49
200706,2.06,2.00
200806,1.84,1.78
200906,1.92,1.86
201006,.85,0.79
201106,4.35,4.29
201206,-1.99,-2.05
201306,2.04,1.98
201406,2.33,2.27
201506,2.03,1.97
