Maryland, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-.89,-0.79
189608,-2.01,-1.91
189708,1.52,1.62
189808,-1.09,-0.99
189908,.02,0.12
190008,-1.47,-1.37
190108,1.52,1.62
190208,-.81,-0.71
190308,3.4,3.50
190408,-.38,-0.28
190508,2.13,2.23
190608,3.18,3.28
190708,2.16,2.26
190808,.58,0.68
190908,-1.05,-0.95
191008,-.66,-0.56
191108,1.63,1.73
191208,1.39,1.49
191308,-1.2,-1.10
191408,-1.87,-1.77
191508,1.7,1.80
191608,-.55,-0.45
191708,1.08,1.18
191808,-1.26,-1.16
191908,2.46,2.56
192008,3.17,3.27
192108,-1.56,-1.46
192208,-.05,0.05
192308,-1.14,-1.04
192408,2.08,2.18
192508,-2.88,-2.78
192608,1.11,1.21
192708,.57,0.67
192808,2.84,2.94
192908,-1.2,-1.10
193008,-4.32,-4.22
193108,-2.13,-2.03
193208,-1.04,-0.94
193308,3.84,3.94
193408,.08,0.18
193508,.99,1.09
193608,-1.17,-1.07
193708,2.95,3.05
193808,1.06,1.16
193908,-.93,-0.83
194008,-.67,-0.57
194108,-.74,-0.64
194208,1.34,1.44
194308,-2.68,-2.58
194408,-2.41,-2.31
194508,2.81,2.91
194608,1.25,1.35
194708,-.99,-0.89
194808,2.33,2.43
194908,-.72,-0.62
195008,.08,0.18
195108,-.75,-0.65
195208,1.69,1.79
195308,-1.09,-0.99
195408,-2.95,-2.85
195508,2.33,2.43
195608,.76,0.86
195708,-2.87,-2.77
195808,3.8,3.90
195908,-1.19,-1.09
196008,.84,0.94
196108,-.2,-0.10
196208,-2.14,-2.04
196308,-2.34,-2.24
196408,-2.85,-2.75
196508,-3.05,-2.95
196608,-5.28,-5.18
196708,1.9,2.00
196808,-1.53,-1.43
196908,1.45,1.55
197008,-.48,-0.38
197108,1.29,1.39
197208,3.64,3.74
197308,-.41,-0.31
197408,-.58,-0.48
197508,2.38,2.48
197608,-2.02,-1.92
197708,-2.73,-2.63
197808,2.31,2.41
197908,3.14,3.24
198008,-1.23,-1.13
198108,-1.36,-1.26
198208,-.5,-0.40
198308,-1.76,-1.66
198408,.54,0.64
198508,.19,0.29
198608,-3.06,-2.96
198708,-3.3,-3.20
198808,-2.11,-2.01
198908,2.92,3.02
199008,1.3,1.40
199108,-3.26,-3.16
199208,.55,0.65
199308,-2.04,-1.94
199408,-.42,-0.32
199508,-2.92,-2.82
199608,3.6,3.70
199708,-1.39,-1.29
199808,-1.35,-1.25
199908,-4.4,-4.30
200008,1.98,2.08
200108,.76,0.86
200208,-4.47,-4.37
200308,4.03,4.13
200408,3.37,3.47
200508,-.55,-0.45
200608,-1.29,-1.19
200708,-2.68,-2.58
200808,-1.22,-1.12
200908,1.63,1.73
201008,-2.78,-2.68
201108,1.25,1.35
201208,-2.48,-2.38
201308,1.5,1.60
201408,-.16,-0.06
201508,-.51,-0.41
