Maine, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-3.6,-3.48
189610,1.86,1.98
189710,1.05,1.17
189810,.81,0.93
189910,-1.48,-1.36
190010,-.88,-0.76
190110,-1.09,-0.97
190210,3.05,3.17
190310,-2.44,-2.32
190410,2.12,2.24
190510,-2.36,-2.24
190610,-.72,-0.60
190710,3.28,3.40
190810,-2.36,-2.24
190910,-.51,-0.39
191010,-1.43,-1.31
191110,-3.17,-3.05
191210,1.79,1.91
191310,.82,0.94
191410,-1.83,-1.71
191510,-.81,-0.69
191610,-.12,0.00
191710,3.71,3.83
191810,3.13,3.25
191910,-.79,-0.67
192010,1.83,1.95
192110,-3.3,-3.18
192210,-1.17,-1.05
192310,-2.04,-1.92
192410,-1.97,-1.85
192510,2.3,2.42
192610,.69,0.81
192710,1.81,1.93
192810,2.4,2.52
192910,-2.22,-2.10
193010,-2.11,-1.99
193110,2.42,2.54
193210,1.54,1.66
193310,.76,0.88
193410,-.09,0.03
193510,-1.36,-1.24
193610,.61,0.73
193710,.81,0.93
193810,-.28,-0.16
193910,-.84,-0.72
194010,-.76,-0.64
194110,-2.84,-2.72
194210,-1.85,-1.73
194310,2.13,2.25
194410,1.03,1.15
194510,.57,0.69
194610,-1.96,-1.84
194710,-2.87,-2.75
194810,-3.82,-3.70
194910,-4.01,-3.89
195010,-2.93,-2.81
195110,2.43,2.55
195210,-2.45,-2.33
195310,-1.3,-1.18
195410,6.04,6.16
195510,-2.61,-2.49
195610,-1.11,-0.99
195710,-3.64,-3.52
195810,2.89,3.01
195910,.91,1.03
196010,-.66,-0.54
196110,-.85,-0.73
196210,1.98,2.10
196310,.65,0.77
196410,-2.27,-2.15
196510,-3.72,-3.60
196610,-2.37,-2.25
196710,-.2,-0.08
196810,-3.25,-3.13
196910,1.09,1.21
197010,-.57,-0.45
197110,-1.7,-1.58
197210,2.26,2.38
197310,3.11,3.23
197410,-.5,-0.38
197510,.12,0.24
197610,4.16,4.28
197710,3.6,3.72
197810,-2.7,-2.58
197910,-.01,0.11
198010,-.74,-0.62
198110,4.1,4.22
198210,-1.48,-1.36
198310,-1.79,-1.67
198410,-2.18,-2.06
198510,-.34,-0.22
198610,-.55,-0.43
198710,-.87,-0.75
198810,.49,0.61
198910,.85,0.97
199010,2.96,3.08
199110,2.65,2.77
199210,-.37,-0.25
199310,.51,0.63
199410,-1.11,-0.99
199510,.7,0.82
199610,3.52,3.64
199710,-1.03,-0.91
199810,-.3,-0.18
199910,2.34,2.46
200010,-1.32,-1.20
200110,-4.38,-4.26
200210,-2.73,-2.61
200310,1.7,1.82
200410,-.52,-0.40
200510,5.39,5.51
200610,5.43,5.55
200710,1.62,1.74
200810,4.9,5.02
200910,4.3,4.42
201010,1.32,1.44
201110,4.23,4.35
201210,2.36,2.48
201310,2.39,2.51
201410,2.31,2.43
201510,1.69,1.81
