Maryland, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,.54,0.76
189605,-2.36,-2.14
189705,.8,1.02
189805,-.4,-0.18
189905,-.95,-0.73
190005,-1.06,-0.84
190105,1.1,1.32
190205,-.78,-0.56
190305,2.23,2.45
190405,-1.64,-1.42
190505,-.88,-0.66
190605,.66,0.88
190705,1.69,1.91
190805,.51,0.73
190905,-.14,0.08
191005,.33,0.55
191105,-2.5,-2.28
191205,1.66,1.88
191305,.53,0.75
191405,-1.66,-1.44
191505,-1.54,-1.32
191605,.15,0.37
191705,.27,0.49
191805,-.39,-0.17
191905,.7,0.92
192005,1.14,1.36
192105,-.81,-0.59
192205,-1.09,-0.87
192305,-.71,-0.49
192405,2.79,3.01
192505,-2.28,-2.06
192605,-2.39,-2.17
192705,.31,0.53
192805,.63,0.85
192905,.77,0.99
193005,-2.14,-1.92
193105,-4.83,-4.61
193205,1.03,1.25
193305,2.32,2.54
193405,-.09,0.13
193505,1.1,1.32
193605,-.92,-0.70
193705,1.97,2.19
193805,.15,0.37
193905,-1.13,-0.91
194005,1.55,1.77
194105,-1.95,-1.73
194205,-3.25,-3.03
194305,-.16,0.06
194405,-.99,-0.77
194505,.24,0.46
194605,.92,1.14
194705,-1.34,-1.12
194805,1.28,1.50
194905,-.35,-0.13
195005,.3,0.52
195105,-.63,-0.41
195205,2.76,2.98
195305,2.35,2.57
195405,-2.48,-2.26
195505,-3.23,-3.01
195605,-.51,-0.29
195705,-1.39,-1.17
195805,2.34,2.56
195905,-1.84,-1.62
196005,.77,0.99
196105,1.86,2.08
196205,-.72,-0.50
196305,-2.34,-2.12
196405,-1.22,-1.00
196505,-3.08,-2.86
196605,-3.52,-3.30
196705,.47,0.69
196805,-.95,-0.73
196905,-3.02,-2.80
197005,.67,0.89
197105,1.11,1.33
197205,2.65,2.87
197305,3.26,3.48
197405,-.57,-0.35
197505,1.15,1.37
197605,-1.86,-1.64
197705,-2.55,-2.33
197805,2.45,2.67
197905,1.94,2.16
198005,-.39,-0.17
198105,-2,-1.78
198205,-.54,-0.32
198305,2.86,3.08
198405,3.5,3.72
198505,-2.6,-2.38
198605,-2.35,-2.13
198705,-1.76,-1.54
198805,-.97,-0.75
198905,1.92,2.14
199005,1.23,1.45
199105,-1.94,-1.72
199205,-2.75,-2.53
199305,-.46,-0.24
199405,-.63,-0.41
199505,-2.13,-1.91
199605,2.2,2.42
199705,-.68,-0.46
199805,2.61,2.83
199905,-3.52,-3.30
200005,.64,0.86
200105,.16,0.38
200205,-3.57,-3.35
200305,2.86,3.08
200405,2.7,2.92
200505,.37,0.59
200605,-2.43,-2.21
200705,-1.26,-1.04
200805,-1.04,-0.82
200905,1.02,1.24
201005,-1.37,-1.15
201105,-1.27,-1.05
201205,-2.29,-2.07
201305,-.93,-0.71
201405,2.43,2.65
201505,-.89,-0.67
