Arkansas, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-.44,-0.45
189609,-3.21,-3.22
189709,-3.28,-3.29
189809,2.07,2.06
189909,-1.71,-1.72
190009,1.13,1.12
190109,-3.19,-3.20
190209,1.47,1.46
190309,-.12,-0.13
190409,-.38,-0.39
190509,3.87,3.86
190609,4.38,4.37
190709,-1.09,-1.10
190809,1.36,1.35
190909,-1.45,-1.46
191009,-.4,-0.41
191109,-.08,-0.09
191209,-.36,-0.37
191309,2.07,2.06
191409,-1.59,-1.60
191509,2.37,2.36
191609,-1.44,-1.45
191709,-.37,-0.38
191809,.48,0.47
191909,.36,0.35
192009,2.01,2.00
192109,-.27,-0.28
192209,-1.68,-1.69
192309,2.08,2.07
192409,-.95,-0.96
192509,-4.21,-4.22
192609,.4,0.39
192709,4.43,4.42
192809,-.76,-0.77
192909,-1.33,-1.34
193009,-3,-3.01
193109,-.93,-0.94
193209,-1.78,-1.79
193309,.66,0.65
193409,-2.51,-2.52
193509,-1.02,-1.03
193609,-4.56,-4.57
193709,.53,0.52
193809,-1.13,-1.14
193909,-1.27,-1.28
194009,-.31,-0.32
194109,.15,0.14
194209,-.1,-0.11
194309,-3.36,-3.37
194409,-1.18,-1.19
194509,5.36,5.35
194609,-1.5,-1.51
194709,-2.28,-2.29
194809,-.75,-0.76
194909,1.22,1.21
195009,5.12,5.11
195109,1.64,1.63
195209,-2.89,-2.90
195309,-2.86,-2.87
195409,-5.55,-5.56
195509,-1.95,-1.96
195609,-3.25,-3.26
195709,3.82,3.81
195809,5.13,5.12
195909,1.32,1.31
196009,-.16,-0.17
196109,2.08,2.07
196209,.76,0.75
196309,-2.78,-2.79
196409,-1.7,-1.71
196509,1.29,1.28
196609,-.85,-0.86
196709,1.53,1.52
196809,2.4,2.39
196909,-1.62,-1.63
197009,.84,0.83
197109,-.52,-0.53
197209,.51,0.50
197309,4.04,4.03
197409,4.72,4.71
197509,3.66,3.65
197609,-.33,-0.34
197709,-.76,-0.77
197809,-1.21,-1.22
197909,3.58,3.57
198009,-2.24,-2.25
198109,1.12,1.11
198209,.11,0.10
198309,-1.62,-1.63
198409,.84,0.83
198509,-.94,-0.95
198609,-.59,-0.60
198709,-1.87,-1.88
198809,-1.94,-1.95
198909,3.16,3.15
199009,.97,0.96
199109,1.3,1.29
199209,2.31,2.30
199309,.48,0.47
199409,1.48,1.47
199509,-1.08,-1.09
199609,1.76,1.75
199709,1.54,1.53
199809,-2.23,-2.24
199909,-2.21,-2.22
200009,-2.74,-2.75
200109,.02,0.01
200209,-.71,-0.72
200309,1.07,1.06
200409,.56,0.55
200509,-2.05,-2.06
200609,.29,0.28
200709,-1.3,-1.31
200809,3.73,3.72
200909,4.78,4.77
201009,-2.17,-2.18
201109,-2.56,-2.57
201209,-2.88,-2.89
201309,.66,0.65
201409,1.4,1.39
201509,1.11,1.10
