Utah, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-.25,-0.50
189612,-.7,-0.95
189712,1.77,1.52
189812,-1.22,-1.47
189912,-.71,-0.96
190012,-2.89,-3.14
190112,-2.86,-3.11
190212,.71,0.46
190312,-1.4,-1.65
190412,-1.66,-1.91
190512,1.5,1.25
190612,5.47,5.22
190712,3.99,3.74
190812,3.85,3.60
190912,5.49,5.24
191012,.74,0.49
191112,-.36,-0.61
191212,2.43,2.18
191312,1.97,1.72
191412,1.89,1.64
191512,.68,0.43
191612,3.24,2.99
191712,-2.1,-2.35
191812,-.15,-0.40
191912,.88,0.63
192012,2.92,2.67
192112,2.62,2.37
192212,2.85,2.60
192312,-.24,-0.49
192412,-1.51,-1.76
192512,-.49,-0.74
192612,.16,-0.09
192712,-.1,-0.35
192812,.46,0.21
192912,-1.71,-1.96
193012,-.75,-1.00
193112,.78,0.53
193212,-1.29,-1.54
193312,-2.07,-2.32
193412,-5.17,-5.42
193512,-2.64,-2.89
193612,.54,0.29
193712,-.8,-1.05
193812,-.23,-0.48
193912,-2.57,-2.82
194012,1.7,1.45
194112,6.12,5.87
194212,-1.03,-1.28
194312,-1.74,-1.99
194412,-1.59,-1.84
194512,.2,-0.05
194612,3.05,2.80
194712,3.54,3.29
194812,1.08,0.83
194912,.27,0.02
195012,-2.5,-2.75
195112,1.8,1.55
195212,-1.23,-1.48
195312,-2.54,-2.79
195412,-3.26,-3.51
195512,-2.09,-2.34
195612,-4,-4.25
195712,3.68,3.43
195812,-2.31,-2.56
195912,-2.95,-3.20
196012,-3.2,-3.45
196112,1.49,1.24
196212,-2.15,-2.40
196312,-2.45,-2.70
196412,1.35,1.10
196512,5.59,5.34
196612,.99,0.74
196712,-.58,-0.83
196812,.81,0.56
196912,-.48,-0.73
197012,.88,0.63
197112,1.81,1.56
197212,3.12,2.87
197312,2.59,2.34
197412,-2.64,-2.89
197512,-.6,-0.85
197612,-3.04,-3.29
197712,-4.47,-4.72
197812,2.39,2.14
197912,-1.37,-1.62
198012,-1.09,-1.34
198112,1.22,0.97
198212,5.05,4.80
198312,7.35,7.10
198412,5.78,5.53
198512,3.68,3.43
198612,-.94,-1.19
198712,.68,0.43
198812,-1.56,-1.81
198912,-4.4,-4.65
199012,-4.04,-4.29
199112,-1.26,-1.51
199212,.29,0.04
199312,-.46,-0.71
199412,1.27,1.02
199512,-1.71,-1.96
199612,1.21,0.96
199712,3.11,2.86
199812,3.91,3.66
199912,-2.36,-2.61
200012,-1.94,-2.19
200112,-2.46,-2.71
200212,-3.93,-4.18
200312,-3.5,-3.75
200412,2.57,2.32
200512,-.67,-0.92
200612,-.38,-0.63
200712,-2.49,-2.74
200812,-1.73,-1.98
200912,.12,-0.13
201012,2.94,2.69
201112,-.66,-0.91
201212,-3.62,-3.87
201312,-2.02,-2.27
201412,-1.98,-2.23
201512,-1.36,-1.61
