Tennessee, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.31,-1.33
189605,-2.19,-2.21
189705,-.38,-0.40
189805,-2.43,-2.45
189905,-.8,-0.82
190005,-2.86,-2.88
190105,-1.17,-1.19
190205,-1.25,-1.27
190305,.91,0.89
190405,-1.94,-1.96
190505,.33,0.31
190605,-2.14,-2.16
190705,1,0.98
190805,-.81,-0.83
190905,1.52,1.50
191005,.42,0.40
191105,-1,-1.02
191205,2.14,2.12
191305,-.63,-0.65
191405,-3.77,-3.79
191505,-3.45,-3.47
191605,.87,0.85
191705,1.68,1.66
191805,-2.03,-2.05
191905,.86,0.84
192005,2.38,2.36
192105,-1.18,-1.20
192205,1.25,1.23
192305,2.3,2.28
192405,.75,0.73
192505,-3.51,-3.53
192605,-3.47,-3.49
192705,2.99,2.97
192805,.78,0.76
192905,2.81,2.79
193005,-1.46,-1.48
193105,-3.87,-3.89
193205,.56,0.54
193305,1.84,1.82
193405,-2.38,-2.40
193505,.65,0.63
193605,-2.2,-2.22
193705,-.98,-1.00
193805,.42,0.40
193905,1.33,1.31
194005,-2.21,-2.23
194105,-4.83,-4.85
194205,-4.04,-4.06
194305,-1.51,-1.53
194405,-.62,-0.64
194505,.7,0.68
194605,-.33,-0.35
194705,-.91,-0.93
194805,-1.15,-1.17
194905,1.16,1.14
195005,2.99,2.97
195105,1.94,1.92
195205,-.92,-0.94
195305,-.82,-0.84
195405,-2.56,-2.58
195505,1.57,1.55
195605,-.54,-0.56
195705,.97,0.95
195805,.74,0.72
195905,-1.66,-1.68
196005,-1.45,-1.47
196105,.97,0.95
196205,-1.03,-1.05
196305,.45,0.43
196405,-.45,-0.47
196505,-.47,-0.49
196605,-1.95,-1.97
196705,1.16,1.14
196805,-.02,-0.04
196905,-1.48,-1.50
197005,-.57,-0.59
197105,.21,0.19
197205,.06,0.04
197305,5.17,5.15
197405,3.46,3.44
197505,4.12,4.10
197605,1.02,1.00
197705,-.73,-0.75
197805,.59,0.57
197905,3.01,2.99
198005,3.2,3.18
198105,.17,0.15
198205,-.51,-0.53
198305,3.37,3.35
198405,2.4,2.38
198505,-2.32,-2.34
198605,-2.96,-2.98
198705,-2.51,-2.53
198805,-3.23,-3.25
198905,2.2,2.18
199005,2.91,2.89
199105,3.1,3.08
199205,-1.74,-1.76
199305,-.25,-0.27
199405,2.75,2.73
199505,.56,0.54
199605,1.01,0.99
199705,3.64,3.62
199805,2.3,2.28
199905,-.85,-0.87
200005,-1.91,-1.93
200105,-.02,-0.04
200205,-.37,-0.39
200305,3.14,3.12
200405,1.88,1.86
200505,-1.09,-1.11
200605,-1.87,-1.89
200705,-3.42,-3.44
200805,-1.75,-1.77
200905,1.31,1.29
201005,1.39,1.37
201105,2.23,2.21
201205,-2.66,-2.68
201305,2.35,2.33
201405,1.18,1.16
201505,1.25,1.23
