California, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.56,1.39
189609,2.77,2.60
189709,-1.2,-1.37
189809,-1.33,-1.50
189909,.41,0.24
190009,.97,0.80
190109,2.28,2.11
190209,.96,0.79
190309,-.84,-1.01
190409,2.58,2.41
190509,-.18,-0.35
190609,4.71,4.54
190709,-.18,-0.35
190809,1.11,0.94
190909,.43,0.26
191009,-2.1,-2.27
191109,-.06,-0.23
191209,3.06,2.89
191309,1.8,1.63
191409,-.37,-0.54
191509,2.97,2.80
191609,.45,0.28
191709,-.39,-0.56
191809,-.96,-1.13
191909,-1.12,-1.29
192009,.97,0.80
192109,.81,0.64
192209,-.4,-0.57
192309,2.29,2.12
192409,-5.49,-5.66
192509,2.3,2.13
192609,-.89,-1.06
192709,1.23,1.06
192809,-1.64,-1.81
192909,-1.15,-1.32
193009,-.58,-0.75
193109,-2.79,-2.96
193209,-.55,-0.72
193309,-.52,-0.69
193409,-3.19,-3.36
193509,-.49,-0.66
193609,-.64,-0.81
193709,-.73,-0.90
193809,-.19,-0.36
193909,-1.43,-1.60
194009,.22,0.05
194109,3.63,3.46
194209,3,2.83
194309,-.39,-0.56
194409,.8,0.63
194509,.63,0.46
194609,-1.87,-2.04
194709,-2.29,-2.46
194809,.03,-0.14
194909,-1.41,-1.58
195009,.08,-0.09
195109,-.62,-0.79
195209,1.96,1.79
195309,-.41,-0.58
195409,-.55,-0.72
195509,-.07,-0.24
195609,.33,0.16
195709,2.17,2.00
195809,4.16,3.99
195909,-2.7,-2.87
196009,-2.73,-2.90
196109,-1.64,-1.81
196209,-1.11,-1.28
196309,2.61,2.44
196409,.53,0.36
196509,-.17,-0.34
196609,-2.57,-2.74
196709,2.61,2.44
196809,-.39,-0.56
196909,-.63,-0.80
197009,-1.67,-1.84
197109,1.67,1.50
197209,.33,0.16
197309,.09,-0.08
197409,-.94,-1.11
197509,.99,0.82
197609,-1.96,-2.13
197709,.72,0.55
197809,3.02,2.85
197909,.07,-0.10
198009,-.35,-0.52
198109,.07,-0.10
198209,3.68,3.51
198309,6.3,6.13
198409,.2,0.03
198509,.71,0.54
198609,1.07,0.90
198709,-3.44,-3.61
198809,-1.57,-1.74
198909,.92,0.75
199009,-2.35,-2.52
199109,-1.43,-1.60
199209,-3.04,-3.21
199309,-.39,-0.56
199409,-2.32,-2.49
199509,4.73,4.56
199609,1.73,1.56
199709,.45,0.28
199809,6.23,6.06
199909,-.28,-0.45
200009,-.82,-0.99
200109,-2.82,-2.99
200209,-3.37,-3.54
200309,-.4,-0.57
200409,-3.26,-3.43
200509,3.55,3.38
200609,-1.44,-1.61
200709,-3.93,-4.10
200809,-4.29,-4.46
200909,-3.43,-3.60
201009,1.04,0.87
201109,-.21,-0.38
201209,-1.88,-2.05
201309,-2.6,-2.77
201409,-5.53,-5.70
201509,-4.53,-4.70
