Colorado, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,2.8,2.32
189610,.52,0.04
189710,2.69,2.21
189810,1.51,1.03
189910,-.78,-1.26
190010,-2.7,-3.18
190110,-3.44,-3.92
190210,-4.1,-4.58
190310,-.16,-0.64
190410,-.15,-0.63
190510,-.23,-0.71
190610,3.5,3.02
190710,-.22,-0.70
190810,1.21,0.73
190910,3.53,3.05
191010,-1.95,-2.43
191110,1.33,0.85
191210,3.94,3.46
191310,.45,-0.03
191410,4.41,3.93
191510,4.03,3.55
191610,3.61,3.13
191710,-.56,-1.04
191810,.94,0.46
191910,1.33,0.85
192010,3.42,2.94
192110,3.49,3.01
192210,-2.42,-2.90
192310,5.72,5.24
192410,-1.52,-2.00
192510,1.47,0.99
192610,-.71,-1.19
192710,3.27,2.79
192810,2.72,2.24
192910,3.8,3.32
193010,1.89,1.41
193110,-1.91,-2.39
193210,-.79,-1.27
193310,-2.05,-2.53
193410,-6.44,-6.92
193510,-2.03,-2.51
193610,-2.2,-2.68
193710,-2.76,-3.24
193810,2.16,1.68
193910,-3.65,-4.13
194010,.39,-0.09
194110,6.75,6.27
194210,4.71,4.23
194310,-.89,-1.37
194410,-1.67,-2.15
194510,-.13,-0.61
194610,.74,0.26
194710,3.83,3.35
194810,1.48,1.00
194910,3.54,3.06
195010,-2.55,-3.03
195110,.54,0.06
195210,-2.23,-2.71
195310,-1.87,-2.35
195410,-4.44,-4.92
195510,-4.49,-4.97
195610,-4.63,-5.11
195710,5.01,4.53
195810,-.89,-1.37
195910,1.65,1.17
196010,-1.6,-2.08
196110,2.58,2.10
196210,-1.32,-1.80
196310,-3.74,-4.22
196410,-5.2,-5.68
196510,5.59,5.11
196610,-1.16,-1.64
196710,-.46,-0.94
196810,-.86,-1.34
196910,4.54,4.06
197010,3.36,2.88
197110,1.46,0.98
197210,1.2,0.72
197310,2.69,2.21
197410,-2.1,-2.58
197510,-1.03,-1.51
197610,-.21,-0.69
197710,-4.35,-4.83
197810,-2.98,-3.46
197910,2,1.52
198010,-1.8,-2.28
198110,-2.64,-3.12
198210,2.48,2.00
198310,2.67,2.19
198410,5.16,4.68
198510,3.48,3.00
198610,3.68,3.20
198710,2.13,1.65
198810,-.93,-1.41
198910,-2.23,-2.71
199010,-1.39,-1.87
199110,.67,0.19
199210,1.02,0.54
199310,2.86,2.38
199410,.54,0.06
199510,3.68,3.20
199610,1.6,1.12
199710,4.8,4.32
199810,3.07,2.59
199910,-.5,-0.98
200010,-2.54,-3.02
200110,-2.94,-3.42
200210,-6.66,-7.14
200310,-4.98,-5.46
200410,.83,0.35
200510,.7,0.22
200610,2.16,1.68
200710,-.2,-0.68
200810,-.28,-0.76
200910,1.94,1.46
201010,-.67,-1.15
201110,-.19,-0.67
201210,-6.28,-6.76
201310,1.99,1.51
201410,-.28,-0.76
201510,1.8,1.32
