Michigan, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,-4.81,-4.63
189611,3.16,3.34
189711,-2.37,-2.19
189811,.69,0.87
189911,-1.85,-1.67
190011,2.06,2.24
190111,-2.22,-2.04
190211,2.28,2.46
190311,2.92,3.10
190411,-1.04,-0.86
190511,1.97,2.15
190611,.6,0.78
190711,-.75,-0.57
190811,-4.29,-4.11
190911,-2.65,-2.47
191011,-4.14,-3.96
191111,2.4,2.58
191211,1.15,1.33
191311,-2.26,-2.08
191411,-2.25,-2.07
191511,2.79,2.97
191611,-1.27,-1.09
191711,-.54,-0.36
191811,-.05,0.13
191911,-1.25,-1.07
192011,-2.08,-1.90
192111,-2.72,-2.54
192211,-1.38,-1.20
192311,-1.92,-1.74
192411,-1.63,-1.45
192511,.47,0.65
192611,3.24,3.42
192711,.84,1.02
192811,3.22,3.40
192911,-1.56,-1.38
193011,-5.5,-5.32
193111,.5,0.68
193211,.97,1.15
193311,-2.5,-2.32
193411,-3.38,-3.20
193511,-1.29,-1.11
193611,-2.86,-2.68
193711,.23,0.41
193811,-2.15,-1.97
193911,-2.08,-1.90
194011,.44,0.62
194111,2.19,2.37
194211,2.49,2.67
194311,-.98,-0.80
194411,-2.58,-2.40
194511,3.62,3.80
194611,-3.37,-3.19
194711,-2.04,-1.86
194811,-3.84,-3.66
194911,-1.27,-1.09
195011,1.61,1.79
195111,4.14,4.32
195211,-1.71,-1.53
195311,-2.78,-2.60
195411,.01,0.19
195511,-2.84,-2.66
195611,-2.47,-2.29
195711,1.1,1.28
195811,-.28,-0.10
195911,2.36,2.54
196011,-1.16,-0.98
196111,.88,1.06
196211,-2.63,-2.45
196311,-5.24,-5.06
196411,-3.37,-3.19
196511,2.09,2.27
196611,.49,0.67
196711,1.96,2.14
196811,2.21,2.39
196911,-.98,-0.80
197011,1.76,1.94
197111,-3.32,-3.14
197211,2.64,2.82
197311,-1.36,-1.18
197411,.88,1.06
197511,2.92,3.10
197611,-3.95,-3.77
197711,1.66,1.84
197811,1.16,1.34
197911,-.25,-0.07
198011,1.66,1.84
198111,2.12,2.30
198211,1.82,2.00
198311,.95,1.13
198411,.63,0.81
198511,4.69,4.87
198611,-.14,0.04
198711,1.55,1.73
198811,2.63,2.81
198911,-1.69,-1.51
199011,2.89,3.07
199111,2.2,2.38
199211,3.56,3.74
199311,3.38,3.56
199411,.52,0.70
199511,.96,1.14
199611,1.74,1.92
199711,-1.24,-1.06
199811,-4.27,-4.09
199911,-2.97,-2.79
200011,.9,1.08
200111,1.67,1.85
200211,-1.81,-1.63
200311,.71,0.89
200411,.14,0.32
200511,-3.23,-3.05
200611,1.05,1.23
200711,-2.95,-2.77
200811,1.48,1.66
200911,-.61,-0.43
201011,-.41,-0.23
201111,1.55,1.73
201211,-2.11,-1.93
201311,2.38,2.56
201411,4.42,4.60
201511,-1.23,-1.05
