Oklahoma, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.64,-0.83
189603,-.49,-0.68
189703,-1.87,-2.06
189803,.98,0.79
189903,-.79,-0.98
190003,-.61,-0.80
190103,-1.65,-1.84
190203,.29,0.10
190303,2.67,2.48
190403,-3.06,-3.25
190503,.4,0.21
190603,1.49,1.30
190703,1.97,1.78
190803,1.51,1.32
190903,-.82,-1.01
191003,-2.31,-2.50
191103,-5.27,-5.46
191203,-2.02,-2.21
191303,-2.03,-2.22
191403,.04,-0.15
191503,.82,0.63
191603,-.81,-1.00
191703,-3.28,-3.47
191803,-4.4,-4.59
191903,1.54,1.35
192003,1.65,1.46
192103,2.2,2.01
192203,.51,0.32
192303,-.03,-0.22
192403,3.23,3.04
192503,-3.54,-3.73
192603,-.37,-0.56
192703,3.03,2.84
192803,1.21,1.02
192903,2.73,2.54
193003,-.83,-1.02
193103,.91,0.72
193203,-.32,-0.51
193303,-.22,-0.41
193403,-2.32,-2.51
193503,.3,0.11
193603,-1.66,-1.85
193703,-1.92,-2.11
193803,1.4,1.21
193903,-1.94,-2.13
194003,-4.36,-4.55
194103,1.21,1.02
194203,2.75,2.56
194303,1.88,1.69
194403,.86,0.67
194503,2.17,1.98
194603,-.26,-0.45
194703,.61,0.42
194803,.93,0.74
194903,1.77,1.58
195003,-1.37,-1.56
195103,-.98,-1.17
195203,.05,-0.14
195303,-3.16,-3.35
195403,-3.19,-3.38
195503,-4.36,-4.55
195603,-4.76,-4.95
195703,.56,0.37
195803,3.18,2.99
195903,-2.21,-2.40
196003,3.47,3.28
196103,2.31,2.12
196203,-.46,-0.65
196303,-1.27,-1.46
196403,-3.96,-4.15
196503,-.19,-0.38
196603,-2.19,-2.38
196703,-4.96,-5.15
196803,1.25,1.06
196903,2.98,2.79
197003,.18,-0.01
197103,-.99,-1.18
197203,-1.29,-1.48
197303,4.07,3.88
197403,3.46,3.27
197503,4.66,4.47
197603,-2.06,-2.25
197703,-1.77,-1.96
197803,-2.02,-2.21
197903,.57,0.38
198003,.03,-0.16
198103,-3.76,-3.95
198203,1.36,1.17
198303,1.65,1.46
198403,1.66,1.47
198503,4.11,3.92
198603,1.59,1.40
198703,4.47,4.28
198803,3.53,3.34
198903,.76,0.57
199003,3.11,2.92
199103,-1.78,-1.97
199203,1.98,1.79
199303,5.28,5.09
199403,2.52,2.33
199503,1.85,1.66
199603,-2.14,-2.33
199703,2.8,2.61
199803,4.94,4.75
199903,2.08,1.89
200003,.46,0.27
200103,-.23,-0.42
200203,.07,-0.12
200303,-.17,-0.36
200403,.31,0.12
200503,-.49,-0.68
200603,-3.98,-4.17
200703,1.15,0.96
200803,2.58,2.39
200903,-1.61,-1.80
201003,-.11,-0.30
201103,-3.03,-3.22
201203,-1.38,-1.57
201303,-3.75,-3.94
201403,-1.01,-1.20
201503,-.47,-0.66
201603,3.47,3.28
