Colorado, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,2.79,2.41
189603,3.36,2.98
189703,1.75,1.37
189803,1.48,1.10
189903,2.18,1.80
190003,-2.07,-2.45
190103,-4.32,-4.70
190203,-4.87,-5.25
190303,.89,0.51
190403,-3.76,-4.14
190503,.95,0.57
190603,1.08,0.70
190703,2.48,2.10
190803,-.86,-1.24
190903,4.25,3.87
191003,-.96,-1.34
191103,-1.91,-2.29
191203,2.24,1.86
191303,-.21,-0.59
191403,1.97,1.59
191503,2.04,1.66
191603,4.48,4.10
191703,3.04,2.66
191803,.34,-0.04
191903,1.3,0.92
192003,2.67,2.29
192103,2.12,1.74
192203,3.12,2.74
192303,.71,0.33
192403,6.13,5.75
192503,-2.47,-2.85
192603,1.21,0.83
192703,1.39,1.01
192803,1.5,1.12
192903,3.05,2.67
193003,1.71,1.33
193103,-.84,-1.22
193203,.31,-0.07
193303,-3.36,-3.74
193403,-3.07,-3.45
193503,-6.23,-6.61
193603,-2.55,-2.93
193703,-2.24,-2.62
193803,.68,0.30
193903,2.69,2.31
194003,-3.9,-4.28
194103,1.4,1.02
194203,6.52,6.14
194303,.41,0.03
194403,.45,0.07
194503,-1.25,-1.63
194603,-1.95,-2.33
194703,1.9,1.52
194803,4.99,4.61
194903,2.17,1.79
195003,-1.65,-2.03
195103,-2.66,-3.04
195203,3.63,3.25
195303,-2.69,-3.07
195403,-2.97,-3.35
195503,-5.12,-5.50
195603,-2.64,-3.02
195703,.85,0.47
195803,5.34,4.96
195903,-1.45,-1.83
196003,1.97,1.59
196103,.22,-0.16
196203,3.26,2.88
196303,-2.56,-2.94
196403,-5.14,-5.52
196503,1.25,0.87
196603,-.47,-0.85
196703,-2.45,-2.83
196803,-.49,-0.87
196903,-.06,-0.44
197003,4.63,4.25
197103,1.97,1.59
197203,-1.7,-2.08
197303,3.11,2.73
197403,-.04,-0.42
197503,.33,-0.05
197603,-.84,-1.22
197703,-3.95,-4.33
197803,-3.11,-3.49
197903,3.05,2.67
198003,4.22,3.84
198103,-4.53,-4.91
198203,-2.38,-2.76
198303,2.96,2.58
198403,4.99,4.61
198503,4.74,4.36
198603,2.75,2.37
198703,4.51,4.13
198803,1.96,1.58
198903,-.93,-1.31
199003,-3.65,-4.03
199103,-1.77,-2.15
199203,1.4,1.02
199303,3.14,2.76
199403,-.58,-0.96
199503,.84,0.46
199603,1.78,1.40
199703,1.47,1.09
199803,4.58,4.20
199903,-1.52,-1.90
200003,-1.12,-1.50
200103,-2.74,-3.12
200203,-4.75,-5.13
200303,-5.31,-5.69
200403,-4.74,-5.12
200503,1.79,1.41
200603,-1.3,-1.68
200703,-.55,-0.93
200803,.01,-0.37
200903,-1.16,-1.54
201003,1.53,1.15
201103,-1.01,-1.39
201203,-2.31,-2.69
201303,-6.67,-7.05
201403,.84,0.46
201503,-.92,-1.30
201603,1.38,1.00
