Maine, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-3.05,-2.98
189609,1.6,1.67
189709,2,2.07
189809,-1.08,-1.01
189909,-.94,-0.87
190009,-1.04,-0.97
190109,-1.03,-0.96
190209,2.85,2.92
190309,-2.17,-2.10
190409,2.27,2.34
190509,-1.74,-1.67
190609,-1.42,-1.35
190709,2.85,2.92
190809,-2.2,-2.13
190909,2.19,2.26
191009,-.9,-0.83
191109,-2.81,-2.74
191209,1.23,1.30
191309,-.04,0.03
191409,-1.46,-1.39
191509,-.43,-0.36
191609,-.02,0.05
191709,2.79,2.86
191809,2.71,2.78
191909,-.96,-0.89
192009,2.29,2.36
192109,-3.11,-3.04
192209,-.85,-0.78
192309,-1.88,-1.81
192409,-1.02,-0.95
192509,.8,0.87
192609,.06,0.13
192709,.86,0.93
192809,2.54,2.61
192909,-2.02,-1.95
193009,-1.69,-1.62
193109,1.89,1.96
193209,1.53,1.60
193309,.09,0.16
193409,.59,0.66
193509,-.45,-0.38
193609,-.56,-0.49
193709,-1.26,-1.19
193809,2.4,2.47
193909,-1.44,-1.37
194009,.44,0.51
194109,-3.1,-3.03
194209,-1.35,-1.28
194309,.99,1.06
194409,.66,0.73
194509,.25,0.32
194609,-1.55,-1.48
194709,-1.29,-1.22
194809,-3.9,-3.83
194909,-3.47,-3.40
195009,-2.56,-2.49
195109,2.58,2.65
195209,-2.4,-2.33
195309,-1.4,-1.33
195409,5.97,6.04
195509,-2.05,-1.98
195609,-.92,-0.85
195709,-3.06,-2.99
195809,2.31,2.38
195909,.03,0.10
196009,-.84,-0.77
196109,-.36,-0.29
196209,1.33,1.40
196309,.99,1.06
196409,-2.25,-2.18
196509,-4.04,-3.97
196609,-2.67,-2.60
196709,1.87,1.94
196809,-2.8,-2.73
196909,1.83,1.90
197009,-.82,-0.75
197109,-1.19,-1.12
197209,1.96,2.03
197309,3.38,3.45
197409,3.2,3.27
197509,.17,0.24
197609,3.28,3.35
197709,2.4,2.47
197809,-2.69,-2.62
197909,-.51,-0.44
198009,-1.19,-1.12
198109,3,3.07
198209,-.62,-0.55
198309,-1.38,-1.31
198409,-1.51,-1.44
198509,-.06,0.01
198609,1.98,2.05
198709,-1.11,-1.04
198809,.33,0.40
198909,1.12,1.19
199009,1.35,1.42
199109,2.46,2.53
199209,-.42,-0.35
199309,.15,0.22
199409,-.24,-0.17
199509,-2.8,-2.73
199609,3.44,3.51
199709,-.21,-0.14
199809,-.78,-0.71
199909,1.91,1.98
200009,-1.1,-1.03
200109,-3.65,-3.58
200209,-2.67,-2.60
200309,-.01,0.06
200409,-.21,-0.14
200509,2.51,2.58
200609,3.93,4.00
200709,1.67,1.74
200809,5,5.07
200909,3.78,3.85
201009,.44,0.51
201109,4.01,4.08
201209,1.35,1.42
201309,3.45,3.52
201409,1.68,1.75
201509,1.15,1.22
