Wyoming, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,3.81,3.30
189607,3.41,2.90
189707,-1.74,-2.25
189807,-.09,-0.60
189907,4,3.49
190007,-3,-3.51
190107,-2.88,-3.39
190207,-3.83,-4.34
190307,.75,0.24
190407,2.96,2.45
190507,2.02,1.51
190607,2.68,2.17
190707,4.22,3.71
190807,2.9,2.39
190907,4.59,4.08
191007,-3.78,-4.29
191107,-5.29,-5.80
191207,2.32,1.81
191307,3.05,2.54
191407,-.84,-1.35
191507,1.54,1.03
191607,1.76,1.25
191707,-.73,-1.24
191807,.78,0.27
191907,-6.21,-6.72
192007,-.25,-0.76
192107,-.22,-0.73
192207,1.72,1.21
192307,2.35,1.84
192407,2.63,2.12
192507,2.13,1.62
192607,3.22,2.71
192707,4.96,4.45
192807,6,5.49
192907,4.26,3.75
193007,-1.7,-2.21
193107,-3.46,-3.97
193207,-1.29,-1.80
193307,-1.86,-2.37
193407,-7.92,-8.43
193507,-3.98,-4.49
193607,-2.94,-3.45
193707,1.96,1.45
193807,2.1,1.59
193907,-2.51,-3.02
194007,-5,-5.51
194107,1.49,0.98
194207,3.21,2.70
194307,4.17,3.66
194407,3.08,2.57
194507,4.51,4.00
194607,3.68,3.17
194707,5.63,5.12
194807,3.14,2.63
194907,2.44,1.93
195007,2.73,2.22
195107,2.12,1.61
195207,.11,-0.40
195307,-1.29,-1.80
195407,-4.42,-4.93
195507,-5.36,-5.87
195607,-2.19,-2.70
195707,2.89,2.38
195807,.75,0.24
195907,-.52,-1.03
196007,-5.59,-6.10
196107,-6.34,-6.85
196207,3.75,3.24
196307,.71,0.20
196407,-.06,-0.57
196507,3.15,2.64
196607,-3.67,-4.18
196707,3.07,2.56
196807,3.13,2.62
196907,1.35,0.84
197007,1.56,1.05
197107,2.81,2.30
197207,2.66,2.15
197307,2.95,2.44
197407,-1.58,-2.09
197507,2.28,1.77
197607,2.14,1.63
197707,-4.77,-5.28
197807,1.91,1.40
197907,-1.09,-1.60
198007,-.96,-1.47
198107,-2.54,-3.05
198207,2.61,2.10
198307,5.19,4.68
198407,4.29,3.78
198507,-3.09,-3.60
198607,1.37,0.86
198707,-1.2,-1.71
198807,-4.82,-5.33
198907,-4.53,-5.04
199007,-2.96,-3.47
199107,1.59,1.08
199207,-2.81,-3.32
199307,3.06,2.55
199407,-2.49,-3.00
199507,5.21,4.70
199607,3,2.49
199707,4.3,3.79
199807,4.13,3.62
199907,4.95,4.44
200007,-4.29,-4.80
200107,-7.04,-7.55
200207,-9.01,-9.52
200307,-4.79,-5.30
200407,-5.65,-6.16
200507,-2.69,-3.20
200607,-5.37,-5.88
200707,-6.06,-6.57
200807,-.22,-0.73
200907,1.68,1.17
201007,2.33,1.82
201107,4.08,3.57
201207,-5.49,-6.00
201307,-6.55,-7.06
201407,1.98,1.47
201507,1.79,1.28
