Connecticut, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-1.8,-1.63
189606,-1.41,-1.24
189706,.31,0.48
189806,2.19,2.36
189906,-1.37,-1.20
190006,-.74,-0.57
190106,2.74,2.91
190206,2.73,2.90
190306,3.59,3.76
190406,-.63,-0.46
190506,.3,0.47
190606,.9,1.07
190706,-.74,-0.57
190806,-.87,-0.70
190906,-.53,-0.36
191006,-.91,-0.74
191106,-2.9,-2.73
191206,-.94,-0.77
191306,-.92,-0.75
191406,-.96,-0.79
191506,-2.42,-2.25
191606,.82,0.99
191706,.36,0.53
191806,.25,0.42
191906,-.55,-0.38
192006,2.36,2.53
192106,-.68,-0.51
192206,1.35,1.52
192306,-.55,-0.38
192406,-.5,-0.33
192506,-1.71,-1.54
192606,-1.17,-1.00
192706,.35,0.52
192806,2.25,2.42
192906,-.59,-0.42
193006,-2.1,-1.93
193106,1.21,1.38
193206,.03,0.20
193306,-1.18,-1.01
193406,.79,0.96
193506,-.9,-0.73
193606,-.21,-0.04
193706,1.36,1.53
193806,1.16,1.33
193906,-1.12,-0.95
194006,1.91,2.08
194106,-2.09,-1.92
194206,.02,0.19
194306,-.62,-0.45
194406,-2,-1.83
194506,1.12,1.29
194606,.54,0.71
194706,.53,0.70
194806,1.49,1.66
194906,-1.51,-1.34
195006,-1.92,-1.75
195106,-.42,-0.25
195206,1.92,2.09
195306,-.5,-0.33
195406,-1.44,-1.27
195506,-1.33,-1.16
195606,-.63,-0.46
195706,-2.74,-2.57
195806,1.35,1.52
195906,-1.15,-0.98
196006,-.91,-0.74
196106,-.28,-0.11
196206,-1.95,-1.78
196306,-2.19,-2.02
196406,-2.66,-2.49
196506,-4.46,-4.29
196606,-4.36,-4.19
196706,.89,1.06
196806,1.36,1.53
196906,-1.41,-1.24
197006,-.56,-0.39
197106,-2.24,-2.07
197206,4.24,4.41
197306,3.6,3.77
197406,-.57,-0.40
197506,.24,0.41
197606,.77,0.94
197706,-.15,0.02
197806,-.85,-0.68
197906,-.74,-0.57
198006,-.72,-0.55
198106,-2.02,-1.85
198206,3.16,3.33
198306,-.28,-0.11
198406,3.93,4.10
198506,.42,0.59
198606,.48,0.65
198706,-1.05,-0.88
198806,-2.58,-2.41
198906,2.47,2.64
199006,2.09,2.26
199106,-1.61,-1.44
199206,1.1,1.27
199306,-1.52,-1.35
199406,-.79,-0.62
199506,-2.06,-1.89
199606,1.13,1.30
199706,-.99,-0.82
199806,2.59,2.76
199906,-1.97,-1.80
200006,1.28,1.45
200106,-.01,0.16
200206,.85,1.02
200306,1.54,1.71
200406,-.84,-0.67
200506,-.93,-0.76
200606,3.83,4.00
200706,-.93,-0.76
200806,1.4,1.57
200906,1.19,1.36
201006,-1.68,-1.51
201106,1.6,1.77
201206,-2.32,-2.15
201306,2.38,2.55
201406,-1.05,-0.88
201506,-1.92,-1.75
