Oklahoma, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,1.12,0.98
189607,-2.66,-2.80
189707,-.97,-1.11
189807,1.94,1.80
189907,1.16,1.02
190007,.55,0.41
190107,-2.53,-2.67
190207,.54,0.40
190307,.15,0.01
190407,1.85,1.71
190507,1.96,1.82
190607,2.12,1.98
190707,2.68,2.54
190807,4.67,4.53
190907,-.86,-1.00
191007,-2.97,-3.11
191107,-6.04,-6.18
191207,-1.51,-1.65
191307,-2.81,-2.95
191407,-1.92,-2.06
191507,3.35,3.21
191607,-.43,-0.57
191707,-3.65,-3.79
191807,-4.65,-4.79
191907,1.54,1.40
192007,1.24,1.10
192107,2.48,2.34
192207,-.36,-0.50
192307,-.23,-0.37
192407,-.9,-1.04
192507,-4.74,-4.88
192607,.78,0.64
192707,3.23,3.09
192807,2.98,2.84
192907,.13,-0.01
193007,-.59,-0.73
193107,-1.21,-1.35
193207,1.03,0.89
193307,-1.95,-2.09
193407,-4.97,-5.11
193507,-.17,-0.31
193607,-4.59,-4.73
193707,-2.46,-2.60
193807,1.54,1.40
193907,-1.69,-1.83
194007,.46,0.32
194107,2.54,2.40
194207,3.22,3.08
194307,-1.12,-1.26
194407,.82,0.68
194507,3.6,3.46
194607,-.96,-1.10
194707,0,-0.14
194807,1.35,1.21
194907,2.25,2.11
195007,2.51,2.37
195107,1.81,1.67
195207,-2.04,-2.18
195307,-2.57,-2.71
195407,-3.86,-4.00
195507,-3.44,-3.58
195607,-6.73,-6.87
195707,4.28,4.14
195807,3.17,3.03
195907,1.47,1.33
196007,3.05,2.91
196107,2.62,2.48
196207,1.18,1.04
196307,-2.72,-2.86
196407,-4.1,-4.24
196507,.16,0.02
196607,-3.16,-3.30
196707,.27,0.13
196807,1.93,1.79
196907,-.24,-0.38
197007,-1.73,-1.87
197107,.26,0.12
197207,-1.91,-2.05
197307,4.2,4.06
197407,1.5,1.36
197507,4.35,4.21
197607,-1.12,-1.26
197707,-1.65,-1.79
197807,-1.7,-1.84
197907,2.02,1.88
198007,-1.56,-1.70
198107,.16,0.02
198207,3.02,2.88
198307,-.29,-0.43
198407,-1.35,-1.49
198507,2.98,2.84
198607,1.39,1.25
198707,3.28,3.14
198807,-1.85,-1.99
198907,2.05,1.91
199007,-.85,-0.99
199107,.35,0.21
199207,3.51,3.37
199307,4.31,4.17
199407,1.63,1.49
199507,3.83,3.69
199607,.67,0.53
199707,3.05,2.91
199807,-2.49,-2.63
199907,-.03,-0.17
200007,1.5,1.36
200107,-1.53,-1.67
200207,.43,0.29
200307,-.58,-0.72
200407,1.54,1.40
200507,-1.32,-1.46
200607,-5.79,-5.93
200707,4.19,4.05
200807,2.95,2.81
200907,.42,0.28
201007,.58,0.44
201107,-5.41,-5.55
201207,-3.67,-3.81
201307,1.43,1.29
201407,1.41,1.27
201507,4.28,4.14
