Alabama, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.17,-0.04
189603,-1.23,-1.10
189703,-1.58,-1.45
189803,-5.13,-5.00
189903,-.03,0.10
190003,.97,1.10
190103,1.15,1.28
190203,2.13,2.26
190303,1.1,1.23
190403,-2.58,-2.45
190503,-2.33,-2.20
190603,-.71,-0.58
190703,-2.68,-2.55
190803,-.68,-0.55
190903,1.26,1.39
191003,-3.09,-2.96
191103,-3,-2.87
191203,1.89,2.02
191303,2.7,2.83
191403,-2.88,-2.75
191503,-1.93,-1.80
191603,-2.11,-1.98
191703,1.09,1.22
191803,-2.57,-2.44
191903,2.4,2.53
192003,2.5,2.63
192103,-1.16,-1.03
192203,1.47,1.60
192303,.26,0.39
192403,-.8,-0.67
192503,-2.01,-1.88
192603,1.11,1.24
192703,-1.19,-1.06
192803,-.05,0.08
192903,3.82,3.95
193003,-1.33,-1.20
193103,-2.59,-2.46
193203,.55,0.68
193303,.21,0.34
193403,-2.8,-2.67
193503,-1.01,-0.88
193603,-.8,-0.67
193703,.55,0.68
193803,-2.07,-1.94
193903,.79,0.92
194003,-.26,-0.13
194103,-2.06,-1.93
194203,-1.52,-1.39
194303,1.02,1.15
194403,1.53,1.66
194503,-1.28,-1.15
194603,1.75,1.88
194703,2.36,2.49
194803,1.88,2.01
194903,2.71,2.84
195003,-1.34,-1.21
195103,.75,0.88
195203,-1.33,-1.20
195303,-1.91,-1.78
195403,-1.54,-1.41
195503,-4.4,-4.27
195603,-2.18,-2.05
195703,-2.4,-2.27
195803,-.8,-0.67
195903,-1.15,-1.02
196003,.45,0.58
196103,2.42,2.55
196203,-.36,-0.23
196303,-2.18,-2.05
196403,.95,1.08
196503,1.6,1.73
196603,-.57,-0.44
196703,-1.8,-1.67
196803,-1.47,-1.34
196903,-.68,-0.55
197003,-.38,-0.25
197103,1.53,1.66
197203,-.53,-0.40
197303,2.09,2.22
197403,1.43,1.56
197503,3.2,3.33
197603,3.71,3.84
197703,2.4,2.53
197803,-1.26,-1.13
197903,1.23,1.36
198003,3.26,3.39
198103,-2.29,-2.16
198203,.2,0.33
198303,1.99,2.12
198403,-.84,-0.71
198503,-1.69,-1.56
198603,-2.13,-2.00
198703,-.39,-0.26
198803,-2.46,-2.33
198903,-.89,-0.76
199003,4.45,4.58
199103,.73,0.86
199203,-.7,-0.57
199303,-.19,-0.06
199403,.27,0.40
199503,-.65,-0.52
199603,2.75,2.88
199703,.6,0.73
199803,3.09,3.22
199903,-.96,-0.83
200003,-3.12,-2.99
200103,1.36,1.49
200203,-1.03,-0.90
200303,1.01,1.14
200403,-1.36,-1.23
200503,1.43,1.56
200603,-1.62,-1.49
200703,-3.51,-3.38
200803,-3.86,-3.73
200903,.89,1.02
201003,-.37,-0.24
201103,-2.2,-2.07
201203,-2.42,-2.29
201303,1.25,1.38
201403,1.51,1.64
201503,-1.3,-1.17
