Maryland, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-1.46,-1.40
189609,-1.63,-1.57
189709,.81,0.87
189809,-1.72,-1.66
189909,.36,0.42
190009,-1.51,-1.45
190109,-.08,-0.02
190209,.63,0.69
190309,2.77,2.83
190409,-.26,-0.20
190509,1.92,1.98
190609,2.22,2.28
190709,2.89,2.95
190809,-.21,-0.15
190909,-.97,-0.91
191009,-1.36,-1.30
191109,1.3,1.36
191209,1.97,2.03
191309,-1.47,-1.41
191409,-2.51,-2.45
191509,1.19,1.25
191609,-.51,-0.45
191709,.9,0.96
191809,-1.01,-0.95
191909,2.02,2.08
192009,2.93,2.99
192109,-1.94,-1.88
192209,-.39,-0.33
192309,-1.23,-1.17
192409,2.93,2.99
192509,-3.56,-3.50
192609,1.52,1.58
192709,-.76,-0.70
192809,3.37,3.43
192909,-1.33,-1.27
193009,-5.15,-5.09
193109,-2.14,-2.08
193209,-1.56,-1.50
193309,-.13,-0.07
193409,1.95,2.01
193509,2.67,2.73
193609,-1.61,-1.55
193709,2.33,2.39
193809,1.91,1.97
193909,-1.12,-1.06
194009,-.65,-0.59
194109,-1.81,-1.75
194209,1.2,1.26
194309,-3.12,-3.06
194409,.33,0.39
194509,3.19,3.25
194609,.04,0.10
194709,-1.09,-1.03
194809,2.03,2.09
194909,-.73,-0.67
195009,1.16,1.22
195109,-1.05,-0.99
195209,1.69,1.75
195309,-1.32,-1.26
195409,-3.37,-3.31
195509,1.94,2.00
195609,.9,0.96
195709,.03,0.09
195809,-.1,-0.04
195909,-1.88,-1.82
196009,1.8,1.86
196109,-1.08,-1.02
196209,-2.1,-2.04
196309,-1.94,-1.88
196409,-2.67,-2.61
196509,-3.27,-3.21
196609,1.17,1.23
196709,-.35,-0.29
196809,-1.62,-1.56
196909,1.36,1.42
197009,-1.28,-1.22
197109,1.54,1.60
197209,2.8,2.86
197309,-.53,-0.47
197409,-.05,0.01
197509,4.39,4.45
197609,.4,0.46
197709,-3.11,-3.05
197809,-.73,-0.67
197909,4.45,4.51
198009,-1.87,-1.81
198109,-1.3,-1.24
198209,-.73,-0.67
198309,-2.01,-1.95
198409,-.57,-0.51
198509,.59,0.65
198609,-3.81,-3.75
198709,-2.4,-2.34
198809,-2.29,-2.23
198909,2.97,3.03
199009,.75,0.81
199109,-3.09,-3.03
199209,1.08,1.14
199309,.13,0.19
199409,-.4,-0.34
199509,-2.96,-2.90
199609,4.42,4.48
199709,-1.69,-1.63
199809,-2.17,-2.11
199909,2.18,2.24
200009,2.62,2.68
200109,-.3,-0.24
200209,-4.17,-4.11
200309,5.28,5.34
200409,3.74,3.80
200509,-1.8,-1.74
200609,1.12,1.18
200709,-3.52,-3.46
200809,-.81,-0.75
200909,1.63,1.69
201009,-2.24,-2.18
201109,2.76,2.82
201209,-2.37,-2.31
201309,.76,0.82
201409,-.55,-0.49
201509,-.56,-0.50
