Rhode Island, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-1.17,-1.08
189606,-1.19,-1.10
189706,.43,0.52
189806,1.9,1.99
189906,-1.3,-1.21
190006,-.37,-0.28
190106,2.83,2.92
190206,-.55,-0.46
190306,1.86,1.95
190406,1.22,1.31
190506,.72,0.81
190606,1.16,1.25
190706,-.32,-0.23
190806,-.51,-0.42
190906,-.45,-0.36
191006,-1.06,-0.97
191106,-2.36,-2.27
191206,-.86,-0.77
191306,-.82,-0.73
191406,-1.08,-0.99
191506,-2.32,-2.23
191606,1.39,1.48
191706,1.17,1.26
191806,.27,0.36
191906,.7,0.79
192006,4.06,4.15
192106,.02,0.11
192206,1.32,1.41
192306,-.63,-0.54
192406,-.4,-0.31
192506,-1.94,-1.85
192606,-.87,-0.78
192706,.3,0.39
192806,2,2.09
192906,-.64,-0.55
193006,-2.45,-2.36
193106,1.13,1.22
193206,-2.14,-2.05
193306,-.97,-0.88
193406,.43,0.52
193506,.7,0.79
193606,-.63,-0.54
193706,-.06,0.03
193806,1.69,1.78
193906,-.87,-0.78
194006,-.28,-0.19
194106,-1.61,-1.52
194206,-2.41,-2.32
194306,-1.09,-1.00
194406,-2.76,-2.67
194506,-.39,-0.30
194606,.52,0.61
194706,.92,1.01
194806,1.76,1.85
194906,-2.15,-2.06
195006,-2.65,-2.56
195106,-1.46,-1.37
195206,-.19,-0.10
195306,-.82,-0.73
195406,.51,0.60
195506,-1.33,-1.24
195606,-.84,-0.75
195706,-3.04,-2.95
195806,1.91,2.00
195906,.75,0.84
196006,-.82,-0.73
196106,-.39,-0.30
196206,.46,0.55
196306,-1.29,-1.20
196406,-1.72,-1.63
196506,-3.44,-3.35
196606,-3.86,-3.77
196706,1.82,1.91
196806,.99,1.08
196906,-1.46,-1.37
197006,.8,0.89
197106,-.99,-0.90
197206,3.73,3.82
197306,3.12,3.21
197406,-.44,-0.35
197506,.31,0.40
197606,-2.02,-1.93
197706,.48,0.57
197806,-.81,-0.72
197906,1.86,1.95
198006,-.66,-0.57
198106,-2.32,-2.23
198206,2.88,2.97
198306,3.3,3.39
198406,4.53,4.62
198506,.87,0.96
198606,.4,0.49
198706,-1.13,-1.04
198806,-1.53,-1.44
198906,1.44,1.53
199006,1.94,2.03
199106,-1.46,-1.37
199206,.35,0.44
199306,-1.6,-1.51
199406,-1.08,-0.99
199506,-1.75,-1.66
199606,.59,0.68
199706,-.71,-0.62
199806,4.72,4.81
199906,-1.93,-1.84
200006,1.38,1.47
200106,1.75,1.84
200206,-1.32,-1.23
200306,2.22,2.31
200406,-.81,-0.72
200506,-.77,-0.68
200606,4.26,4.35
200706,-.5,-0.41
200806,.64,0.73
200906,1.36,1.45
201006,3.23,3.32
201106,.96,1.05
201206,.44,0.53
201306,2.22,2.31
201406,-.52,-0.43
201506,-1.09,-1.00
