Arkansas, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-.53,-0.45
189612,-3.49,-3.41
189712,.19,0.27
189812,-.57,-0.49
189912,-2.45,-2.37
190012,-.48,-0.40
190112,-3.35,-3.27
190212,1.94,2.02
190312,-1.65,-1.57
190412,-1.77,-1.69
190512,3.55,3.63
190612,4.27,4.35
190712,-1.11,-1.03
190812,-1.18,-1.10
190912,-1.79,-1.71
191012,-1.06,-0.98
191112,.79,0.87
191212,-1.7,-1.62
191312,-.66,-0.58
191412,.4,0.48
191512,2.06,2.14
191612,-2.33,-2.25
191712,-1.95,-1.87
191812,.66,0.74
191912,1.8,1.88
192012,1.66,1.74
192112,-1.25,-1.17
192212,-2.32,-2.24
192312,2.02,2.10
192412,-2.61,-2.53
192512,-2.19,-2.11
192612,1.45,1.53
192712,-.29,-0.21
192812,.21,0.29
192912,-1.3,-1.22
193012,-2.37,-2.29
193112,1.36,1.44
193212,.91,0.99
193312,-.92,-0.84
193412,.34,0.42
193512,-1.05,-0.97
193612,.19,0.27
193712,1.12,1.20
193812,-2.03,-1.95
193912,-2.59,-2.51
194012,-.3,-0.22
194112,-.49,-0.41
194212,-.63,-0.55
194312,-3.85,-3.77
194412,1.06,1.14
194512,3.8,3.88
194612,-.71,-0.63
194712,-.13,-0.05
194812,.22,0.30
194912,1.59,1.67
195012,-1.15,-1.07
195112,1.66,1.74
195212,.36,0.44
195312,-3.93,-3.85
195412,-4.75,-4.67
195512,-3.37,-3.29
195612,-3.64,-3.56
195712,4.3,4.38
195812,-.81,-0.73
195912,1.23,1.31
196012,-.26,-0.18
196112,2.43,2.51
196212,-1.12,-1.04
196312,-3.85,-3.77
196412,-2.43,-2.35
196512,-2,-1.92
196612,-1.58,-1.50
196712,1.71,1.79
196812,2.73,2.81
196912,-.6,-0.52
197012,-.49,-0.41
197112,-.71,-0.63
197212,2.65,2.73
197312,4.77,4.85
197412,4.15,4.23
197512,-.8,-0.72
197612,-1.04,-0.96
197712,-1.17,-1.09
197812,1.1,1.18
197912,-.1,-0.02
198012,-2.47,-2.39
198112,-1.29,-1.21
198212,3.02,3.10
198312,.93,1.01
198412,.01,0.09
198512,-.21,-0.13
198612,.57,0.65
198712,2.6,2.68
198812,1.1,1.18
198912,-1.96,-1.88
199012,2.23,2.31
199112,2.66,2.74
199212,1.87,1.95
199312,1.51,1.59
199412,1.93,2.01
199512,-1.83,-1.75
199612,2.69,2.77
199712,1.15,1.23
199812,-1.86,-1.78
199912,-2.79,-2.71
200012,.88,0.96
200112,1.97,2.05
200212,0,0.08
200312,-.63,-0.55
200412,-.29,-0.21
200512,-4.08,-4.00
200612,1.06,1.14
200712,-1.08,-1.00
200812,2.9,2.98
200912,6.63,6.71
201012,-3.33,-3.25
201112,-.62,-0.54
201212,-3.17,-3.09
201312,1.25,1.33
201412,-.56,-0.48
201512,3.17,3.25
