Nebraska, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,1.69,1.19
189606,1.82,1.32
189706,2.79,2.29
189806,-.12,-0.62
189906,.02,-0.48
190006,-2.27,-2.77
190106,-1.37,-1.87
190206,.6,0.10
190306,3.55,3.05
190406,2.75,2.25
190506,5.37,4.87
190606,4.8,4.30
190706,3.64,3.14
190806,2.74,2.24
190906,3.62,3.12
191006,-2.04,-2.54
191106,-3.98,-4.48
191206,.95,0.45
191306,-.53,-1.03
191406,-.49,-0.99
191506,4.38,3.88
191606,4.73,4.23
191706,.03,-0.47
191806,-2.19,-2.69
191906,2.05,1.55
192006,4.03,3.53
192106,-1.21,-1.71
192206,-2.08,-2.58
192306,1.8,1.30
192406,2.92,2.42
192506,-1.02,-1.52
192606,-2.58,-3.08
192706,2.68,2.18
192806,.71,0.21
192906,.93,0.43
193006,1.66,1.16
193106,-1.47,-1.97
193206,-.48,-0.98
193306,-2.89,-3.39
193406,-6.38,-6.88
193506,-2.25,-2.75
193606,-3.47,-3.97
193706,-5.42,-5.92
193806,-3.83,-4.33
193906,-4.1,-4.60
194006,-5.54,-6.04
194106,-2.73,-3.23
194206,3.17,2.67
194306,-.83,-1.33
194406,2.73,2.23
194506,3.71,3.21
194606,-1.33,-1.83
194706,5.28,4.78
194806,.4,-0.10
194906,2.8,2.30
195006,.68,0.18
195106,4.45,3.95
195206,-.74,-1.24
195306,-.66,-1.16
195406,-2.08,-2.58
195506,-3.93,-4.43
195606,-6.61,-7.11
195706,1.79,1.29
195806,2.39,1.89
195906,2.16,1.66
196006,3.66,3.16
196106,.46,-0.04
196206,1.94,1.44
196306,-1.04,-1.54
196406,-1.45,-1.95
196506,1.32,0.82
196606,1.48,0.98
196706,2.34,1.84
196806,-1.6,-2.10
196906,.16,-0.34
197006,-.73,-1.23
197106,1.37,0.87
197206,.23,-0.27
197306,2.87,2.37
197406,-.29,-0.79
197506,-.67,-1.17
197606,-1.65,-2.15
197706,.98,0.48
197806,1.57,1.07
197906,2.31,1.81
198006,-1,-1.50
198106,-3.94,-4.44
198206,1.65,1.15
198306,6.19,5.69
198406,5.29,4.79
198506,1.15,0.65
198606,1.94,1.44
198706,3.61,3.11
198806,-1.39,-1.89
198906,-4.05,-4.55
199006,-3.37,-3.87
199106,-2.53,-3.03
199206,.28,-0.22
199306,4.56,4.06
199406,3.58,3.08
199506,5.19,4.69
199606,1.64,1.14
199706,1.97,1.47
199806,2.98,2.48
199906,4.45,3.95
200006,-2.41,-2.91
200106,-.63,-1.13
200206,-3.53,-4.03
200306,-2.01,-2.51
200406,-3.15,-3.65
200506,1.02,0.52
200606,-3.44,-3.94
200706,2.27,1.77
200806,3.56,3.06
200906,4.64,4.14
201006,6.92,6.42
201106,4.69,4.19
201206,-3.28,-3.78
201306,-3.6,-4.10
201406,1.66,1.16
201506,2.49,1.99
