Minnesota, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,.82,0.57
189606,2.9,2.65
189706,2.36,2.11
189806,.4,0.15
189906,2.4,2.15
190006,-3.78,-4.03
190106,-.44,-0.69
190206,.78,0.53
190306,2.06,1.81
190406,2.86,2.61
190506,4.43,4.18
190606,3.93,3.68
190706,2.76,2.51
190806,4.2,3.95
190906,.7,0.45
191006,-3.58,-3.83
191106,-7.11,-7.36
191206,-1.09,-1.34
191306,-.56,-0.81
191406,2.63,2.38
191506,2.64,2.39
191606,4.04,3.79
191706,-.95,-1.20
191806,-3.09,-3.34
191906,1.19,0.94
192006,2.82,2.57
192106,-2.19,-2.44
192206,-2.61,-2.86
192306,-2.78,-3.03
192406,.27,0.02
192506,1.43,1.18
192606,-1.71,-1.96
192706,-.12,-0.37
192806,.25,0.00
192906,-1.38,-1.63
193006,-1.55,-1.80
193106,-3.56,-3.81
193206,-2.3,-2.55
193306,-3.09,-3.34
193406,-7.07,-7.32
193506,.91,0.66
193606,-1.65,-1.90
193706,-3.16,-3.41
193806,-.41,-0.66
193906,-1.63,-1.88
194006,-3.83,-4.08
194106,.9,0.65
194206,2.17,1.92
194306,3.39,3.14
194406,2.99,2.74
194506,3.18,2.93
194606,2.45,2.20
194706,3.07,2.82
194806,-1.09,-1.34
194906,-2.04,-2.29
195006,-.46,-0.71
195106,1.48,1.23
195206,.22,-0.03
195306,2.32,2.07
195406,-.17,-0.42
195506,-2.63,-2.88
195606,-1.95,-2.20
195706,1.87,1.62
195806,-1.63,-1.88
195906,.64,0.39
196006,-.02,-0.27
196106,-2.28,-2.53
196206,1.6,1.35
196306,.12,-0.13
196406,-.15,-0.40
196506,3,2.75
196606,-.96,-1.21
196706,1.5,1.25
196806,1.81,1.56
196906,.13,-0.12
197006,-.46,-0.71
197106,1.7,1.45
197206,1.53,1.28
197306,1.27,1.02
197406,-.36,-0.61
197506,2.18,1.93
197606,-2.16,-2.41
197706,-6.52,-6.77
197806,1.56,1.31
197906,3.44,3.19
198006,-2.8,-3.05
198106,.92,0.67
198206,1.61,1.36
198306,2.99,2.74
198406,3.12,2.87
198506,2.69,2.44
198606,3.5,3.25
198706,-2.98,-3.23
198806,-6.22,-6.47
198906,-2.9,-3.15
199006,1.09,0.84
199106,1.5,1.25
199206,1.35,1.10
199306,3.76,3.51
199406,2.65,2.40
199506,1.2,0.95
199606,2.12,1.87
199706,1.95,1.70
199806,1.82,1.57
199906,2.33,2.08
200006,1.84,1.59
200106,-.11,-0.36
200206,1.01,0.76
200306,.72,0.47
200406,1.13,0.88
200506,2.84,2.59
200606,-1.36,-1.61
200706,-2.16,-2.41
200806,1.97,1.72
200906,-1.19,-1.44
201006,.61,0.36
201106,4.04,3.79
201206,-1.92,-2.17
201306,2.62,2.37
201406,3.84,3.59
201506,1.05,0.80
