North Carolina, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,.6,0.61
189602,-1.33,-1.32
189702,.74,0.75
189802,-3.11,-3.10
189902,3.04,3.05
190002,.77,0.78
190102,-2.53,-2.52
190202,4.33,4.34
190302,1.15,1.16
190402,-1.18,-1.17
190502,1.2,1.21
190602,1.5,1.51
190702,-1.5,-1.49
190802,2.48,2.49
190902,2.09,2.10
191002,-1.03,-1.02
191102,-1.5,-1.49
191202,.68,0.69
191302,-1.83,-1.82
191402,-.24,-0.23
191502,-.21,-0.20
191602,-.43,-0.42
191702,-.95,-0.94
191802,-1.4,-1.39
191902,1.07,1.08
192002,.46,0.47
192102,2.28,2.29
192202,1.08,1.09
192302,.25,0.26
192402,.6,0.61
192502,-.83,-0.82
192602,-2.71,-2.70
192702,-4.16,-4.15
192802,-.76,-0.75
192902,3.23,3.24
193002,-1.18,-1.17
193102,-3.83,-3.82
193202,-2.72,-2.71
193302,-.37,-0.36
193402,-4.69,-4.68
193502,-.62,-0.61
193602,1.93,1.94
193702,2.41,2.42
193802,-1.74,-1.73
193902,1.94,1.95
194002,-1.9,-1.89
194102,-2.47,-2.46
194202,-3.8,-3.79
194302,-.79,-0.78
194402,.89,0.90
194502,-.91,-0.90
194602,2.61,2.62
194702,-1,-0.99
194802,2.26,2.27
194902,-.81,-0.80
195002,-1.9,-1.89
195102,-1.9,-1.89
195202,-1.79,-1.78
195302,-.62,-0.61
195402,-1.84,-1.83
195502,-3.38,-3.37
195602,.7,0.71
195702,-.44,-0.43
195802,2.34,2.35
195902,-.68,-0.67
196002,2.87,2.88
196102,.63,0.64
196202,1.15,1.16
196302,-.1,-0.09
196402,1.57,1.58
196502,1.49,1.50
196602,1.18,1.19
196702,-.4,-0.39
196802,-1.01,-1.00
196902,.15,0.16
197002,-.44,-0.43
197102,.69,0.70
197202,1.84,1.85
197302,2.64,2.65
197402,1,1.01
197502,2.03,2.04
197602,-1.01,-1.00
197702,-.93,-0.92
197802,1.65,1.66
197902,1.56,1.57
198002,-1.04,-1.03
198102,-2.89,-2.88
198202,1.92,1.93
198302,1.67,1.68
198402,1.86,1.87
198502,-1.13,-1.12
198602,-2.1,-2.09
198702,1.49,1.50
198802,-2.42,-2.41
198902,.41,0.42
199002,2.86,2.87
199102,.13,0.14
199202,-1.66,-1.65
199302,2.02,2.03
199402,.38,0.39
199502,1.12,1.13
199602,1.52,1.53
199702,2.39,2.40
199802,2.61,2.62
199902,-2.28,-2.27
200002,-1.15,-1.14
200102,-2.16,-2.15
200202,-3.66,-3.65
200302,1.11,1.12
200402,-.68,-0.67
200502,-1.21,-1.20
200602,-1.1,-1.09
200702,-.83,-0.82
200802,-5.12,-5.11
200902,-3.19,-3.18
201002,2.71,2.72
201102,-2.86,-2.85
201202,-2.74,-2.73
201302,.53,0.54
201402,1.57,1.58
201502,.65,0.66
201602,3.29,3.30
