Illinois, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-1.07,-1.05
189603,-1.42,-1.40
189703,3.31,3.33
189803,2.52,2.54
189903,2.28,2.30
190003,-1.5,-1.48
190103,-.8,-0.78
190203,-5.35,-5.33
190303,2.71,2.73
190403,2.16,2.18
190503,-1.67,-1.65
190603,2.21,2.23
190703,.95,0.97
190803,2.91,2.93
190903,.56,0.58
191003,-1.68,-1.66
191103,-1.36,-1.34
191203,1.92,1.94
191303,2.05,2.07
191403,-2.41,-2.39
191503,-4.46,-4.44
191603,-.69,-0.67
191703,-1.9,-1.88
191803,-2.17,-2.15
191903,-.26,-0.24
192003,.84,0.86
192103,-2.77,-2.75
192203,2.32,2.34
192303,-2.41,-2.39
192403,-.04,-0.02
192503,-1.17,-1.15
192603,0,0.02
192703,3.16,3.18
192803,2.83,2.85
192903,2.31,2.33
193003,-.65,-0.63
193103,-6.44,-6.42
193203,-1.52,-1.50
193303,1.55,1.57
193403,-5.35,-5.33
193503,1.31,1.33
193603,-1.12,-1.10
193703,.94,0.96
193803,1.32,1.34
193903,1.1,1.12
194003,-3.77,-3.75
194103,-4.21,-4.19
194203,2.24,2.26
194303,1.48,1.50
194403,.66,0.68
194503,.91,0.93
194603,1.72,1.74
194703,.67,0.69
194803,1.08,1.10
194903,1.97,1.99
195003,2.88,2.90
195103,2.42,2.44
195203,2.97,2.99
195303,-1.04,-1.02
195403,-6.23,-6.21
195503,-2.04,-2.02
195603,-2.41,-2.39
195703,-2.63,-2.61
195803,-.95,-0.93
195903,.65,0.67
196003,-.12,-0.10
196103,.47,0.49
196203,3.31,3.33
196303,-1.94,-1.92
196403,-4.22,-4.20
196503,.61,0.63
196603,.76,0.78
196703,-.49,-0.47
196803,-.83,-0.81
196903,-.6,-0.58
197003,.84,0.86
197103,-.58,-0.56
197203,-.51,-0.49
197303,3.15,3.17
197403,3.49,3.51
197503,2.76,2.78
197603,.52,0.54
197703,-2.12,-2.10
197803,.19,0.21
197903,1.4,1.42
198003,-1.17,-1.15
198103,-1.76,-1.74
198203,3.1,3.12
198303,2.87,2.89
198403,2.09,2.11
198503,3.04,3.06
198603,1.83,1.85
198703,-1.17,-1.15
198803,.97,0.99
198903,-2.22,-2.20
199003,.93,0.95
199103,-.13,-0.11
199203,-1.13,-1.11
199303,2.64,2.66
199403,-.81,-0.79
199503,.09,0.11
199603,-1.74,-1.72
199703,-.13,-0.11
199803,1.12,1.14
199903,1.16,1.18
200003,-3.04,-3.02
200103,-.7,-0.68
200203,1.78,1.80
200303,-2.59,-2.57
200403,-.13,-0.11
200503,-.62,-0.60
200603,.62,0.64
200703,-.26,-0.24
200803,2.23,2.25
200903,3.59,3.61
201003,4.12,4.14
201103,1.87,1.89
201203,-1.29,-1.27
201303,1,1.02
201403,-1.18,-1.16
201503,1.58,1.60
201603,2.6,2.62
